choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
0,54,53,7.214933112729341,115,53,53,37,24,54
1,110,38,7.264152042334899,115,91,56,38,13,44
2,173,21,3.349705934524536,115,112,63,41,21,35
3,228,32,1.441520679392852,115,144,55,45,23,32
0,289,61,18.22710855747573,115,205,61,39,27,37
0,351,62,2.1330895215505734,115,267,62,52,33,41
0,410,59,0.7036905237473547,115,326,59,48,31,40
3,472,38,1.298918911605142,115,364,62,49,26,38
0,538,66,0.5668618995696306,115,430,66,47,27,48
0,614,76,0.9559596186736599,115,506,76,47,25,51
0,695,81,0.23075101431459188,115,587,81,48,25,42
0,765,70,1.1767426796723157,115,657,70,54,33,45
1,826,53,0.5899941565003246,115,710,61,53,35,46
0,891,65,0.10251362167764455,115,775,65,55,30,48
1,955,49,0.9112740791169927,115,824,64,49,31,63
0,1018,63,0.7034569097450003,115,887,63,60,34,53
0,1079,58,0.27067595068365335,115,945,58,61,31,56
2,1147,34,0.5154335586121306,115,979,60,59,34,68
0,1216,69,0.2487424851860851,115,1048,69,56,32,57
0,1273,57,0.8965007197111845,115,1105,57,52,32,52
0,1336,63,0.5964226990472525,115,1168,63,60,44,57
0,1391,55,0.23117727972567081,115,1223,55,54,41,53
0,1455,64,0.04331073793582618,115,1287,64,54,40,58
3,1537,65,0.3453447149368003,115,1352,56,82,32,65
3,1605,65,0.10586806130595505,115,1417,64,68,37,65
1,1680,75,0.10384490084834397,115,1492,66,75,35,57
2,1755,36,0.6488706207601354,115,1528,69,75,36,62
1,1828,73,0.08798603690229356,115,1601,71,73,37,59
0,1903,70,0.5788120508659631,115,1671,70,75,37,59
0,1987,84,0.09516278409864753,115,1755,84,78,39,52
