choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,72,56,1.0072247500065714,115,56,56,59,38,69,72,35,37,47
7,145,46,0.7537274217465892,115,102,54,65,45,65,73,31,36,46
4,217,72,1.1405677265720442,115,174,50,59,37,62,72,38,39,37
1,293,57,0.7960230592871085,115,231,54,57,39,58,76,43,38,45
4,372,79,0.023411313421092927,115,310,62,59,39,63,79,47,46,38
4,457,85,0.4957779886899516,115,395,57,53,44,69,85,51,43,42
4,528,71,0.20576264709234238,115,466,66,62,36,65,71,49,53,50
2,603,34,0.5848437699023634,115,500,63,56,34,58,75,57,54,40
4,678,75,0.47178488061763346,115,575,73,53,29,69,75,57,50,36
6,755,51,0.24230882222764194,115,626,69,59,29,56,77,55,51,37
4,838,83,0.483750392915681,115,709,53,54,37,62,83,54,47,40
4,925,87,0.4835308596957475,115,796,58,53,31,60,87,57,37,37
4,1012,87,0.4949030566494912,115,883,66,57,37,64,87,51,42,48
5,1098,47,0.8290899874409661,115,930,61,62,39,64,86,47,45,38
4,1180,82,0.44753767747897655,115,1012,61,67,35,64,82,50,46,31
4,1266,86,0.42084936902392656,115,1098,53,60,46,70,86,50,52,33
4,1352,86,0.29172232339624316,115,1184,61,65,45,65,86,55,49,40
7,1440,41,0.4358518618391827,115,1225,59,69,51,67,88,48,43,41
0,1523,65,0.480170659837313,115,1290,65,63,57,66,83,53,45,34
4,1611,88,0.39619958179537207,115,1378,75,69,57,54,88,49,51,40
4,1693,82,0.25485228875186294,115,1460,75,66,70,61,82,53,50,30
4,1778,85,0.21382456691935658,115,1545,82,71,61,61,85,53,43,27
4,1859,81,0.426466983393766,115,1626,79,65,61,55,81,53,39,15
4,1952,93,0.4537774088094011,115,1719,76,71,74,66,93,51,51,22
4,2039,87,0.2658615841064602,115,1806,81,66,65,62,87,48,48,26
4,2125,86,0.4882914631161839,115,1892,74,77,55,56,86,50,47,28
2,2201,54,0.3031860456103459,115,1946,72,64,54,59,76,51,47,20
2,2285,62,0.5552247269079089,115,2008,71,68,62,62,84,53,45,20
2,2371,61,0.3302673375001177,115,2069,72,59,61,68,86,54,51,27
4,2456,85,0.3270396253792569,115,2154,63,74,66,61,85,41,52,28
4,2537,81,0.03564500156790018,115,2235,73,64,76,61,81,47,49,37
0,2615,78,0.83767353836447,115,2313,78,62,70,57,76,47,44,45
0,2698,66,0.6122047584503889,115,2379,66,67,60,60,83,42,50,37
4,2781,83,0.05002281744964421,115,2462,69,67,62,60,83,35,46,44
0,2863,76,0.0072202697629109025,115,2538,76,68,63,57,82,26,53,36
4,2943,80,0.40821949718520045,115,2618,69,65,64,59,80,47,47,36
0,3025,74,0.10823428211733699,115,2692,74,61,56,61,82,45,57,39
4,3112,87,0.3304951910395175,115,2779,71,65,58,68,87,45,58,33
4,3187,75,0.08930387545842677,115,2854,74,68,59,75,75,42,47,35
0,3269,79,0.17743200075346977,115,2933,79,60,72,71,82,47,57,43
4,3349,80,0.427762420498766,115,3013,70,63,70,74,80,41,52,38
4,3427,72,0.5454795069526881,115,3085,74,59,78,74,72,48,51,40
4,3507,77,0.4127816887339577,115,3162,72,56,69,80,77,42,46,35
4,3581,71,0.4726143699372187,115,3233,67,57,64,74,71,45,49,40
0,3660,65,0.24404844571836293,115,3298,65,51,59,79,67,35,50,38
4,3742,69,0.38861641054973006,115,3367,76,49,61,82,69,37,59,35
