choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
3,70,34,1.0294347119051963,115,34,43,32,70,34
0,132,43,0.37724101333878934,115,77,43,34,62,40
1,190,36,0.031774051138199866,115,113,36,36,58,51
2,244,54,0.45373260613996536,115,167,41,40,54,49
2,301,57,0.1028227600036189,115,224,38,36,57,53
2,361,60,0.02544471446890384,115,284,40,30,60,54
2,418,57,0.4333390723913908,115,341,37,41,57,57
2,472,54,0.22587776416912675,115,395,37,44,54,52
2,541,69,0.36024672188796103,115,464,33,29,69,56
2,596,55,0.14332373056095093,115,519,36,34,55,53
2,654,58,0.12791481346357614,115,577,46,31,58,58
2,709,51,0.4706955357687548,115,628,42,25,51,55
2,760,51,0.1946547859115526,115,679,41,33,51,50
2,814,41,0.31673117191530764,115,720,43,40,41,54
0,869,36,1.09015576611273,115,756,36,34,39,55
1,922,37,0.09144672297406942,115,793,43,37,53,41
3,969,47,0.09109662205446512,115,840,39,42,45,47
3,1015,43,0.4956864631967619,115,883,40,31,46,43
2,1064,38,0.027749491622671485,115,921,49,31,38,37
3,1111,36,0.02494676481001079,115,957,47,38,35,36
3,1159,45,0.09871435549575835,115,1002,48,37,25,45
3,1205,41,0.4367651962675154,115,1043,46,34,42,41
3,1250,36,0.17661083186976612,115,1079,45,34,37,36
3,1296,37,0.5807225645985454,115,1116,46,42,33,37
0,1342,46,0.8097032335354015,115,1162,46,43,31,39
0,1389,47,0.18180858122650534,115,1209,47,31,42,36
0,1439,48,0.3602755236206576,115,1257,48,31,38,50
0,1488,49,0.5772209161659703,115,1306,49,35,29,49
0,1538,33,0.04365507839247584,115,1339,33,29,34,50
0,1578,30,0.7612638704013079,115,1369,30,33,16,40
1,1625,38,0.605146418325603,115,1407,41,38,32,47
1,1670,43,0.4759912110166624,115,1450,35,43,28,45
1,1719,46,0.22889938415028155,115,1496,33,46,17,49
1,1763,43,0.16199556190986186,115,1539,40,43,25,44
1,1820,48,0.04150967067107558,115,1587,37,48,27,57
1,1871,41,0.15989367687143385,115,1628,29,41,34,51
1,1926,49,0.1666102366289124,115,1677,27,49,25,55
1,1979,40,0.10377577680628747,115,1717,30,40,25,53
1,2032,44,0.2610484976321459,115,1761,31,44,27,53
1,2091,40,0.26581038103904575,115,1801,23,40,30,59
1,2149,34,0.4436788877937943,115,1835,33,34,23,58
1,2213,45,0.4121000481536612,115,1880,35,45,31,64
3,2277,64,0.16062268032692373,115,1944,40,40,21,64
3,2335,58,0.30143362132366747,115,2002,36,49,28,58
3,2401,66,0.3074755809502676,115,2068,36,51,26,66
3,2465,64,0.4564514879602939,115,2132,27,46,23,64
3,2518,53,0.28327574057038873,115,2185,23,45,26,53
3,2569,51,0.3264911127043888,115,2236,27,38,29,51
3,2615,46,0.3292611975921318,115,2282,28,42,34,46
3,2663,48,0.2134783061919734,115,2330,28,42,42,48
3,2705,42,0.28530722146388143,115,2372,27,42,35,42
3,2757,52,0.14467933122068644,115,2424,31,45,38,52
3,2807,50,0.2586605155374855,115,2474,29,36,44,50
3,2851,42,0.2613429151242599,115,2516,30,34,44,42
3,2900,49,0.1444962804671377,115,2565,32,33,34,49
3,2935,33,0.18626196635887027,115,2598,25,26,35,33
3,2975,37,0.29872626019641757,115,2635,27,40,37,37
3,3016,37,0.2259468884440139,115,2672,29,41,34,37
3,3063,31,0.26183638453949243,115,2703,33,47,36,31
0,3103,21,0.16932719841133803,115,2724,21,40,34,38
