choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,71,37,0.8855554282199591,115,37,37,51,33,1,63,61,71,30
7,139,31,0.30127169168554246,115,68,32,51,40,1,60,67,68,31
4,214,58,1.0594556988216937,115,126,48,56,46,1,58,59,75,37
1,286,43,0.3758438102668151,115,169,49,43,36,1,56,67,72,29
2,349,36,0.2945020088227466,115,205,43,51,36,4,58,58,63,27
3,418,1,0.19671378831844777,115,206,46,45,32,1,57,69,67,28
6,494,76,0.3277775893220678,115,282,42,54,43,1,54,70,76,28
6,564,70,0.37758599396329373,115,352,44,52,37,9,51,65,70,27
6,636,72,0.043939895229414105,115,424,56,54,24,1,52,67,72,25
6,712,75,0.8432892325799912,115,499,54,45,38,1,50,76,75,29
6,792,80,0.23775815137196332,115,579,57,55,47,1,49,63,80,18
6,858,60,0.19163572613615543,115,639,59,60,33,7,51,66,60,19
5,927,60,0.9243218956980854,115,699,48,59,41,20,46,60,69,22
5,1004,63,0.3738769731717184,115,762,55,56,40,10,43,63,77,13
5,1082,69,0.3840644594747573,115,831,60,50,40,22,47,69,78,15
6,1150,68,0.5241854395717382,115,899,58,60,33,13,42,64,68,19
5,1232,72,0.5466206948040053,115,971,61,58,48,14,37,72,82,4
6,1304,71,0.5794738503172994,115,1042,53,57,31,29,40,72,71,18
5,1379,63,0.3748395905131474,115,1105,60,59,42,24,38,63,75,9
6,1455,76,0.12218519242014736,115,1181,64,63,37,28,36,70,76,8
5,1534,79,0.3717091641156003,115,1260,52,65,45,21,44,79,77,19
6,1608,74,0.49057575908955187,115,1334,51,69,45,31,39,65,74,22
5,1685,70,0.38029783533420414,115,1404,41,67,40,32,38,70,77,18
5,1760,62,0.5853250785730779,115,1466,41,61,38,41,46,62,75,14
6,1835,71,0.3045346059370786,115,1537,44,71,36,29,47,75,71,20
6,1906,71,0.31554518116172403,115,1608,36,60,33,33,35,68,71,20
6,1977,69,0.09486580640077591,115,1677,40,71,42,35,45,67,69,23
5,2049,61,0.403014067444019,115,1738,41,64,34,27,49,61,72,30
5,2121,61,0.20462401921395212,115,1799,45,69,42,17,41,61,72,24
6,2196,75,0.1875330819748342,115,1874,41,63,38,27,45,56,75,24
1,2275,79,1.9229502939851955,115,1953,50,79,43,23,47,60,71,23
6,2341,66,0.5826285980874673,115,2019,49,61,47,33,40,57,66,28
1,2405,64,0.2990584400249645,115,2083,49,64,44,27,43,54,61,17
6,2474,59,0.15128004422876984,115,2142,49,69,41,27,44,49,59,20
5,2550,55,0.22281198180280626,115,2197,42,64,31,25,48,55,76,37
1,2620,61,0.25945288268849254,115,2258,52,61,40,28,47,47,70,14
7,2683,19,0.23501878837123513,115,2277,34,58,42,17,39,39,63,19
1,2752,69,0.35255026386585087,115,2346,46,69,33,25,46,42,65,20
0,2821,36,1.1697784251300618,115,2382,36,61,38,28,45,51,69,12
6,2891,70,0.15779755206312984,115,2452,42,63,42,24,43,51,70,20
6,2963,72,0.2793331058928743,115,2524,42,50,39,16,34,44,72,11
6,3037,74,0.2815546781057492,115,2598,37,57,41,24,41,49,74,18
6,3099,62,0.2143225164618343,115,2660,42,62,31,17,34,42,62,24
1,3164,58,0.18219388416036963,115,2718,39,58,36,22,35,48,65,36
6,3231,67,0.21906391868833452,115,2785,40,65,34,28,41,50,67,21
6,3302,64,0.17210240359418094,115,2849,49,71,34,32,36,54,64,31
6,3369,67,0.37818122934550047,115,2916,49,67,32,37,35,52,67,19
6,3444,68,0.26816188101656735,115,2984,56,75,30,21,35,56,68,20
5,3516,53,0.06551109929569066,115,3037,52,67,34,27,29,53,72,33
6,3588,65,0.13071626028977334,115,3102,52,72,29,17,37,48,65,22
