choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
2,54,24,4.949045959825526,102,24,53,37,24,54
1,110,38,4.201984372840343,102,62,56,38,13,44
0,173,63,2.665116922084053,102,125,63,41,21,35
3,228,32,1.4277915883685637,102,157,55,45,23,32
1,289,39,1.8512424411546817,102,196,61,39,27,37
2,351,33,0.8985476264842873,102,229,62,52,33,41
0,410,59,0.10692149553779018,102,288,59,48,31,40
3,472,38,0.3545623166291989,102,326,62,49,26,38
1,538,47,2.108658557815943,102,373,66,47,27,48
0,614,76,1.7514010424929438,102,449,76,47,25,51
2,695,25,0.9160539372560379,102,474,81,48,25,42
3,765,45,0.3332426613278585,102,519,70,54,33,45
1,826,53,1.1772750779564376,102,572,61,53,35,46
0,891,65,0.6919953046835872,102,637,65,55,30,48
2,955,31,1.6904854557842555,102,668,64,49,31,63
3,1018,53,1.095016794588446,102,721,63,60,34,53
0,1079,58,0.9585793211508644,102,779,58,61,31,56
1,1147,59,0.7452329993193416,102,838,60,59,34,68
2,1216,32,0.5914901869418827,102,870,69,56,32,57
3,1273,52,0.784853892197134,102,922,57,52,32,52
0,1336,63,0.6041270910027379,102,985,63,60,44,57
2,1391,41,1.3790104761365,102,1026,55,54,41,53
1,1455,54,0.2753614932844357,102,1080,64,54,40,58
0,1537,56,0.5038536669044333,102,1136,56,82,32,65
3,1605,65,0.9278485517224908,102,1201,64,68,37,65
1,1680,75,1.4593595270889637,102,1276,66,75,35,57
0,1755,69,0.5733271975059324,102,1345,69,75,36,62
3,1828,59,1.1267767446142898,102,1404,71,73,37,59
0,1903,70,0.38238475481375644,102,1474,70,75,37,59
2,1987,39,0.6051658721662534,102,1513,84,78,39,52
