choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
2,90,90,2.268036902012682,102,90,54,28,90,62,47,49,66,54
2,168,78,0.7335574318612998,102,168,64,27,78,64,48,54,70,48
2,251,83,0.10152597784963291,102,251,64,27,83,58,47,58,68,45
2,332,81,1.1569769228017321,102,332,61,40,81,75,41,61,68,53
2,410,78,0.0441523596909974,102,410,52,38,78,70,52,49,74,58
2,491,81,0.053592275513437926,102,491,57,38,81,67,57,54,64,55
2,572,73,0.640741086835078,102,564,53,33,73,55,58,50,81,53
2,652,80,1.041336193875395,102,644,45,39,80,62,52,56,71,49
2,724,72,0.5710960261340006,102,716,56,44,72,63,49,41,69,40
2,799,75,0.4461069067747303,102,791,51,37,75,58,49,50,75,53
2,879,74,0.5668007332269553,102,865,51,26,74,64,58,47,80,53
2,958,74,0.5553434186203958,102,939,58,35,74,64,53,52,79,51
2,1045,87,0.5457415732635127,102,1026,57,36,87,75,53,58,76,65
2,1133,88,0.6609201949813723,102,1114,54,32,88,63,62,51,86,54
2,1219,86,0.643276916144714,102,1200,55,42,86,64,63,62,78,53
2,1293,71,0.4421732351602259,102,1271,51,33,71,68,63,66,74,57
2,1370,63,0.4292636750451493,102,1334,54,45,63,71,67,59,77,59
2,1451,71,0.10699701998510136,102,1405,49,34,71,69,63,61,81,50
2,1534,68,0.4758193762445444,102,1473,56,40,68,73,62,58,83,48
2,1616,82,0.11584874117397703,102,1555,42,38,82,73,58,65,71,43
2,1704,88,0.2878300674337879,102,1643,47,28,88,67,70,63,79,47
2,1782,68,0.3421903881699109,102,1711,56,43,68,72,68,64,78,47
2,1863,81,0.3101270602810473,102,1792,54,30,81,69,64,62,70,47
2,1931,64,0.11660782586932328,102,1856,50,24,64,68,65,58,68,50
2,2004,73,0.5397751419595807,102,1929,64,25,73,62,63,65,64,50
2,2076,72,0.10708150495884183,102,2001,56,30,72,60,52,59,64,54
2,2140,63,0.016989160321827512,102,2064,56,29,63,62,64,52,62,53
2,2208,68,0.8123019083359395,102,2132,59,40,68,65,66,42,68,57
2,2279,67,0.03943272179913038,102,2199,41,37,67,71,61,43,65,46
2,2349,63,0.5186827000379708,102,2262,49,30,63,70,59,43,68,53
2,2425,68,0.5005862745201739,102,2330,50,42,68,72,76,43,66,52
2,2497,67,0.21637306004595303,102,2397,57,37,67,66,72,49,66,50
3,2578,67,0.748172052370137,102,2464,59,38,70,67,81,52,68,48
3,2652,74,0.3178663959733967,102,2538,51,44,70,74,63,39,71,47
3,2726,70,0.5011539879469638,102,2608,54,41,72,70,64,41,74,49
3,2810,84,0.8239781158308688,102,2692,59,36,68,84,65,40,73,45
3,2879,69,0.06478717466870876,102,2761,64,31,67,69,58,41,66,44
3,2948,68,0.09835203096736223,102,2829,58,41,69,68,58,41,68,50
3,3026,73,0.022753979754270404,102,2902,62,31,78,73,54,46,69,43
3,3100,74,0.10430566151717358,102,2976,67,41,66,74,53,43,71,42
3,3178,78,0.40166909027630027,102,3054,57,42,67,78,64,50,71,44
3,3247,69,0.42007721414665866,102,3123,64,35,69,69,55,38,68,44
3,3317,58,0.20868748751945532,102,3181,56,42,70,58,53,48,61,41
