choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
2,62,50,0.5670872789050918,105,50,56,62,50,38
3,120,37,0.08769749201019295,105,87,58,55,51,37
1,176,56,0.16987784855882637,105,143,54,56,51,33
0,235,56,0.02046140405582264,105,199,56,59,50,34
1,302,67,0.4223667999031022,105,266,58,67,57,40
0,365,59,0.029180014127632603,105,325,59,63,52,33
1,436,71,0.07311100515653379,105,396,52,71,58,26
0,502,51,0.02214534644735977,105,447,51,61,66,29
2,561,59,0.059030149015598,105,506,40,53,59,18
1,623,62,0.0217427619791124,105,568,49,62,62,31
1,685,57,0.18640941366902553,105,625,44,57,62,22
1,747,62,0.014921227237209678,105,687,48,62,56,32
2,799,49,0.1556875458045397,105,736,48,52,49,40
3,850,38,0.6481942902319133,105,774,41,51,50,38
2,905,47,0.17976132949115708,105,821,48,55,47,34
1,960,54,0.013594426534837112,105,875,49,54,55,35
0,1020,51,0.07764120059437118,105,926,51,60,58,30
1,1079,56,0.12681219016667455,105,982,41,56,59,30
0,1143,47,0.054732287739170715,105,1029,47,57,64,29
1,1198,55,0.00329044004320167,105,1084,52,55,55,30
2,1262,64,0.09430653383606113,105,1148,57,53,64,32
1,1327,59,0.007937762624351308,105,1207,50,59,65,32
2,1388,61,0.09202863532118499,105,1268,53,55,61,31
1,1447,57,0.02968372477334924,105,1325,55,57,59,33
2,1512,65,0.03288903966313228,105,1390,51,49,65,37
1,1577,57,0.1251384884235449,105,1447,65,57,57,32
2,1642,58,0.13444785444880836,105,1505,65,58,58,36
2,1705,63,0.1206844576227013,105,1568,48,51,63,32
1,1770,52,0.0581846576242242,105,1620,52,52,65,30
2,1829,59,0.0809591623255983,105,1679,58,47,59,34
1,1883,45,0.11840271888650022,105,1724,47,45,54,35
2,1941,58,0.3595341796753928,105,1782,52,49,58,46
2,2001,60,0.13012439158046618,105,1842,39,55,60,31
2,2060,59,0.18993282789597288,105,1901,51,56,59,33
2,2122,62,0.15354341545025818,105,1963,48,54,62,33
2,2186,64,0.14131803213967942,105,2027,46,64,64,35
2,2245,56,0.06717464423854835,105,2083,43,59,56,32
2,2308,63,0.04952877134201117,105,2146,49,55,63,26
2,2374,66,0.08636749113793485,105,2212,46,45,66,26
2,2439,65,0.033240421005757526,105,2277,59,51,65,32
2,2509,70,0.21785132537479512,105,2347,54,66,70,32
0,2571,58,0.3710971226973925,105,2405,58,57,62,25
3,2648,21,0.30728716307203285,105,2426,54,43,77,21
2,2721,73,0.01287822300218977,105,2499,47,52,73,32
1,2801,44,0.031192296504741535,105,2543,58,44,80,25
0,2873,55,0.0274211872019805,105,2598,55,58,72,25
1,2943,53,0.04660379351116717,105,2651,52,53,70,26
3,3024,24,0.0030497854168061167,105,2675,52,45,81,24
1,3094,44,0.014914826839230955,105,2719,58,44,70,16
0,3168,69,0.03240837043267675,105,2788,69,51,74,27
2,3241,73,0.12048476547352038,105,2861,51,52,73,34
2,3317,76,0.11666053294902667,105,2937,55,50,76,26
2,3378,61,0.15287009452003986,105,2998,56,47,61,25
2,3446,68,0.07874846793129109,105,3066,58,44,68,24
2,3512,60,0.06052335980348289,105,3126,66,44,60,25
2,3578,60,0.024318918585777283,105,3186,66,39,60,25
2,3649,71,0.007270842063007876,105,3257,63,35,71,20
0,3714,65,0.11957591021200642,105,3322,65,34,64,31
2,3789,66,0.05806945063523017,105,3388,75,28,66,26
1,3861,37,0.007080110488459468,105,3425,65,37,72,26
2,3934,73,0.17839804658433422,105,3498,72,41,73,33
0,4013,65,0.03883628125186078,105,3563,65,36,79,38
2,4088,72,0.4897065741533879,105,3635,75,31,72,37
2,4168,80,0.34510962266358547,105,3715,69,24,80,33
2,4241,68,0.2788412735390011,105,3783,73,29,68,32
2,4313,72,0.06206265342188999,105,3855,72,30,72,30
2,4393,80,0.08184817637084052,105,3935,65,30,80,31
2,4472,79,0.13020887671154924,105,4014,72,40,79,42
2,4547,75,0.09088424575747922,105,4089,68,30,75,26
2,4627,80,0.11139813301269896,105,4169,64,39,80,38
2,4699,72,0.16745850146980956,105,4241,60,40,72,38
2,4774,75,0.02338766196044162,105,4316,52,29,75,43
2,4844,70,0.07522377360146493,105,4386,57,43,70,39
2,4912,68,0.09753873033332638,105,4454,58,39,68,35
2,4987,75,0.11928021223866381,105,4529,70,44,75,32
2,5061,74,0.07601166152744554,105,4603,65,27,74,46
2,5128,67,0.1258809335413389,105,4670,62,35,67,50
2,5195,67,0.07430531774298288,105,4737,56,37,67,48
2,5269,74,0.05840355090913363,105,4811,56,45,74,52
2,5333,64,0.11199656940880232,105,4875,62,35,64,59
2,5397,64,0.20606308864080347,105,4939,59,31,64,58
2,5468,71,0.3593639293394517,105,5010,63,40,71,65
2,5533,65,0.011414453998440877,105,5075,56,38,65,64
2,5598,65,0.013982290140120313,105,5140,53,37,65,51
2,5666,68,0.016024654294596985,105,5208,44,49,68,57
2,5732,66,0.06510155816795304,105,5274,47,54,66,62
2,5792,60,0.01202953141182661,105,5334,60,47,60,59
1,5852,44,0.0046185208193492144,105,5378,41,44,60,57
2,5915,63,1.0017953091592062,105,5441,46,42,63,58
0,5970,44,0.06489610570133664,105,5485,44,41,55,47
2,6030,60,0.0422438484383747,105,5545,54,42,60,41
3,6088,51,0.2308530758600682,105,5596,33,44,58,51
2,6143,55,0.03713889804203063,105,5651,36,41,55,43
2,6202,59,0.009902042045723647,105,5710,42,44,59,44
1,6265,49,0.03622428243397735,105,5759,37,49,63,44
2,6331,66,0.32008666126057506,105,5825,38,58,66,49
2,6397,66,0.09271859729778953,105,5891,39,55,66,44
2,6460,63,0.4275651959469542,105,5954,42,61,63,52
2,6519,59,0.11357490535010584,105,6013,44,51,59,46
2,6585,66,0.03576345441979356,105,6079,41,54,66,46
2,6660,75,0.05127287737559527,105,6154,53,60,75,47
0,6727,56,0.009332407411420718,105,6210,56,49,67,47
2,6798,71,0.07607502536848187,105,6281,55,54,71,47
2,6861,63,0.043257670069579035,105,6344,54,53,63,50
2,6923,62,0.03288263926515356,105,6406,47,54,62,42
2,6990,67,0.09641802223632112,105,6473,54,51,67,35
2,7048,57,0.1634313766262494,105,6530,58,50,57,42
2,7117,69,0.30785167738213204,105,6599,63,47,69,46
2,7187,69,0.07947107183281332,105,6668,70,54,69,35
2,7249,62,0.17038027913076803,105,6730,61,48,62,33
2,7316,67,0.1170317555370275,105,6797,53,55,67,39
2,7374,58,0.08461250443360768,105,6855,56,48,58,38
2,7428,54,0.03256389987654984,105,6909,51,45,54,32
2,7477,49,0.053115549439098686,105,6958,43,45,49,34
2,7538,61,0.17864318148349412,105,7019,51,42,61,32
1,7604,57,0.15429226096603088,105,7076,55,57,66,33
1,7658,54,0.08286391812725924,105,7130,48,54,53,27
2,7721,63,0.11934421613113955,105,7193,54,46,63,26
0,7789,49,0.007918561459518969,105,7242,49,51,68,35
3,7852,35,0.08454018004704267,105,7277,59,38,63,35
2,7917,65,0.10606916900724173,105,7342,55,34,65,41
1,7978,37,0.03307593101635575,105,7379,54,37,61,44
2,8041,50,0.029921819252194837,105,7429,63,29,50,34
2,8101,60,0.342709476739401,105,7489,53,41,60,32
2,8162,57,0.15317219286225736,105,7546,61,34,57,33
2,8223,61,0.15532208359218203,105,7607,58,31,61,39
2,8286,63,0.016145621659234166,105,7670,58,39,63,20
2,8346,60,0.1519874808145687,105,7730,50,30,60,28
2,8401,55,0.19418652655440383,105,7785,54,36,55,29
2,8470,69,0.1934530419530347,105,7854,47,33,69,26
2,8528,58,0.14714622648898512,105,7912,50,31,58,26
2,8590,62,0.15940937207778916,105,7974,48,33,62,28
2,8652,62,0.1746704599354416,105,8036,56,33,62,35
2,8716,64,0.06504715484334156,105,8100,55,34,64,39
2,8777,61,0.09923291334416717,105,8161,52,27,61,31
2,8840,63,0.5417238168010954,105,8224,44,23,63,25
2,8911,71,0.04029044965864159,105,8295,48,27,71,28
2,8977,66,0.07010794256348163,105,8361,42,28,66,34
0,9042,32,0.04215168280643411,105,8393,32,33,65,37
2,9115,73,0.16374243554309942,105,8466,36,23,73,33
2,9186,71,0.02238856125040911,105,8537,29,26,71,29
2,9261,75,0.034090392669895664,105,8612,30,29,75,38
2,9333,72,0.15902342862682417,105,8684,27,24,72,38
2,9405,72,0.03869867286994122,105,8756,20,23,72,39
2,9468,63,0.46600337300333194,105,8819,26,19,63,40
2,9545,77,0.11799309396883473,105,8896,30,23,77,42
2,9605,60,0.05696474347496405,105,8956,23,18,60,34
2,9671,66,0.06707607823773287,105,9022,24,23,66,24
2,9735,64,0.02633376111043617,105,9086,26,17,64,30
2,9809,74,0.042874286766164005,105,9160,22,17,74,30
2,9879,70,0.14930635783821344,105,9230,15,15,70,37
2,9958,79,0.026242875581374392,105,9309,18,24,79,27
2,10010,52,0.14110745934885927,105,9361,22,26,52,34
2,10067,57,0.022181828651810065,105,9418,31,15,57,25
2,10122,55,0.019091720780124888,105,9473,23,25,55,36
2,10190,68,0.5121130564657506,105,9541,26,22,68,36
2,10246,56,0.10245806945022196,105,9597,17,23,56,34
2,10297,51,0.0589559045038186,105,9648,24,24,51,24
2,10347,50,0.08047721302136779,105,9698,22,27,50,30
2,10409,62,0.05089781459537335,105,9760,16,26,62,24
2,10471,62,0.2127361343591474,105,9822,19,30,62,34
2,10533,62,0.12067421700339764,105,9884,29,32,62,35
2,10590,57,0.05914663610747084,105,9941,25,30,57,42
2,10647,57,0.14508658126578666,105,9998,23,36,57,51
2,10708,61,0.0131495994864963,105,10059,25,34,61,48
2,10764,56,0.03485075893695466,105,10115,35,35,56,36
2,10818,54,0.03017719477065839,105,10169,28,26,54,44
2,10874,56,0.0524236673663836,105,10225,30,43,56,41
2,10922,48,0.07312188579817303,105,10273,28,25,48,48
2,10968,46,0.04433933584368788,105,10319,31,28,46,42
2,11028,60,0.08804631323437206,105,10379,25,38,60,37
1,11080,38,0.0027739286597352475,105,10417,27,38,52,41
2,11131,51,0.36486826397594996,105,10468,30,44,51,39
3,11180,40,0.21169479103991762,105,10508,25,36,49,40
2,11238,58,0.06990185001632199,105,10566,24,33,58,54
2,11293,55,0.07118896828615107,105,10621,33,31,55,37
0,11345,26,0.04410252143861726,105,10647,26,42,49,52
2,11404,59,0.034039829624816775,105,10706,32,37,59,37
1,11446,39,0.2222163907426875,105,10745,35,39,42,38
2,11500,54,0.12216742779128253,105,10799,42,35,54,44
2,11564,64,0.04677212375099771,105,10863,41,36,64,41
2,11615,51,0.10887317947344854,105,10914,41,29,51,43
2,11669,54,0.13314281508792192,105,10968,48,35,54,45
3,11719,50,0.13216995593393221,105,11018,44,38,42,50
2,11778,39,0.12025179131887853,105,11057,59,36,39,38
3,11828,50,0.08351995801785961,105,11107,49,37,41,50
3,11878,50,0.07692499706172384,105,11157,40,29,40,50
3,11935,57,0.03330058467690833,105,11214,54,33,46,57
3,11999,64,0.14832773833768442,105,11278,56,21,36,64
1,12056,26,0.054141531814821064,105,11304,35,26,47,57
3,12121,65,0.049968478066148236,105,11369,36,24,35,65
3,12183,62,0.03279239378753118,105,11431,34,27,36,62
3,12246,63,0.036459176713833585,105,11494,34,19,34,63
3,12307,61,0.045216189144412056,105,11555,39,30,38,61
3,12363,56,0.01784812516416423,105,11611,36,26,38,56
3,12426,63,0.023792806605342776,105,11674,32,37,44,63
3,12490,64,0.46949286517337896,105,11738,34,23,44,64
3,12544,52,0.10150441146106459,105,11790,40,23,54,52
3,12605,61,0.05480013185297139,105,11851,37,30,42,61
3,12665,60,0.05158009607112035,105,11911,34,26,34,60
