choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
7,73,55,0.7552651201258413,105,55,39,49,73,52,56,47,55,55
6,143,55,0.09109609865117818,105,110,39,45,70,41,53,43,55,51
5,217,43,0.6008896541025024,105,153,46,50,74,48,44,43,61,57
4,290,45,0.14051158310030587,105,198,58,66,73,53,45,38,59,53
3,370,50,0.12062877422431484,105,248,42,63,80,50,55,43,65,61
2,451,81,0.14882824875530787,105,329,46,42,81,43,48,55,58,65
1,533,48,0.015880005521466956,105,377,42,48,82,48,42,48,70,68
2,618,85,0.10865748638752848,105,462,38,54,85,52,41,44,50,66
2,694,76,0.006701207428704947,105,538,45,53,76,39,43,40,55,64
2,771,70,0.13366700694314204,105,608,40,53,70,48,40,38,62,77
2,851,79,0.14519730801112019,105,687,50,45,79,45,46,37,63,80
2,929,73,0.013973969616927207,105,760,41,48,73,49,48,36,64,78
2,1009,80,0.18522086142911576,105,840,41,50,80,43,44,38,64,70
2,1085,75,0.05857636142172851,105,915,42,53,75,51,35,37,59,76
2,1160,75,0.3269318774691783,105,990,45,47,75,50,34,43,61,72
2,1237,77,0.055245598923647776,105,1067,38,49,77,41,47,43,63,71
2,1313,76,0.04997615856700577,105,1143,40,45,76,45,32,38,71,58
2,1389,76,0.006356866477290168,105,1219,45,54,76,55,26,37,61,67
2,1464,75,0.33739523362601176,105,1294,53,47,75,43,31,47,61,74
2,1539,75,0.09018020294024609,105,1369,56,54,75,34,43,50,50,64
2,1609,70,0.1569797843694687,105,1439,46,58,70,40,37,50,50,65
2,1682,70,0.4808881180069875,105,1509,56,64,70,36,37,43,60,73
0,1748,50,0.1938306649099104,105,1559,50,55,66,33,36,45,59,63
2,1821,73,0.061313167825574055,105,1632,57,55,73,32,36,47,63,63
2,1892,71,0.03039672813611105,105,1703,50,50,71,34,34,46,67,65
2,1965,73,0.05816609651083127,105,1776,53,58,73,29,34,48,56,67
2,2030,65,0.13104412748361938,105,1841,62,57,65,34,36,41,62,62
2,2106,76,0.13957392610609531,105,1917,56,61,76,35,35,39,66,67
2,2185,79,0.11920276752789505,105,1996,57,57,79,32,34,39,74,61
2,2259,62,0.1407176756474655,105,2058,63,57,62,32,27,42,74,69
2,2329,70,0.1224733663839288,105,2128,55,57,70,34,31,49,64,65
2,2402,62,0.23718114060466178,105,2190,55,49,62,44,32,46,73,67
2,2476,67,0.19797043659491464,105,2257,63,66,67,35,32,54,74,65
2,2552,67,0.1508987746492494,105,2324,56,47,67,36,34,44,72,76
2,2631,63,0.08726674583158456,105,2387,52,59,63,41,48,46,79,68
2,2706,66,0.19420700779301114,105,2453,52,57,66,36,43,41,75,67
1,2785,59,0.05969578950316645,105,2512,39,59,68,34,42,38,79,67
7,2869,66,0.10218285271548666,105,2578,49,59,74,25,38,42,84,66
7,2948,69,0.06957671025884338,105,2647,45,60,69,37,43,37,79,69
7,3024,74,0.09142571868142113,105,2721,40,66,63,39,52,41,76,74
7,3097,64,0.10943065336323343,105,2785,36,55,67,38,47,48,73,64
6,3171,72,0.37786425414378755,105,2857,41,57,68,42,59,40,72,74
6,3243,68,0.12871566592366435,105,2925,40,62,64,48,56,48,68,72
6,3323,72,0.020151625241851434,105,2997,50,56,66,46,53,49,72,80
7,3405,82,0.07493639612221159,105,3079,45,66,63,44,60,55,58,82
2,3482,64,0.04758433310780674,105,3143,45,57,64,45,50,45,69,77
7,3562,80,0.15438826679019257,105,3223,45,66,69,36,53,51,58,80
7,3640,78,0.4820984315883834,105,3301,40,50,59,39,51,52,61,78
7,3721,81,0.11639555683359504,105,3382,55,57,51,42,59,45,51,81
7,3798,77,0.08561736554838717,105,3459,45,59,54,44,58,49,65,77
7,3873,75,0.010999708756571636,105,3534,61,56,69,35,59,49,52,75
7,3948,75,0.09101033341721632,105,3609,48,49,54,34,54,49,56,75
7,4012,64,0.20811249324469827,105,3673,49,51,50,35,56,52,60,64
6,4076,63,0.07335293985670432,105,3736,46,46,56,37,59,48,63,64
7,4145,69,0.381351826217724,105,3805,35,63,63,33,59,48,53,69
7,4209,64,0.05986988008953631,105,3869,40,54,63,42,55,39,58,64
7,4277,65,0.012283626827411354,105,3934,45,52,61,31,68,39,42,65
7,4343,64,0.11397492967080325,105,3998,36,55,58,49,66,45,39,64
7,4403,60,0.08302008762257174,105,4058,42,57,56,45,58,51,48,60
5,4468,50,0.12480950841563754,105,4108,40,60,62,49,61,50,54,65
4,4530,58,0.07899680300033651,105,4166,41,62,62,45,58,52,41,60
4,4591,52,0.0993590010330081,105,4218,39,58,49,45,52,56,52,61
7,4651,55,0.03232964564813301,105,4273,31,60,47,43,52,52,57,55
7,4709,56,0.7548708561516833,105,4329,45,54,47,42,52,58,47,56
0,4766,43,0.08264822501223534,105,4372,43,57,57,47,48,52,48,48
1,4830,64,0.02931058208923787,105,4436,50,64,55,39,54,54,53,51
2,4893,53,0.029712526506045833,105,4489,54,63,53,34,44,46,58,54
3,4956,38,0.3780012224742677,105,4527,46,63,51,38,50,42,57,56
7,5020,43,0.12215782719431445,105,4570,44,56,64,29,54,44,60,43
7,5078,49,0.03820648294640705,105,4619,39,58,56,38,55,43,44,49
6,5143,53,0.16347297915490344,105,4672,39,65,55,29,55,44,53,46
5,5208,51,0.10483325386303477,105,4723,25,62,65,34,61,51,57,42
4,5269,56,0.0978427488298621,105,4779,33,61,56,28,56,46,56,39
4,5339,58,0.08396222491865046,105,4837,31,60,70,32,58,49,55,45
4,5402,54,0.5869419260707218,105,4891,32,63,58,24,54,46,47,48
3,5462,26,0.12028443327290006,105,4917,33,56,60,26,48,47,47,48
6,5527,47,0.31970327795716,105,4964,34,65,55,26,50,50,47,51
4,5589,51,0.15326115826610476,105,5015,31,62,48,27,51,47,50,49
4,5651,42,0.0675644279399421,105,5057,33,62,58,23,42,61,53,48
1,5715,64,0.5139128458977211,105,5121,36,64,61,24,42,49,48,49
1,5771,56,0.08318329756730236,105,5177,45,56,56,26,45,46,44,52
1,5835,64,0.07973220772692002,105,5241,47,64,57,29,42,51,48,52
2,5894,58,0.1044601111789234,105,5299,46,53,58,22,45,59,47,52
1,5953,58,0.10493309993762523,105,5357,45,58,59,19,36,51,42,55
2,6015,60,0.1249016740184743,105,5417,49,62,60,32,45,54,45,49
1,6085,55,0.007432131853420287,105,5472,50,55,70,27,43,57,41,42
4,6157,49,0.02552987221861258,105,5521,50,72,66,28,49,59,46,43
1,6226,69,0.1216349154128693,105,5590,41,69,64,31,47,54,48,44
1,6290,54,0.19023812646628357,105,5644,56,54,64,35,51,50,49,40
4,6357,52,0.24822821229463443,105,5696,40,64,67,38,52,50,51,30
4,6424,48,0.37109072229941376,105,5744,41,58,67,41,48,55,50,27
0,6491,41,0.006617362319957465,105,5785,41,62,67,37,42,59,58,35
7,6561,34,0.13993874826701358,105,5819,40,57,70,54,36,61,50,34
6,6624,47,0.06062640607706271,105,5866,44,55,63,49,43,60,47,32
5,6683,53,0.008763412799453363,105,5919,38,59,59,58,39,53,38,35
2,6746,62,0.04458447074284777,105,5981,44,63,62,57,29,57,32,39
3,6813,53,0.1052761607861612,105,6034,43,67,63,53,42,43,45,32
2,6881,65,0.06203897198429331,105,6099,39,68,65,57,35,48,38,30
2,6941,59,0.08399422685033642,105,6158,41,60,59,54,27,48,42,25
2,7009,68,0.07748695119516924,105,6226,36,53,68,48,34,38,50,23
2,7075,65,0.14900617956300266,105,6291,33,66,65,60,37,56,57,25
2,7135,60,0.154742848360911,105,6351,47,58,60,50,29,57,51,34
3,7198,43,0.009012387949042022,105,6394,41,59,63,43,31,59,57,41
2,7260,61,0.4498699120886158,105,6455,39,59,61,49,34,62,57,29
1,7322,50,0.48916446120711043,105,6505,36,50,56,39,35,53,62,27
2,7387,58,0.1291944150289055,105,6563,34,50,58,41,34,57,65,33
2,7452,64,0.35450411384226754,105,6627,39,45,64,41,27,58,65,27
6,7517,65,0.012563963886350393,105,6692,35,47,58,45,37,53,65,32
5,7582,46,0.20147656978224404,105,6738,31,52,58,35,40,46,65,33
6,7648,66,0.0966765979246702,105,6804,36,58,57,41,38,50,66,29
1,7706,53,0.11718024453148246,105,6857,28,53,54,31,29,49,58,15
2,7772,51,0.12876430884352885,105,6908,32,66,51,31,45,52,60,17
6,7835,57,0.025227133824955672,105,6965,35,63,53,31,45,42,57,27
4,7905,46,0.8734291044820566,105,7011,38,65,70,37,46,52,49,21
2,7962,57,0.2825400584260933,105,7068,41,50,57,41,47,51,49,26
6,8021,38,0.07449220912531018,105,7106,39,48,55,52,37,59,38,22
7,8080,9,0.09141355793690309,105,7115,43,58,55,40,41,59,46,9
6,8129,48,0.0881397589109838,105,7163,43,48,49,46,37,48,48,27
5,8186,57,0.07729173934785649,105,7220,41,48,52,47,42,57,47,16
4,8244,39,0.05687193782068789,105,7259,41,52,50,51,39,44,58,13
0,8301,48,0.11077345503144898,105,7307,48,45,53,49,34,38,57,28
1,8353,31,0.04951981079648249,105,7338,38,31,52,42,35,42,52,17
2,8406,47,0.5588384573638905,105,7385,41,43,47,46,39,38,53,19
3,8461,55,0.13400558751891367,105,7440,42,45,54,55,53,39,55,16
6,8517,56,0.050200812198454514,105,7496,39,39,51,41,54,36,56,14
