choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
0,59,54,1.9462143298296724,104,54,54,52,59,45
0,113,50,0.16208601483958773,104,104,50,54,54,48
0,168,55,0.04112570044526365,104,159,55,52,54,44
1,235,50,0.5128631820844021,104,209,67,50,55,49
2,297,50,0.07126513292314485,104,259,62,55,50,52
3,353,56,0.14267427459708415,104,315,55,52,49,56
3,411,49,0.034167197372880764,104,364,58,55,49,49
2,478,54,0.03534998928080313,104,418,48,50,54,67
2,537,48,0.4089426237042062,104,466,46,59,48,48
2,596,52,0.04148028200143017,104,518,46,51,52,59
2,651,48,0.10599940475367475,104,566,42,52,48,55
1,703,52,0.16795325156999752,104,618,39,52,47,40
1,760,57,0.12330413689778652,104,675,40,57,47,43
1,820,60,0.04966189945116639,104,735,43,60,45,37
1,890,70,0.10966746778285597,104,805,39,70,49,43
1,955,65,0.09380282320489641,104,870,44,65,49,55
1,1024,69,0.1045791584183462,104,939,37,69,56,54
1,1083,55,0.2832466613908764,104,994,32,55,59,47
1,1147,64,0.05445515087922104,104,1058,37,64,48,50
1,1202,55,1.0252405746286968,104,1113,42,55,48,45
1,1259,57,0.05578579178836662,104,1170,38,57,38,52
1,1322,63,0.06247611854632851,104,1233,47,63,37,50
1,1388,66,0.6457935042417375,104,1299,49,66,47,51
1,1451,60,0.05247231031535193,104,1359,42,60,45,63
1,1518,67,0.2696144725632621,104,1426,49,67,45,53
1,1579,61,0.10829522434505634,104,1487,47,61,41,52
1,1645,66,0.07341758378606755,104,1553,53,66,41,50
1,1716,71,0.07332861836766824,104,1624,44,71,40,55
1,1782,66,0.42082814635068644,104,1690,54,66,46,59
1,1842,60,0.33942159682919737,104,1750,52,60,46,53
1,1903,61,0.014097497129114345,104,1811,49,61,38,52
1,1969,66,0.012673410543357022,104,1877,54,66,40,46
1,2032,63,0.02132353646447882,104,1940,58,63,40,48
1,2100,64,0.3917242968454957,104,2004,68,64,36,47
1,2168,53,0.09563461458310485,104,2057,68,53,37,56
1,2229,54,0.4855808833235642,104,2111,61,54,39,45
1,2288,59,0.09415484461351298,104,2170,55,59,35,40
1,2358,70,0.18675951498153154,104,2240,62,70,41,41
1,2419,61,0.05970923032145947,104,2301,52,61,35,41
1,2485,66,0.05411016989091877,104,2367,54,66,51,48
1,2553,68,0.05471372659667395,104,2435,49,68,45,56
1,2617,64,0.053635901072993875,104,2499,55,64,44,60
1,2684,51,0.03059706029307563,104,2550,67,51,42,63
1,2748,57,0.007137713968404569,104,2607,58,57,46,64
1,2816,51,0.47585805217386223,104,2658,58,51,45,68
1,2875,59,0.052416626931517385,104,2717,59,59,50,59
1,2932,50,0.04816036815464031,104,2767,55,50,57,55
1,2998,54,0.0506853216647869,104,2821,54,54,51,66
1,3067,58,0.025849251644103788,104,2879,69,58,49,60
1,3135,50,0.02187845020671375,104,2929,68,50,45,68
1,3200,53,0.5620552929613041,104,2982,56,53,53,65
1,3277,53,0.0846637075592298,104,3035,61,53,41,77
1,3350,44,0.032978645103867166,104,3079,60,44,50,73
0,3420,63,0.21216905988694634,104,3142,63,49,45,70
0,3498,59,0.12386673109722324,104,3201,59,56,55,78
0,3578,67,0.08249781586346216,104,3268,67,58,49,80
0,3648,55,0.41267341053753626,104,3323,55,57,42,70
0,3722,65,0.009562181381625123,104,3388,65,53,45,74
0,3792,55,0.2196933573577553,104,3443,55,54,44,70
0,3872,64,0.016378595828427933,104,3507,64,61,44,80
0,3945,61,0.05528336123097688,104,3568,61,55,39,73
0,4021,73,0.6620972155069467,104,3641,73,63,42,76
0,4099,68,0.32807690706977155,104,3709,68,59,42,78
0,4175,63,0.053228196265990846,104,3772,63,58,58,76
0,4254,65,0.04848678800044581,104,3837,65,67,50,79
0,4331,66,0.4501304079167312,104,3903,66,66,61,77
0,4407,56,0.27088686992647126,104,3959,56,62,55,76
0,4483,68,0.22183364749071188,104,4027,68,54,58,76
0,4561,69,0.20098758005769923,104,4096,69,62,46,78
0,4637,69,0.32852941457531415,104,4165,69,55,60,76
0,4715,63,0.006768411520170048,104,4228,63,57,58,78
0,4792,71,0.09174573814379983,104,4299,71,52,63,77
0,4866,68,0.18893692737037782,104,4367,68,60,65,74
0,4937,62,0.702777448866982,104,4429,62,56,60,71
0,5014,60,1.0763732835039264,104,4489,60,49,59,77
0,5091,65,0.3678156431997195,104,4554,65,51,57,77
0,5173,61,1.8214797059627017,104,4615,61,58,63,82
0,5248,60,0.09163309128780384,104,4675,60,50,60,75
0,5327,59,0.23699168910388835,104,4734,59,51,67,79
0,5416,66,0.12243496405426413,104,4800,66,53,56,89
0,5501,67,0.05521039679297246,104,4867,67,48,65,85
0,5577,68,0.3616943110100692,104,4935,68,43,57,76
0,5665,63,0.1835759614186827,104,4998,63,47,55,88
0,5753,55,0.047429443715373054,104,5053,55,44,61,88
0,5839,51,0.3595937032951042,104,5104,51,49,51,86
2,5932,44,0.43962928945256863,104,5148,51,47,44,93
3,6028,96,0.02291787340072915,104,5244,55,39,41,96
3,6128,100,0.03064122298383154,104,5344,43,45,41,100
3,6217,89,0.07528585736872628,104,5433,49,44,42,89
3,6316,99,0.11152998101897538,104,5532,51,33,43,99
3,6416,100,0.35721403860952705,104,5632,47,32,33,100
3,6516,100,0.08881179976742715,104,5732,50,34,40,100
3,6610,94,0.015337252509198152,104,5826,61,29,42,94
3,6705,95,0.4477718645357527,104,5921,61,32,28,95
3,6798,93,0.15020561250275932,104,6014,60,27,32,93
3,6889,91,0.32589501440816093,104,6105,57,33,34,91
3,6986,97,0.11365811040741391,104,6202,59,33,46,97
3,7076,90,0.5391489402536536,104,6292,60,31,43,90
3,7164,88,0.060099654059740715,104,6380,62,40,32,88
3,7238,74,0.28499460767488927,104,6454,63,42,40,74
3,7319,81,0.056758010876365006,104,6535,60,44,43,81
3,7398,79,0.10615621428587474,104,6614,59,50,50,79
3,7472,74,0.6940325971809216,104,6688,62,54,49,74
3,7548,76,0.14055830595316365,104,6764,65,55,52,76
3,7617,69,0.02156803134130314,104,6833,55,58,47,69
3,7693,76,0.41330448891676497,104,6909,54,57,44,76
3,7773,80,0.5158937663363758,104,6989,56,67,55,80
3,7856,83,0.21310223660839256,104,7072,62,63,58,83
3,7937,81,0.11960919224657118,104,7153,57,57,58,81
3,8012,75,0.03546199609991163,104,7228,58,62,57,75
3,8094,82,0.1750301618303638,104,7310,60,55,60,82
3,8165,71,0.05900902774010319,104,7381,64,64,61,71
3,8240,73,0.7301493530831067,104,7454,75,59,61,73
3,8307,63,0.416383716132259,104,7517,55,67,66,63
3,8378,71,0.15053843274654355,104,7588,66,58,63,71
3,8455,77,0.3822280394670088,104,7665,62,54,64,77
3,8528,73,0.15741117059951648,104,7738,57,60,65,73
3,8603,75,0.28538887164904736,104,7813,54,63,73,75
3,8685,82,0.14695741501054727,104,7895,56,78,71,82
3,8777,92,0.01779436189099215,104,7987,62,62,76,92
3,8851,74,0.09807252280006651,104,8061,57,57,66,74
3,8936,85,0.10797776504477952,104,8146,55,56,64,85
3,9021,85,0.362408594446606,104,8231,57,58,69,85
3,9109,88,0.06521356498706155,104,8319,59,49,69,88
3,9199,90,0.08724562452698592,104,8409,40,49,63,90
3,9281,82,0.06312063772929832,104,8491,48,45,62,82
3,9364,83,0.11721416661748663,104,8574,43,45,66,83
3,9456,92,0.023243653209647164,104,8666,47,48,64,92
3,9556,100,0.32603454288619105,104,8766,45,52,71,100
3,9645,89,0.44575958217319567,104,8855,56,42,68,89
3,9740,95,0.5138898045115639,104,8950,52,41,74,95
3,9835,95,0.35521135685849003,104,9045,53,35,67,95
3,9934,99,0.22824427725572605,104,9144,45,43,72,99
3,10026,92,0.3881285582174314,104,9236,52,52,71,92
3,10117,91,0.11914516403339803,104,9327,49,45,79,91
3,10210,93,0.20463516180461738,104,9420,51,39,73,93
3,10303,93,0.2559886841190746,104,9513,50,43,69,93
3,10391,88,0.12723845608707052,104,9601,52,45,81,88
3,10478,87,0.21542045756359585,104,9688,52,43,66,87
3,10574,96,0.4804068087396445,104,9784,48,49,70,96
3,10659,85,0.3961200841004029,104,9869,46,52,64,85
3,10741,82,0.7863255685952026,104,9951,43,48,66,82
3,10823,82,0.3238993730774382,104,10033,43,50,69,82
3,10893,70,0.06029614600993227,104,10103,40,60,67,70
3,10962,69,0.33372077022795565,104,10172,47,58,55,69
3,11046,84,0.26277821691473946,104,10256,40,43,49,84
3,11131,85,0.12580476893344894,104,10341,37,49,54,85
3,11220,89,0.08601674981764518,104,10430,47,52,65,89
3,11309,89,0.2398757044429658,104,10519,41,52,54,89
3,11399,90,0.34436141717014834,104,10609,41,49,53,90
3,11484,85,0.053978321884642355,104,10694,39,43,62,85
3,11558,74,0.07495623733848333,104,10768,41,48,53,74
3,11637,79,0.10856148053426296,104,10847,48,47,58,79
3,11716,79,0.05037746296147816,104,10926,45,49,58,79
3,11801,85,0.11914452399651054,104,11011,55,43,55,85
3,11878,77,0.27612046811555047,104,11088,64,40,50,77
3,11955,77,0.1166822942905128,104,11165,68,42,52,77
3,12031,76,0.13794374698773026,104,11241,60,54,49,76
3,12099,68,0.08246389380656183,104,11309,63,53,44,68
3,12176,77,0.0924164989264682,104,11386,52,52,49,77
3,12257,81,0.15877765367622487,104,11467,59,48,51,81
3,12339,82,0.09558725170791149,104,11549,62,47,57,82
3,12410,71,0.07227255417092238,104,11620,64,48,51,71
3,12486,76,0.053030424256576225,104,11696,59,53,48,76
3,12556,70,0.08152495672402438,104,11766,57,50,35,70
3,12636,80,0.4171556030632928,104,11846,58,46,42,80
3,12711,75,0.2767144242388895,104,11921,58,44,50,75
3,12780,69,0.35567730518232565,104,11990,48,44,43,69
3,12847,67,0.0969294132955838,104,12057,55,45,53,67
3,12908,61,0.513333610681002,104,12118,56,46,57,61
3,12980,72,0.11255596339469776,104,12190,52,46,65,72
3,13052,72,0.06286782237293664,104,12262,45,50,51,72
3,13115,63,0.3114640570129268,104,12325,41,52,55,63
3,13180,65,0.007162675479776226,104,12390,47,54,45,65
3,13236,52,0.1412969108496327,104,12442,46,56,47,52
3,13295,47,0.038056713849073276,104,12489,46,59,45,47
3,13350,55,0.16189016292628367,104,12544,53,55,47,55
3,13408,58,0.33657150354702026,104,12602,47,42,54,58
3,13459,50,0.06022126144671347,104,12652,45,51,47,50
2,13516,48,0.16676149910199456,104,12700,37,57,48,50
1,13572,55,0.09432829516299535,104,12755,37,55,56,54
1,13628,56,0.422005817948957,104,12811,39,56,55,48
1,13679,51,0.06491338674095459,104,12862,40,51,51,51
1,13741,62,0.12348718801513314,104,12924,49,62,51,47
1,13805,64,0.05225469708966557,104,12988,35,64,52,51
1,13866,61,0.10817809723084792,104,13049,41,61,43,47
1,13928,62,0.07802778409677558,104,13111,44,62,52,54
1,13993,65,0.566740377820679,104,13176,47,65,54,51
1,14053,54,0.08859482656407636,104,13230,39,54,60,53
1,14131,78,0.1023134206479881,104,13308,45,78,44,60
1,14199,68,0.10190635590697639,104,13376,39,68,46,49
1,14270,71,0.07829084008699283,104,13447,49,71,43,44
1,14339,69,0.01667877405998297,104,13516,46,69,47,49
1,14409,70,0.046403461339650676,104,13586,45,70,56,40
1,14485,76,0.01135301026806701,104,13662,44,76,63,52
1,14568,83,0.8145301634212956,104,13745,46,83,56,51
1,14637,69,0.3169728719512932,104,13814,47,69,54,56
1,14711,74,0.059062150976387784,104,13888,49,74,58,53
1,14777,66,0.10717963652859908,104,13954,49,66,47,51
1,14854,77,0.6823307657177793,104,14031,49,77,51,49
