choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,77,39,2.0924369801650755,104,39,39,49,73,52,56,47,55,55,23,46,40,57,36,41,36,72,61,53,41,46,53,52,75,76,77,49
0,165,39,0.5503060986084165,104,78,39,45,70,41,53,43,55,51,25,50,40,48,39,44,33,81,67,49,34,48,52,40,76,72,88,52
1,247,50,0.3751888914848678,104,128,46,50,74,48,44,43,61,57,25,48,38,48,31,36,36,80,64,39,27,50,52,41,67,73,82,46
1,332,66,0.25259775794984307,104,194,58,66,73,53,45,38,59,53,21,58,48,45,48,37,34,79,71,48,27,45,56,43,66,78,85,44
1,412,63,0.6217606830468867,104,257,42,63,80,50,55,43,65,61,26,49,39,46,47,42,34,67,63,40,27,45,50,41,65,74,64,44
2,493,81,0.22707748631364666,104,338,46,42,81,43,48,55,58,65,32,51,37,54,47,40,41,73,72,50,28,48,53,48,72,77,70,40
2,575,82,0.38088011751824524,104,420,42,48,82,48,42,48,70,68,22,52,37,54,45,46,31,67,75,36,30,43,49,38,72,81,76,44
3,660,52,1.0436180119868368,104,472,38,54,85,52,41,44,50,66,31,57,46,52,49,46,33,67,76,49,31,45,58,45,66,71,64,41
3,744,39,0.2564987951191142,104,511,45,53,76,39,43,40,55,64,29,50,38,48,38,52,42,68,69,35,29,52,49,48,73,82,84,37
4,833,40,0.26680342164763715,104,551,40,53,70,48,40,38,62,77,27,57,39,52,49,50,49,74,72,36,28,41,57,46,65,78,89,53
4,915,46,0.2652922897686949,104,597,50,45,79,45,46,37,63,80,19,56,43,56,56,53,43,75,65,35,26,48,56,42,69,73,82,47
5,993,36,0.2939378714218037,104,633,41,48,73,49,48,36,64,78,20,69,29,56,49,44,61,62,70,36,34,54,59,47,69,67,73,50
5,1073,38,0.185270784466411,104,671,41,50,80,43,44,38,64,70,19,65,36,49,56,55,54,71,66,36,33,45,58,45,67,75,74,49
6,1150,59,0.25522831788111944,104,730,42,53,75,51,35,37,59,76,17,67,37,59,49,64,56,65,64,29,39,42,54,41,76,77,69,44
6,1227,61,0.1782962804136332,104,791,45,47,75,50,34,43,61,72,20,65,40,49,39,56,44,66,60,35,34,46,51,48,77,77,66,47
6,1304,63,0.3911008989234688,104,854,38,49,77,41,47,43,63,71,15,61,42,57,46,68,55,66,52,41,39,45,55,48,64,66,64,42
6,1384,71,0.11682630304130726,104,925,40,45,76,45,32,38,71,58,21,54,40,49,48,61,46,74,65,39,47,49,40,50,72,80,69,44
6,1466,61,0.21796781245211605,104,986,45,54,76,55,26,37,61,67,29,67,48,59,58,53,58,82,61,46,40,50,46,57,71,67,62,40
6,1543,61,0.2167235767992679,104,1047,53,47,75,43,31,47,61,74,30,67,41,55,41,57,51,77,55,42,42,49,48,61,64,68,69,54
7,1628,64,0.5390426937956363,104,1111,56,54,75,34,43,50,50,64,20,70,46,58,39,51,58,85,64,48,57,51,50,64,69,65,68,51
7,1715,65,0.2432320685038576,104,1176,46,58,70,40,37,50,50,65,32,58,47,73,54,49,59,87,50,37,49,35,42,63,83,73,66,53
8,1802,21,0.19093192866421305,104,1197,56,64,70,36,37,43,60,73,21,65,52,64,46,55,63,87,56,40,59,44,41,54,85,77,58,52
9,1883,60,0.16956998985551763,104,1257,50,55,66,33,36,45,59,63,27,60,41,69,47,49,62,81,58,40,60,44,48,59,74,74,60,48
9,1969,67,0.3431523836625274,104,1324,57,55,73,32,36,47,63,63,17,67,46,55,54,52,58,84,47,52,54,51,48,60,86,71,63,50
9,2064,63,0.2582992245879723,104,1387,50,50,71,34,34,46,67,65,10,63,38,60,46,48,50,95,61,41,56,39,45,50,79,78,61,39
11,2158,60,0.11453432368580252,104,1447,53,58,73,29,34,48,56,67,18,55,40,60,43,52,54,94,64,38,55,44,49,59,79,65,63,40
11,2252,55,0.6518770741386106,104,1502,62,57,65,34,36,41,62,62,7,51,36,55,48,51,63,94,48,31,52,48,50,63,83,70,51,49
10,2342,45,0.14044565909716766,104,1547,56,61,76,35,35,39,66,67,19,61,45,56,48,47,65,90,50,47,62,57,55,57,81,66,56,38
10,2434,41,0.21020158025203273,104,1588,57,57,79,32,34,39,74,61,23,61,41,51,55,59,67,92,53,36,56,52,43,51,79,60,63,51
12,2534,44,0.7106729689257918,104,1632,63,57,62,32,27,42,74,69,22,58,49,45,44,44,61,100,60,24,55,56,45,46,79,52,56,41
12,2634,49,0.1014596087479731,104,1681,55,57,70,34,31,49,64,65,16,53,42,59,49,44,54,100,44,31,62,46,46,44,76,58,52,48
13,2726,39,0.2659598503523739,104,1720,55,49,62,44,32,46,73,67,12,56,54,56,48,39,60,92,56,41,66,57,50,58,70,56,51,42
13,2823,49,0.4701969079760602,104,1769,63,66,67,35,32,54,74,65,15,57,47,60,47,49,61,97,57,31,65,56,43,48,74,56,51,37
14,2912,58,0.4604318342608167,104,1827,56,47,67,36,34,44,72,76,5,60,45,58,49,40,58,89,56,33,64,49,48,50,73,54,56,38
14,3008,60,0.28789014372159727,104,1887,52,59,63,41,48,46,79,68,8,63,42,69,45,41,60,96,55,34,71,50,46,50,77,56,56,46
15,3099,91,0.31766859425988514,104,1978,52,57,66,36,43,41,75,67,11,58,45,68,35,36,61,91,61,31,70,48,36,50,78,65,56,40
15,3186,87,0.4445319875521818,104,2065,39,59,68,34,42,38,79,67,11,47,50,61,45,42,56,87,58,30,65,40,38,61,63,60,61,39
15,3272,86,0.2844716958788922,104,2151,49,59,74,25,38,42,84,66,11,51,49,67,45,44,54,86,64,31,71,40,35,37,76,55,64,38
16,3362,66,3.164127738971729,104,2217,45,60,69,37,43,37,79,69,10,52,47,64,34,47,57,90,66,24,54,44,53,51,69,55,53,37
16,3452,67,0.1799911034613615,104,2284,40,66,63,39,52,41,76,74,11,41,43,71,36,53,44,90,67,30,56,39,45,46,77,58,66,32
17,3549,21,0.4413785158103565,104,2305,36,55,67,38,47,48,73,64,16,53,41,63,47,48,52,97,63,21,68,46,49,47,81,56,63,39
18,3646,67,1.4603051065496402,104,2372,41,57,68,42,59,40,72,74,19,51,47,69,49,49,59,97,63,30,67,43,48,40,77,62,65,31
18,3736,65,0.26431495034194086,104,2437,40,62,64,48,56,48,68,72,16,45,51,69,46,37,51,90,69,22,65,55,47,42,76,65,61,42
19,3832,54,0.6878018183488166,104,2491,50,56,66,46,53,49,72,80,22,38,42,67,42,43,57,96,61,26,62,54,47,47,83,50,67,38
19,3924,62,0.8186436935357051,104,2553,45,66,63,44,60,55,58,82,22,43,42,65,49,49,57,92,69,21,53,62,49,43,75,57,67,38
20,4013,55,0.9270848467567703,104,2608,45,57,64,45,50,45,69,77,16,48,47,65,48,41,60,89,55,18,54,67,55,54,69,58,56,38
20,4096,55,0.8254613880562829,104,2663,45,66,69,36,53,51,58,80,22,47,44,61,47,55,65,83,56,34,53,64,55,44,77,58,52,36
21,4185,53,0.24589975070557557,104,2716,40,50,59,39,51,52,61,78,25,48,41,73,48,55,60,89,58,25,65,56,50,53,73,50,58,40
21,4274,54,0.3868382397631649,104,2770,55,57,51,42,59,45,51,81,29,47,34,75,40,49,61,89,55,16,61,59,49,54,74,59,65,36
22,4360,69,2.4878376605338417,104,2839,45,59,54,44,58,49,65,77,22,52,43,77,43,56,64,86,49,24,53,57,46,46,69,59,60,32
22,4447,72,0.384449614546611,104,2911,61,56,69,35,59,49,52,75,24,45,39,75,40,43,61,87,45,16,67,58,46,56,72,59,61,35
22,4539,74,0.9051110307627823,104,2985,48,49,54,34,54,49,56,75,27,47,36,74,41,49,63,92,51,17,58,60,46,46,74,59,60,29
22,4639,75,0.3696915972541319,104,3060,49,51,50,35,56,52,60,64,30,48,43,75,41,54,58,100,53,17,52,56,45,42,75,55,61,40
23,4739,54,2.110403512531775,104,3114,46,46,56,37,59,48,63,64,30,56,41,71,42,42,61,100,47,18,53,56,53,47,71,54,54,45
24,4827,63,0.2000076804542914,104,3177,35,63,63,33,59,48,53,69,32,45,43,74,22,43,70,88,53,23,61,62,48,41,72,50,63,42
24,4922,61,0.020249551176675595,104,3238,40,54,63,42,55,39,58,64,29,52,32,74,27,52,76,95,54,28,58,66,51,46,71,53,61,40
25,5016,54,0.4722207110171439,104,3292,45,52,61,31,68,39,42,65,33,54,40,66,40,53,57,94,60,27,58,62,52,51,67,59,59,54
2,5109,58,1.3107305724115577,104,3350,36,55,58,49,66,45,39,64,29,41,42,63,38,44,68,93,56,32,56,56,48,60,73,65,58,43
2,5204,56,0.11855184796149842,104,3406,42,57,56,45,58,51,48,60,30,43,43,69,36,44,63,95,53,32,52,64,45,52,78,61,51,35
15,5297,93,0.33707521416363306,104,3499,40,60,62,49,61,50,54,65,28,53,37,77,48,41,64,93,54,25,53,65,50,57,77,60,61,42
