choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
0,97,97,0.7470899031031877,109,97,97,32,50,40
0,169,72,0.9617058316944167,109,169,72,29,62,43
0,248,79,0.10111334768589586,109,248,79,32,54,45
0,321,73,0.08433792775031179,109,321,73,31,53,42
0,404,83,0.008749971981160343,109,404,83,29,65,37
0,483,79,0.3892697476549074,109,483,79,30,48,34
0,571,88,0.11452728335279971,109,571,88,34,54,37
0,658,87,0.06170167145319283,109,658,87,33,51,34
0,733,75,0.014861063566058874,109,733,75,40,61,28
0,823,90,0.14583030645735562,109,823,90,36,58,41
0,903,80,0.4672712900210172,109,903,80,45,67,41
0,976,73,0.08529542596079409,109,976,73,42,58,47
0,1056,80,0.08694160601589829,109,1056,80,42,62,36
0,1130,74,0.06161974649876356,109,1130,74,49,68,36
0,1200,70,0.06993705220520496,109,1200,70,32,55,43
0,1274,74,0.10174186597578228,109,1274,74,47,55,37
0,1347,73,0.10071396338753402,109,1347,73,50,46,40
0,1421,74,0.18829368823207915,109,1421,74,50,55,43
0,1486,65,0.1689280307618901,109,1486,65,51,56,42
0,1559,73,0.06779356184415519,109,1559,73,60,61,45
1,1627,54,0.34363625303376466,109,1613,68,54,55,48
2,1700,59,0.21461400855332613,109,1672,73,54,59,38
3,1776,46,0.28944863856304437,109,1718,76,67,56,46
0,1853,77,0.2668450241908431,109,1795,77,58,58,42
0,1937,84,0.2849146027583629,109,1879,84,56,57,47
0,2015,78,0.02855917636770755,109,1957,78,53,59,45
0,2092,77,0.3242225927533582,109,2034,77,59,59,52
0,2170,78,0.12006233970168978,109,2112,78,54,68,49
0,2255,85,0.12259433371946216,109,2197,85,67,63,50
0,2335,80,0.17386017076205462,109,2277,80,55,47,52
0,2417,82,0.12536762235686183,109,2359,82,56,46,44
0,2503,86,0.1621288973838091,109,2445,86,64,56,42
0,2594,91,0.10407544777262956,109,2536,91,55,45,43
0,2674,80,0.13994514860678464,109,2616,80,56,44,46
0,2758,84,0.21642275853082538,109,2700,84,52,43,49
0,2846,88,0.1446001516887918,109,2788,88,41,45,44
0,2912,66,0.09939036297146231,109,2854,66,51,47,38
0,2992,80,0.05553681659512222,109,2934,80,46,54,38
0,3067,75,0.4074602934997529,109,3009,75,40,46,35
0,3144,77,0.4226292158709839,109,3086,77,50,53,39
0,3218,74,0.48532870796043426,109,3160,74,43,43,34
0,3283,65,0.4809342008084059,109,3225,65,46,43,32
0,3353,70,0.23568152938969433,109,3295,70,50,44,41
0,3419,66,0.1678706866223365,109,3361,66,44,44,29
0,3494,75,0.036068112938664854,109,3436,75,44,41,38
0,3554,60,0.02476438565645367,109,3496,60,49,35,41
0,3607,53,0.3857668145792559,109,3549,53,53,40,35
0,3659,51,0.10834066721145064,109,3600,51,52,46,44
1,3713,53,0.27539210382383317,109,3653,54,53,41,41
2,3770,53,0.2291748938150704,109,3706,56,57,53,34
3,3822,39,0.16908164019696414,109,3745,52,50,44,39
2,3879,42,0.09537731891032308,109,3787,57,40,42,43
2,3934,46,0.0613925326615572,109,3833,55,39,46,41
1,3999,41,0.07944163004867733,109,3874,65,41,45,44
1,4058,47,0.13620348111726344,109,3921,59,47,54,43
3,4119,49,0.2165443659760058,109,3970,61,33,56,49
2,4178,59,0.4002195333596319,109,4029,57,35,59,46
2,4236,58,0.2152105247369036,109,4087,57,51,58,56
2,4305,52,0.15869572875089943,109,4139,69,53,52,56
2,4376,54,0.19044357899110764,109,4193,71,49,54,55
0,4449,73,0.2522399761946872,109,4266,73,52,52,56
0,4527,78,0.19430621375795454,109,4344,78,50,47,55
0,4598,71,0.2984443854074925,109,4415,71,50,52,66
0,4668,70,0.14226912998128682,109,4485,70,52,53,58
0,4727,59,0.17471718275919557,109,4544,59,51,54,49
0,4790,57,0.2185566482366994,109,4601,57,47,54,63
0,4853,63,0.13970769417937845,109,4664,63,52,56,57
0,4921,68,0.21259340562392026,109,4732,68,43,58,61
0,4991,70,0.26610257907304913,109,4802,70,45,68,48
0,5063,72,0.24262723175343126,109,4874,72,43,65,57
0,5140,77,0.1776581616140902,109,4951,77,37,62,57
0,5219,79,0.268933471175842,109,5030,79,41,64,65
0,5300,81,0.15693498170003295,109,5111,81,38,64,54
0,5374,74,0.39300437457859516,109,5185,74,27,58,47
0,5454,80,0.6081969783408567,109,5265,80,32,55,62
0,5520,66,0.27526345604564995,109,5331,66,28,50,57
0,5591,71,0.19231121242046356,109,5402,71,39,56,61
0,5663,72,0.13550839887466282,109,5474,72,33,41,54
0,5743,80,0.5694579830160365,109,5554,80,31,53,63
0,5827,84,0.20618085574824363,109,5638,84,32,53,58
0,5904,77,0.025966378743760288,109,5715,77,31,51,70
0,5984,80,0.1394574389560148,109,5795,80,32,43,62
0,6068,84,0.22695651894900948,109,5879,84,37,48,59
0,6145,77,0.6472156706731766,109,5956,77,43,59,62
0,6215,70,0.8717586029088125,109,6026,70,43,46,58
0,6279,64,0.39218768500722945,109,6090,64,37,47,62
