choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,61,55,0.7152025243267417,109,55,55,45,61,35,49,47,38,21
1,131,59,0.5471071841893718,109,114,59,59,70,33,38,45,39,21
2,190,58,0.23448337661102414,109,172,59,49,58,37,44,43,42,28
3,253,32,0.27592973643913865,109,204,63,55,58,32,38,51,44,21
5,312,50,0.26903971761930734,109,254,59,55,51,36,32,50,34,38
6,371,34,0.6518156303791329,109,288,59,47,52,29,33,50,34,43
7,432,45,0.3136139477137476,109,333,54,49,61,36,38,44,47,45
0,491,59,0.2808177138213068,109,392,59,59,58,43,45,46,43,35
1,549,58,0.3626121268607676,109,450,56,58,55,34,41,39,44,38
0,609,60,0.4138113997178152,109,510,60,55,57,36,48,52,40,26
0,665,53,0.42384464980568737,109,563,53,56,52,38,51,46,39,30
1,717,47,0.2800663079833612,109,610,43,47,49,36,52,42,37,35
2,774,56,0.24594455340411514,109,666,54,57,56,31,43,45,32,39
3,833,41,0.2895766462897882,109,707,57,58,59,41,42,48,38,32
1,897,53,0.4920657576294616,109,760,47,53,64,34,47,41,34,28
0,972,53,0.047826267895288765,109,813,53,64,75,50,48,46,47,36
6,1042,44,0.4045628374442458,109,857,58,56,70,41,45,43,44,31
6,1106,52,0.8144015156431124,109,909,44,57,64,44,43,36,52,25
7,1171,28,0.33953680377453566,109,937,46,54,65,38,38,38,45,28
6,1240,46,0.2783951663877815,109,983,43,47,69,39,40,36,46,36
5,1301,34,0.2087742934236303,109,1017,53,61,56,35,39,34,51,26
0,1368,51,0.14975566510111094,109,1068,51,53,67,44,34,28,42,28
0,1431,52,0.32612798863556236,109,1120,52,42,63,37,37,33,50,22
0,1497,39,0.1810977307613939,109,1159,39,53,66,36,52,40,48,30
1,1565,53,0.24022644571959972,109,1212,43,53,68,30,44,40,42,27
1,1625,52,0.20657511975150555,109,1264,37,52,60,19,37,26,55,28
1,1691,38,0.1561746153747663,109,1302,50,38,66,42,46,32,54,30
2,1751,60,0.11618050385732204,109,1362,43,43,60,36,41,28,44,30
2,1813,62,0.06256572401616722,109,1424,48,41,62,28,39,34,61,32
3,1879,34,0.5866327872499824,109,1458,43,40,66,34,48,34,57,26
3,1943,34,0.11772171745542437,109,1492,42,40,64,34,44,33,44,24
1,2005,50,0.26079985674005,109,1542,48,50,62,33,45,40,53,30
1,2058,49,0.09661963453982025,109,1591,53,49,45,35,34,41,50,32
2,2124,66,0.07668306236155331,109,1657,48,46,66,39,40,39,53,24
2,2180,55,0.8276023182552308,109,1712,44,47,55,43,39,41,56,29
0,2243,48,0.6513906444888562,109,1760,48,44,63,37,45,53,47,28
0,2305,54,0.5807585101574659,109,1814,54,47,62,42,37,51,48,36
1,2363,41,0.3270093221217394,109,1855,40,41,56,38,40,58,42,46
2,2416,53,0.6123777126194909,109,1908,45,39,53,31,47,47,53,47
2,2481,52,0.3329047206789255,109,1960,49,44,52,42,38,65,43,37
0,2547,49,0.3537047051358968,109,2009,49,46,48,38,45,66,39,40
0,2611,51,0.2086821278790012,109,2060,51,50,50,44,50,64,42,38
2,2675,48,0.29237361636478454,109,2108,56,45,48,44,53,64,37,51
2,2740,40,0.0612702852813527,109,2148,51,44,40,36,47,65,40,43
0,2803,61,0.11038559151347727,109,2209,61,45,49,38,55,63,36,38
0,2865,54,0.08404350990895182,109,2263,54,50,45,48,51,62,38,47
5,2927,62,1.170592132024467,109,2325,58,51,55,42,55,62,32,40
5,2993,66,0.40262415958568454,109,2391,52,52,48,37,56,66,41,29
6,3061,41,0.29038181516807526,109,2432,64,45,40,39,49,68,41,29
5,3131,70,0.16830847319215536,109,2502,65,50,54,47,44,70,25,40
5,3196,64,0.3357477734098211,109,2566,65,49,52,46,44,64,27,37
5,3266,70,0.15794816322159022,109,2636,65,55,43,38,46,70,35,39
5,3334,68,0.2804343303432688,109,2704,53,52,41,30,47,68,24,42
5,3402,68,0.08344955369830132,109,2772,60,51,45,46,43,68,31,41
5,3460,58,0.015988812083378434,109,2830,56,45,35,39,49,58,30,37
5,3523,63,0.12157219159416854,109,2893,50,50,52,41,43,63,27,47
7,3578,48,0.09210415987763554,109,2941,51,42,54,42,45,55,36,48
5,3632,54,0.6971982297254726,109,2995,40,45,38,46,40,54,38,41
5,3693,61,0.6209209519438446,109,3056,50,48,44,47,36,61,29,40
0,3753,50,0.4928235636325553,109,3106,50,49,42,53,49,60,38,47
0,3821,47,0.16741177870426327,109,3153,47,41,43,45,47,68,37,40
5,3881,60,0.43410191335715353,109,3213,55,43,40,52,40,60,33,52
5,3942,61,0.3236279966076836,109,3274,57,34,45,57,41,61,28,48
5,3998,56,0.3114794179564342,109,3330,52,43,46,46,41,56,42,51
5,4058,60,0.38492260326165706,109,3390,47,50,48,53,39,60,39,56
0,4114,47,0.061945526278577745,109,3437,47,46,39,50,39,56,41,51
5,4174,60,0.21287118247710168,109,3497,48,55,41,48,40,60,46,49
1,4238,44,0.3197026379639283,109,3541,49,44,45,39,44,64,47,48
2,4308,48,0.4231143653159961,109,3589,45,64,48,57,53,70,42,48
3,4374,49,0.26219130121171474,109,3638,53,55,40,49,45,66,52,48
5,4446,72,0.04695453483145684,109,3710,51,47,40,50,50,72,44,49
5,4512,66,0.35394792002625763,109,3776,59,49,45,43,46,66,51,52
5,4579,67,0.15371110569685698,109,3843,50,49,43,42,38,67,65,53
5,4642,63,0.1438794678542763,109,3906,60,38,50,43,44,63,50,57
5,4702,60,0.2648423423524946,109,3966,54,49,48,41,38,60,46,51
5,4757,55,0.27876894909422845,109,4021,43,53,44,42,40,55,55,52
6,4817,59,0.3122065021889284,109,4080,53,53,45,37,38,60,59,48
6,4879,49,0.4654369385680184,109,4129,57,46,42,39,40,62,49,52
7,4940,59,0.10706250939983875,109,4188,44,43,43,45,42,61,51,59
5,5000,57,0.2951501051429659,109,4245,50,52,41,53,43,57,57,60
5,5057,48,0.2572943634586409,109,4293,45,46,50,49,31,48,51,57
7,5123,66,0.16213337774388492,109,4359,50,45,41,51,37,55,57,66
7,5182,59,0.3082811434287578,109,4418,43,52,54,49,39,48,52,59
