choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,72,57,4.2805463371332735,109,57,57,72,63,43,56,62,53,28
1,145,73,0.408363388502039,109,130,66,73,64,38,55,63,38,19
2,221,68,0.9953328362898901,109,198,55,76,68,50,54,64,41,27
1,305,84,0.5810318066505715,109,282,58,84,73,47,60,66,44,25
1,389,84,0.38010119018144906,109,366,65,84,76,51,57,69,39,24
1,470,81,0.3556830654852092,109,447,64,81,62,44,62,65,45,36
1,560,90,0.2917694195639342,109,537,59,90,71,48,65,64,42,22
1,640,80,0.22659553692210466,109,617,54,80,69,44,72,63,42,29
1,731,91,0.3528540935367346,109,708,60,91,65,49,67,74,40,30
1,821,90,0.2832978644873947,109,798,56,90,55,52,64,67,39,27
1,903,82,0.21108867425937206,109,880,55,82,49,46,58,61,37,32
1,997,94,0.25674393004737794,109,974,50,94,59,51,63,66,33,28
1,1081,84,0.17258329305332154,109,1058,57,84,56,53,69,58,33,26
1,1172,91,0.23601498967036605,109,1149,56,91,52,43,65,58,37,28
1,1261,89,0.2640019713435322,109,1238,60,89,54,54,66,57,44,26
1,1353,92,0.2389386873692274,109,1330,52,92,53,47,62,64,41,36
1,1436,83,0.2423712161835283,109,1413,53,83,62,52,58,63,41,34
1,1524,88,0.2251618498703465,109,1501,44,88,57,46,69,62,50,33
1,1615,91,0.18782966013532132,109,1592,55,91,52,49,62,65,43,35
1,1701,86,0.623934255214408,109,1678,42,86,45,44,69,59,44,29
1,1786,85,0.28343483281787485,109,1763,55,85,47,46,66,56,49,27
1,1873,87,0.23197570408228785,109,1850,49,87,57,51,56,54,44,35
1,1965,92,0.48077803140040487,109,1942,50,92,61,52,57,50,53,34
1,2053,88,0.1623945136088878,109,2030,61,88,50,59,65,66,49,38
1,2135,82,0.17460005567409098,109,2112,61,82,57,55,68,58,47,31
1,2221,86,0.0945683098398149,109,2198,71,86,60,49,57,58,52,37
1,2307,86,0.02458261454012245,109,2284,74,86,59,48,55,57,54,45
1,2391,84,0.12005273927934468,109,2368,73,84,52,48,57,58,56,43
1,2482,91,0.1892684674821794,109,2459,74,91,57,48,53,63,56,39
1,2567,85,0.13126174069475383,109,2544,77,85,53,53,56,61,54,52
1,2652,85,0.14515442540869117,109,2629,81,85,60,38,52,64,50,43
1,2747,95,0.13724610453937203,109,2724,85,95,62,46,54,59,57,47
1,2832,85,0.0543917870381847,109,2809,80,85,65,42,47,64,56,41
1,2917,85,0.12955539696849883,109,2894,85,85,60,40,43,57,54,39
1,3001,84,0.11270829266868532,109,2978,83,84,57,41,57,56,57,41
1,3085,84,0.10066596046090126,109,3062,81,84,63,37,55,57,54,45
1,3166,79,0.10533184418454766,109,3141,81,79,67,37,63,65,60,41
1,3251,76,0.09257266845088452,109,3217,85,76,62,34,59,63,54,46
1,3332,81,0.12366063857916743,109,3298,81,81,62,28,58,59,62,44
1,3413,75,0.05101622175425291,109,3373,81,75,70,29,59,66,62,45
1,3496,77,0.06355778430588543,109,3450,83,77,55,31,48,59,60,45
1,3573,71,0.13523702241946012,109,3521,77,71,58,35,66,63,68,47
1,3652,79,0.12531449913512915,109,3600,73,79,65,35,61,56,61,53
1,3734,82,0.05059507617261261,109,3682,72,82,64,34,59,63,65,59
1,3829,95,0.09282164357136935,109,3777,70,95,63,36,59,61,55,57
1,3914,85,1.0893807943211868,109,3862,74,85,72,33,63,63,61,61
1,3996,82,0.1399861112004146,109,3944,70,82,62,34,60,69,56,55
1,4081,85,0.10058531549293548,109,4029,74,85,61,30,67,65,65,47
1,4164,83,0.020581731339916587,109,4112,69,83,61,24,60,62,67,50
1,4251,87,1.1228074666578323,109,4199,69,87,57,31,60,66,59,47
1,4332,81,1.0190654791658744,109,4280,71,81,62,34,55,67,71,55
1,4410,78,0.7869937691139057,109,4358,68,78,58,27,60,68,58,50
1,4481,70,0.4587683731224388,109,4428,63,70,71,34,56,62,57,54
1,4560,79,0.23487956065218896,109,4507,64,79,60,26,55,61,69,52
1,4636,75,0.29484288638923317,109,4582,61,75,63,24,61,76,65,61
2,4712,67,0.0934975246200338,109,4649,56,76,67,30,60,73,71,50
2,4791,64,0.08462978550232947,109,4713,60,79,64,32,65,77,71,51
3,4875,29,0.004451470682397485,109,4742,60,84,63,29,58,73,64,58
4,4956,49,0.6546804445097223,109,4791,58,81,69,37,49,70,63,58
5,5051,75,0.3173255333676934,109,4866,59,95,59,32,49,75,64,58
6,5134,61,0.08306233014445752,109,4927,61,83,62,36,40,73,61,52
7,5219,53,0.5636611506342888,109,4980,72,85,52,34,59,61,56,53
4,5301,58,0.2752288938499987,109,5038,77,82,54,25,58,63,62,58
4,5401,54,0.03056505834683776,109,5092,76,100,51,24,54,64,64,61
1,5488,87,0.3595956234494224,109,5179,66,87,52,28,42,65,63,54
1,5573,85,0.01909940119367093,109,5264,60,85,59,26,41,64,66,59
1,5657,84,0.8651662020711228,109,5348,62,84,61,21,44,57,71,54
1,5737,80,0.21751786500681192,109,5428,57,80,51,23,47,75,69,45
1,5821,84,0.3197154386434704,109,5512,60,84,39,18,50,52,67,58
1,5901,80,0.39891769422683865,109,5592,65,80,56,27,54,60,75,45
1,5980,79,0.4685520079219714,109,5671,58,79,42,33,46,50,76,43
1,6063,83,0.39932987932115793,109,5754,56,83,45,39,49,53,70,42
1,6140,77,0.3628534214803949,109,5831,64,77,34,31,51,52,68,47
1,6224,84,0.22308812371920794,109,5915,65,84,40,27,50,41,62,51
1,6296,72,0.1898899453226477,109,5987,54,72,42,27,47,44,63,51
1,6362,66,0.2199007299495861,109,6053,58,66,40,43,47,52,55,46
1,6435,73,0.4697796026011929,109,6126,55,73,47,37,46,52,52,42
1,6508,73,0.30282289162278175,109,6199,51,73,49,37,51,56,57,46
1,6580,72,0.023442065343260765,109,6271,53,72,53,31,56,63,64,55
0,6663,56,0.9535958986962214,109,6327,56,83,50,35,49,52,61,56
1,6738,75,0.21632739272899926,109,6402,53,75,50,36,51,64,50,50
1,6819,81,0.33190177963115275,109,6483,57,81,40,38,58,59,57,43
1,6900,81,0.29922331287525594,109,6564,54,81,43,44,54,53,44,50
1,6977,77,0.2098796407226473,109,6641,48,77,43,52,49,53,44,44
1,7062,85,0.1892614271491766,109,6726,51,85,49,45,45,55,48,49
1,7129,67,0.016562927048653364,109,6793,47,67,43,49,49,52,46,41
1,7204,75,0.19201039418112487,109,6868,53,75,36,43,45,55,43,46
1,7274,70,0.20303954486735165,109,6938,56,70,40,40,53,50,51,46
1,7353,79,0.20113030879292637,109,7017,53,79,33,42,44,46,46,52
1,7414,61,0.015193243743851781,109,7078,44,61,44,41,57,51,58,57
1,7483,69,0.14300069445744157,109,7147,52,69,47,42,49,49,61,51
1,7550,67,0.14829573628958315,109,7214,47,67,49,34,44,45,56,58
1,7621,62,0.5732399729313329,109,7276,51,62,45,47,46,44,71,51
0,7699,54,0.21321872377302498,109,7330,54,78,41,34,50,51,66,51
2,7766,45,0.9327280698344111,109,7375,48,62,45,39,53,51,66,67
3,7835,30,0.24525779171381146,109,7405,57,69,44,30,57,39,65,58
5,7907,49,0.4417542186565697,109,7454,51,72,48,42,49,49,67,61
6,7976,64,0.45726300159003586,109,7518,52,69,45,41,54,42,64,60
6,8041,59,0.6070001056650653,109,7577,56,65,48,38,55,37,59,63
6,8110,51,0.1209635145496577,109,7628,69,67,47,39,56,33,51,68
6,8171,53,0.06884834601078182,109,7681,61,60,55,40,57,30,53,61
7,8239,68,0.2962823340203613,109,7749,57,58,61,38,57,24,53,68
7,8310,71,0.4493450801819563,109,7820,55,57,55,38,55,30,64,71
7,8384,74,0.37319069006480277,109,7894,59,56,67,48,51,31,60,74
7,8449,65,0.19914554804563522,109,7959,62,63,53,44,49,23,59,65
7,8516,67,0.2765972971683368,109,8026,57,50,64,46,46,34,53,67
7,8585,69,0.3704910058295354,109,8095,49,55,54,50,55,41,60,69
7,8660,75,0.304598999558948,109,8170,57,59,65,47,55,40,59,75
7,8735,75,0.2622002618154511,109,8245,59,67,67,46,42,39,47,75
7,8807,72,0.2208614283008501,109,8317,63,60,57,41,61,38,48,72
7,8887,80,0.09553860872983932,109,8397,68,55,71,39,60,43,48,80
7,8955,68,0.8696375139988959,109,8465,59,67,63,50,51,39,55,68
7,9028,70,0.23448209650814533,109,8535,54,73,66,45,58,28,58,70
7,9102,70,0.05668824666645378,109,8605,74,63,51,47,67,36,59,70
7,9175,73,0.32496951811481267,109,8678,71,64,61,37,63,32,64,73
7,9248,73,0.23440593190025538,109,8751,69,60,53,38,47,47,62,73
7,9316,68,0.2678050824906677,109,8819,63,64,50,42,53,31,64,68
1,9385,63,0.26215673913247883,109,8882,67,63,54,50,45,18,65,69
7,9461,65,0.20494942087680101,109,8947,71,76,57,43,50,20,64,65
1,9538,77,0.27033515635412186,109,9024,61,77,51,36,50,25,62,59
7,9606,65,0.3719093321124092,109,9089,54,65,57,44,55,26,68,65
1,9673,67,0.2539315989706665,109,9156,53,67,49,33,47,24,58,62
7,9738,65,0.07415554870385677,109,9221,48,64,53,39,43,21,58,65
1,9804,66,0.10685769701376557,109,9287,64,66,40,47,45,25,55,66
7,9870,62,0.23595354589633644,109,9349,52,66,55,49,46,25,59,62
1,9941,71,0.25602516636718065,109,9420,58,71,49,42,43,26,59,71
7,10014,62,0.19498721521813422,109,9482,73,63,47,39,50,21,55,62
1,10082,64,0.032803274458274245,109,9546,68,64,59,47,48,24,44,58
1,10146,62,0.24336199648678303,109,9608,64,62,54,36,61,27,51,59
7,10216,51,0.36317216081079096,109,9659,66,70,59,38,60,22,50,51
7,10282,56,0.2888124397723004,109,9715,58,66,50,36,61,26,53,56
7,10348,48,0.275343460845761,109,9763,60,66,60,46,54,24,51,48
7,10419,51,0.28635981073603034,109,9814,58,71,57,35,70,21,53,51
6,10495,56,0.6340187083696947,109,9870,50,76,53,35,63,23,56,56
5,10557,34,0.4488157680025324,109,9904,58,62,46,41,57,34,50,45
6,10630,56,0.5924238592851907,109,9960,48,54,46,33,73,32,56,48
6,10692,57,0.6920331155415624,109,10017,61,60,50,39,61,35,57,62
3,10757,40,0.4079403227660805,109,10057,61,50,48,40,65,26,58,57
1,10824,49,0.02214214624837041,109,10106,63,49,44,26,67,23,57,51
1,10885,55,0.31460792815778404,109,10161,56,55,47,39,61,23,55,47
0,10952,67,0.41124932398088276,109,10228,67,50,49,35,67,27,55,40
0,11019,67,0.05094005714636296,109,10295,67,51,40,34,66,28,56,42
0,11087,59,0.8197695219423622,109,10354,59,52,53,31,68,31,59,49
0,11161,56,0.2260950265917927,109,10410,56,51,56,35,74,34,64,46
3,11231,40,0.6252885775174946,109,10450,48,51,55,40,70,22,65,43
2,11299,46,0.2681795053649694,109,10496,53,53,46,38,68,30,64,49
1,11376,53,0.10217005189042538,109,10549,54,53,43,27,77,35,60,52
1,11458,60,0.13022167747840285,109,10609,43,60,46,31,82,31,68,47
1,11530,52,0.05402760487049818,109,10661,45,52,47,16,72,38,60,52
1,11609,51,0.22283850866369903,109,10712,48,51,40,30,79,24,60,44
1,11694,41,0.06103731109760702,109,10753,56,41,41,24,85,36,57,42
1,11768,47,1.1528732947772369,109,10800,49,47,40,6,74,34,61,49
0,11853,42,0.2627513352781534,109,10842,42,42,32,13,85,40,68,41
0,11933,51,0.40403544530272484,109,10893,51,52,45,20,80,39,61,47
3,12012,19,0.04918763064779341,109,10912,47,57,48,19,79,33,77,47
4,12095,83,0.24125626834575087,109,10995,49,52,46,15,83,34,68,48
4,12173,78,0.7107267321553081,109,11073,48,57,58,20,78,31,70,43
4,12254,81,0.19829109613783658,109,11154,47,63,59,21,81,29,62,51
4,12353,99,0.18921918456908315,109,11253,48,56,66,21,99,37,62,47
4,12436,83,0.2745139703620225,109,11336,47,52,48,20,83,30,70,49
4,12525,89,0.25725724129006267,109,11425,53,49,51,22,89,37,64,51
4,12614,89,0.2271754122339189,109,11514,47,60,50,21,89,22,57,67
4,12698,84,0.23478291474748403,109,11598,48,54,53,25,84,30,59,58
4,12793,95,0.17712884943466634,109,11693,45,60,49,28,95,28,62,70
4,12880,87,0.33569977048318833,109,11780,55,70,55,20,87,24,55,57
4,12962,82,0.11456824571359903,109,11862,57,74,54,20,82,31,46,62
4,13053,91,0.07279866619501263,109,11953,56,65,55,36,91,23,47,56
4,13138,85,0.25120887346565723,109,12038,49,58,48,29,85,27,46,63
4,13213,75,0.26183927978854626,109,12113,52,63,49,30,75,30,47,56
4,13289,76,0.21577887935563922,109,12189,49,64,47,30,76,14,49,67
4,13368,79,0.2091583168366924,109,12268,48,59,48,30,79,19,49,65
4,13453,85,0.21022782195359468,109,12353,61,61,42,35,85,15,46,68
4,13526,73,0.20427802007179707,109,12426,46,56,41,30,73,14,45,68
4,13608,82,0.32520313234999776,109,12508,52,48,46,20,82,21,44,61
