choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,73,55,1.205972203053534,109,55,55,45,61,35,49,47,38,21,45,43,29,24,38,22,64,43,72,48,27,45,64,73,40,45,38,31
1,146,59,0.8589411836583167,109,114,59,59,70,33,38,45,39,21,36,34,40,12,39,25,64,31,63,36,34,41,60,73,44,44,46,38
0,218,59,0.2041404116898775,109,173,59,49,58,37,44,43,42,28,39,37,45,18,43,29,72,28,63,41,22,39,64,69,56,39,49,38
1,290,55,0.4317900928435847,109,228,63,55,58,32,38,51,44,21,43,44,43,20,46,21,70,35,65,46,29,44,72,64,43,46,52,38
2,364,51,0.48098156368359923,109,279,59,55,51,36,32,50,34,38,47,46,49,17,44,22,65,29,62,46,31,44,74,70,46,37,38,36
3,439,29,0.31738697714172304,109,308,59,47,52,29,33,50,34,43,52,40,50,16,32,27,64,27,59,37,31,43,75,63,63,51,45,37
4,506,38,0.23618524009361863,109,346,54,49,61,36,38,44,47,45,51,32,52,23,30,27,65,22,65,48,32,43,67,62,52,42,41,35
5,575,46,0.2795619573444128,109,392,59,59,58,43,45,46,43,35,57,31,50,19,36,26,61,24,65,38,42,47,69,56,47,36,32,34
6,644,44,0.16100498917512596,109,436,56,58,55,34,41,39,44,38,56,40,44,25,37,19,63,34,55,42,31,49,69,59,59,41,41,23
7,717,26,0.11524348671082407,109,462,60,55,57,36,48,52,40,26,63,41,37,23,31,21,60,27,53,47,39,50,73,54,56,46,41,29
8,789,72,0.09658891265280545,109,534,53,56,52,38,51,46,39,30,72,48,47,25,33,14,59,36,67,44,33,51,68,50,62,36,36,32
8,860,65,0.1740073795663193,109,599,43,47,49,36,52,42,37,35,65,41,43,28,29,15,56,30,59,46,41,45,71,55,53,52,32,27
8,931,63,0.0974772865884006,109,662,54,57,56,31,43,45,32,39,63,41,48,24,33,20,70,29,58,48,33,45,71,60,62,48,40,29
8,1005,68,0.1423209731001407,109,730,57,58,59,41,42,48,38,32,68,32,38,18,28,18,62,35,74,45,31,38,64,59,57,51,44,27
9,1079,36,0.3534282085020095,109,766,47,53,64,34,47,41,34,28,58,36,42,16,31,19,51,26,74,39,37,48,66,59,50,46,40,19
10,1160,40,0.17182036663871258,109,806,53,64,75,50,48,46,47,36,71,30,40,27,28,18,53,37,62,50,31,42,81,52,55,41,43,14
11,1239,13,0.4441082818666473,109,819,58,56,70,41,45,43,44,31,53,19,46,13,30,15,48,26,70,48,25,45,79,57,49,48,42,12
12,1317,23,0.010103654232807457,109,842,44,57,64,44,43,36,52,25,58,22,33,25,23,11,53,30,61,38,28,51,78,58,48,45,46,23
13,1396,8,0.28642509470228106,109,850,46,54,65,38,38,38,45,28,69,24,39,17,32,8,56,39,52,45,19,43,79,49,45,42,37,25
14,1478,54,0.31018269911874086,109,904,43,47,69,39,40,36,46,36,58,28,53,20,25,14,54,39,53,43,23,45,82,43,39,47,32,20
15,1548,35,0.22617439145687968,109,939,53,61,56,35,39,34,51,26,58,25,38,10,18,6,44,35,57,56,29,51,70,43,42,53,43,29
16,1619,57,0.05433738371357322,109,996,51,53,67,44,34,28,42,28,59,26,50,20,16,8,42,47,57,42,18,44,71,43,36,52,29,30
17,1688,45,0.16704759653657675,109,1041,52,42,63,37,37,33,50,22,65,28,49,13,22,24,38,49,63,45,20,42,69,45,44,48,38,24
18,1760,17,0.017716277157887816,109,1058,39,53,66,36,52,40,48,30,47,28,43,18,27,22,51,44,65,46,17,43,72,43,40,49,27,34
19,1828,48,0.3400481949793175,109,1106,43,53,68,30,44,40,42,27,57,40,52,23,25,25,38,45,67,38,8,48,60,40,47,44,29,20
20,1905,77,0.32397617772221565,109,1183,37,52,60,19,37,26,55,28,66,38,44,15,30,23,45,47,71,47,13,40,77,42,59,48,48,29
20,1984,79,0.27299451804719865,109,1262,50,38,66,42,46,32,54,30,62,38,43,14,20,28,51,53,59,46,17,38,79,45,56,48,37,31
20,2061,77,0.02902448468375951,109,1339,43,43,60,36,41,28,44,30,66,37,47,17,36,27,51,61,68,45,16,36,77,37,58,65,45,36
20,2129,68,0.10535872576292604,109,1407,48,41,62,28,39,34,61,32,65,38,48,19,35,21,37,51,65,45,16,30,68,37,53,52,37,24
20,2205,76,0.044910250580869615,109,1483,43,40,66,34,48,34,57,26,59,38,59,18,26,29,43,56,57,51,21,36,76,41,61,54,35,33
20,2289,84,0.1841238347114995,109,1567,42,40,64,34,44,33,44,24,58,32,47,6,33,27,55,58,51,41,25,46,84,33,50,50,37,16
20,2360,71,0.21471513470169157,109,1638,48,50,62,33,45,40,53,30,49,36,47,23,32,30,49,62,51,51,23,47,71,43,54,52,40,29
20,2433,73,0.2264476880664006,109,1711,53,49,45,35,34,41,50,32,45,42,46,27,29,32,42,61,54,42,24,38,73,41,51,49,43,43
20,2501,68,0.10859028226695955,109,1779,48,46,66,39,40,39,53,24,47,47,59,21,40,37,50,47,46,48,15,34,68,47,51,49,46,27
20,2573,72,0.12737286428455263,109,1851,44,47,55,43,39,41,56,29,47,37,60,25,34,30,44,59,52,59,23,33,72,43,54,51,43,40
20,2638,65,0.17292827414348722,109,1916,48,44,63,37,45,53,47,28,55,32,60,21,38,27,40,60,64,50,21,30,65,49,59,51,48,41
20,2708,70,0.28103788709267974,109,1986,54,47,62,42,37,51,48,36,47,41,59,23,42,42,38,56,58,54,23,38,70,49,56,43,44,41
20,2776,62,0.16582576220389456,109,2048,40,41,56,38,40,58,42,46,56,39,49,16,35,32,41,56,49,45,20,33,62,60,68,56,43,36
20,2839,60,0.17953859583940357,109,2108,45,39,53,31,47,47,53,47,52,39,52,10,46,29,38,60,54,54,28,34,60,55,63,48,52,38
20,2905,66,0.12774024659302086,109,2174,49,44,52,42,38,65,43,37,48,51,52,16,41,29,37,50,53,52,23,40,66,49,64,41,57,42
20,2971,60,0.13294632313773036,109,2234,49,46,48,38,45,66,39,40,40,47,54,16,49,35,45,55,58,50,30,48,60,42,61,52,56,30
20,3040,62,0.11659396893810481,109,2296,51,50,50,44,50,64,42,38,47,46,64,22,38,32,34,55,48,54,21,43,62,47,69,49,53,38
20,3104,61,0.044119802536442876,109,2357,56,45,48,44,53,64,37,51,32,54,54,21,43,41,28,52,46,47,24,38,61,45,64,48,51,31
