choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
16,86,54,1.740369826904498,113,54,58,61,82,55,52,44,63,86,37,48,58,36,35,63,19,37,54,63,49,52,17,59,40,47,30,49
22,173,43,0.05389952810946852,113,97,65,64,80,58,50,38,62,87,35,47,55,45,43,55,15,37,49,65,43,44,7,52,43,49,30,47
4,262,54,0.7544839468318969,113,151,54,68,81,62,54,43,55,89,38,42,54,46,36,64,14,39,48,63,56,43,1,59,43,42,32,51
18,356,56,0.30352782597765326,113,207,58,76,83,60,49,46,61,94,28,51,57,50,39,58,17,35,44,56,56,47,5,51,43,43,39,57
18,444,61,0.16138816578313708,113,268,48,68,76,51,52,46,67,88,38,38,62,43,39,60,16,34,47,64,61,39,5,56,40,52,37,51
19,530,37,0.21229231567122042,113,305,60,71,76,57,53,38,63,86,31,48,58,41,32,60,16,46,37,66,56,37,10,54,51,49,29,53
24,617,37,0.015682853409089148,113,342,58,69,78,64,57,34,64,87,33,47,54,42,29,58,16,35,35,72,64,52,12,67,42,55,37,53
18,701,56,0.11065554618835449,113,398,48,71,81,52,56,38,74,84,35,40,57,43,29,50,16,33,38,65,56,41,21,66,46,58,35,49
20,786,27,0.44867502513807267,113,425,51,62,84,55,63,42,70,85,28,50,63,56,32,51,15,32,44,74,59,48,27,52,45,54,40,50
8,871,29,0.15352081751916558,113,454,54,67,85,50,57,50,69,80,29,56,62,52,35,61,16,40,44,72,61,53,23,61,47,61,35,56
18,966,63,0.15371154888998717,113,517,56,61,95,50,59,39,69,74,41,62,71,46,47,60,16,32,36,67,63,58,10,41,44,54,43,67
18,1047,64,0.07145577308256179,113,581,58,51,81,51,55,36,74,77,38,56,71,51,47,55,24,45,41,72,64,56,8,49,43,53,38,52
18,1137,60,0.23785927740391344,113,641,54,68,82,59,62,32,72,90,23,60,74,43,47,64,13,33,43,78,60,60,10,50,47,49,42,61
18,1224,64,0.38050072733312845,113,705,65,65,87,48,62,38,58,80,38,62,74,41,36,61,23,43,40,78,64,50,21,29,45,57,42,52
14,1311,15,0.35645833634771407,113,720,57,56,75,58,62,32,55,87,41,58,60,48,49,60,15,35,44,74,60,58,24,46,52,63,40,42
15,1392,37,0.1843130502384156,113,757,66,63,81,59,58,34,61,76,41,63,66,39,40,62,8,37,41,69,54,56,22,41,54,54,45,54
18,1473,55,0.1524583543650806,113,812,62,59,81,55,66,30,60,77,39,59,74,41,43,58,10,34,51,75,55,60,27,47,50,58,54,47
18,1567,53,0.9451391346519813,113,865,65,63,94,54,65,25,53,77,44,56,75,38,56,59,11,32,51,68,53,63,16,48,59,57,52,39
18,1654,47,0.08276588621083647,113,912,68,63,87,54,62,29,61,77,47,58,69,46,57,61,7,40,48,78,47,75,21,38,50,69,50,44
