choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,76,39,1.3332108727190644,113,39,39,11,52,51,69,63,42,57,48,72,41,34,58,69,73,39,38,64,62,59,76,69,69,56,16,12
16,159,52,2.446235839975998,113,91,51,18,55,62,64,58,43,61,41,65,44,33,57,69,83,44,52,59,64,61,73,63,73,49,25,11
22,245,72,8.754036560305394,113,163,47,19,55,52,68,58,51,63,33,67,34,37,64,70,86,44,50,62,64,54,57,67,72,48,22,15
22,333,65,0.8992644042009488,113,228,44,14,54,57,60,67,41,56,30,63,43,37,63,64,88,38,46,63,73,71,65,68,65,44,24,8
22,414,65,0.7533613201230764,113,293,49,24,52,52,63,65,49,59,36,57,38,36,56,72,81,43,50,61,65,70,68,67,65,54,18,14
4,492,67,0.2877560071647167,113,360,51,21,63,54,67,71,41,67,26,68,34,36,60,70,78,46,53,64,64,68,76,73,59,48,26,13
4,564,61,0.42520354816224426,113,421,43,22,61,50,61,69,46,50,29,61,35,31,64,63,72,44,52,59,62,61,71,66,64,58,26,15
17,643,66,0.30589916720055044,113,487,53,19,59,51,59,60,46,62,37,66,24,26,59,79,72,36,60,66,74,70,70,79,63,55,29,18
17,715,64,0.30001209664624184,113,551,51,18,60,49,60,64,42,56,41,70,30,35,62,63,72,41,48,64,60,65,56,70,60,59,20,16
19,793,69,0.2369184213457629,113,620,47,14,68,57,64,64,39,52,41,70,33,26,62,73,78,31,47,53,75,69,69,74,57,56,22,16
19,876,64,0.24678140843752772,113,684,41,11,65,52,62,67,37,52,35,75,37,25,59,76,81,36,57,59,83,64,73,78,54,60,24,23
24,953,27,0.17689500888809562,113,711,41,18,61,59,58,71,39,54,35,68,37,22,63,71,76,42,50,50,66,66,66,77,45,53,27,24
20,1034,60,0.24756417504977435,113,771,40,14,71,60,54,79,36,54,41,66,32,28,63,70,77,35,62,60,67,73,60,81,48,47,22,22
20,1116,62,0.058934707776643336,113,833,38,20,74,56,61,78,41,51,35,73,40,29,74,68,80,29,62,59,74,67,62,82,45,56,27,19
8,1197,38,0.7306815702468157,113,871,40,17,74,62,59,75,46,41,38,65,40,26,66,71,77,37,67,66,80,60,53,81,48,54,29,25
14,1283,78,0.5239262240938842,113,949,39,17,75,55,58,75,45,46,36,70,33,30,59,81,78,38,68,54,74,65,63,86,54,52,19,26
14,1372,69,0.4321204398293048,113,1018,35,7,81,56,51,72,50,59,38,69,45,27,69,73,69,43,75,56,86,59,54,89,50,48,24,21
14,1463,78,0.27412063570227474,113,1096,35,15,88,57,63,72,45,44,43,68,43,28,62,73,78,46,77,50,77,62,57,91,51,50,19,16
14,1551,78,0.29259405517950654,113,1174,39,23,83,57,64,71,49,42,43,63,43,33,70,68,78,40,66,50,77,52,63,88,46,52,26,20
14,1642,78,0.4660590997664258,113,1252,41,17,74,51,57,77,44,38,43,65,50,31,66,70,78,29,59,53,83,58,59,91,46,53,21,20
14,1733,72,1.3096485103014857,113,1324,43,21,73,52,58,82,45,41,44,76,40,30,61,80,72,37,63,46,83,45,61,91,48,51,22,27
14,1824,82,0.535602438962087,113,1406,39,21,73,36,50,74,52,44,53,76,50,30,58,76,82,45,65,46,82,49,57,91,59,48,21,18
14,1921,74,0.25043666607234627,113,1480,43,16,66,41,54,76,55,43,45,68,48,36,59,73,74,52,60,59,82,55,60,97,48,50,12,20
14,2005,68,0.10658170375972986,113,1548,38,17,76,37,48,81,54,46,41,69,51,34,58,69,68,47,63,64,80,56,63,84,46,48,24,20
15,2095,49,0.4407852755393833,113,1597,44,15,70,45,51,75,64,43,53,77,47,29,70,77,69,49,66,53,82,50,53,90,53,45,30,25
14,2189,61,0.5959452306851745,113,1658,51,23,67,39,49,72,65,49,50,78,45,32,74,76,61,43,59,55,86,50,62,94,46,44,23,6
14,2283,68,0.12298011977691203,113,1726,39,16,68,48,40,67,62,39,54,80,43,35,58,74,68,47,56,55,84,53,55,94,63,46,36,13
0,2366,48,0.4218087859917432,113,1774,48,19,75,43,40,71,53,42,52,73,42,33,58,80,56,39,53,48,83,50,56,78,51,41,32,13
18,2448,71,0.5117655002977699,113,1845,50,23,74,44,40,62,55,41,54,70,45,21,56,78,56,42,50,52,71,52,58,82,56,49,42,11
18,2530,73,0.362386369262822,113,1918,61,19,69,39,39,66,57,43,57,74,36,28,64,82,59,48,46,46,73,58,59,79,57,49,40,18
18,2613,80,0.024804036365821958,113,1998,49,14,77,50,44,66,62,34,58,71,43,17,58,79,56,39,39,49,80,62,56,83,53,45,45,16
18,2693,80,0.2772734633181244,113,2078,47,11,71,56,37,55,62,51,55,69,46,21,58,77,60,44,42,41,80,61,68,73,47,40,40,13
18,2779,86,0.3024090393446386,113,2164,51,25,73,49,47,70,61,47,48,73,45,24,58,69,55,43,47,47,86,60,68,86,59,46,37,10
18,2871,83,0.5053676795214415,113,2247,55,23,73,47,35,60,61,47,57,78,44,20,48,70,43,49,46,45,83,53,53,92,57,44,39,25
18,2962,71,0.2536029344191775,113,2318,59,27,73,58,28,61,61,38,49,72,46,27,53,68,44,58,36,49,71,46,58,91,53,50,36,21
18,3048,84,0.36189609998837113,113,2402,48,35,81,64,25,62,60,39,49,72,46,28,61,77,49,49,45,42,84,44,45,86,52,54,38,19
18,3138,90,0.2351717574056238,113,2492,55,24,79,73,27,60,52,46,53,84,54,27,59,68,42,47,46,43,90,43,60,90,49,48,39,17
18,3224,86,0.08563325682189316,113,2578,51,32,78,62,29,55,58,46,56,81,48,29,57,64,41,47,60,45,86,50,57,80,50,46,39,16
18,3311,87,0.40531436435412616,113,2665,52,25,81,66,13,51,65,52,51,74,59,24,54,67,33,47,49,52,87,52,61,83,58,45,44,13
18,3403,84,0.09780934161972255,113,2749,52,34,92,62,33,47,63,47,51,82,62,22,55,67,36,37,47,53,84,45,57,76,59,43,40,10
18,3492,81,0.0556615530513227,113,2830,46,25,89,58,29,41,66,54,50,78,46,35,53,63,31,33,45,52,81,54,51,86,64,45,44,14
18,3577,80,0.4131900330539793,113,2910,45,17,85,57,38,54,69,56,42,81,47,33,58,75,34,47,55,56,80,56,59,84,62,43,41,12
18,3662,81,0.4033968101721257,113,2991,43,21,77,56,24,45,68,61,53,85,48,29,54,59,35,39,51,56,81,56,53,71,56,34,37,25
18,3754,81,0.9493755467701703,113,3072,46,30,90,62,26,46,58,48,43,92,52,25,45,65,28,48,54,63,81,56,53,85,60,30,32,21
18,3840,77,0.6764517824631184,113,3149,39,31,86,61,25,39,54,60,44,84,51,26,54,70,40,51,49,63,77,54,56,86,62,32,29,39
3,3919,51,0.057800560258328915,113,3200,38,29,77,51,34,50,57,52,37,79,56,34,47,68,36,53,50,62,76,54,52,71,49,33,35,24
5,4009,55,0.03668186324648559,113,3255,34,29,90,64,30,55,57,54,42,78,54,29,48,54,35,49,47,66,73,54,60,75,57,22,41,29
18,4092,71,0.47794332716148347,113,3326,35,31,82,64,31,66,61,61,42,83,49,42,52,58,31,48,54,52,71,56,52,77,63,26,34,33
18,4181,66,0.32918183284346014,113,3392,40,29,76,51,32,70,59,57,38,89,48,39,45,55,39,51,50,69,66,53,50,83,54,24,39,42
18,4265,68,0.40212569455616176,113,3460,42,29,84,64,31,66,71,47,31,83,50,31,47,61,36,46,46,63,68,48,57,74,61,27,36,39
18,4353,65,0.02510229405015707,113,3525,38,34,88,57,27,66,65,52,40,84,45,35,46,49,43,49,38,72,65,51,58,76,57,25,33,35
18,4442,67,0.30807465652469546,113,3592,42,37,78,58,28,66,66,51,42,89,50,37,50,50,45,45,50,74,67,60,58,85,64,19,32,31
18,4534,69,0.09608507889788598,113,3661,44,36,71,62,32,61,67,51,37,78,50,33,47,48,49,47,50,77,69,59,52,92,53,30,34,39
18,4626,70,0.09660478995647281,113,3731,40,28,71,54,41,64,65,50,45,70,55,32,44,51,44,44,43,75,70,67,58,92,60,25,39,24
18,4720,85,0.015811501070857048,113,3816,38,36,63,57,31,67,70,60,46,79,41,41,40,50,44,47,40,74,85,64,58,94,55,27,38,36
18,4812,83,0.540433446643874,113,3899,45,32,61,65,40,69,55,44,46,76,51,43,39,46,43,45,35,75,83,70,61,92,46,15,38,39
18,4904,76,0.26387234567664564,113,3975,42,32,68,66,40,63,59,55,52,74,53,46,40,47,47,44,50,71,76,65,63,92,48,28,33,44
6,4995,63,0.3816348748514429,113,4038,43,30,63,65,49,66,63,53,50,73,49,51,36,47,52,42,48,70,70,66,59,91,49,15,34,40
18,5078,73,0.2079938198439777,113,4111,40,34,64,66,39,75,65,55,50,72,61,56,39,53,50,40,48,73,73,66,65,83,50,20,30,37
7,5164,54,0.16419473278801888,113,4165,46,38,64,69,46,65,66,54,43,72,65,51,40,52,47,41,48,62,74,71,65,86,50,21,36,42
18,5249,81,0.15207945182919502,113,4246,35,32,60,69,49,59,72,52,37,63,52,53,33,57,59,48,45,65,81,59,71,85,53,17,34,39
18,5341,83,0.20375292736571282,113,4329,34,37,62,63,44,68,69,57,33,60,55,46,33,47,59,48,47,62,83,61,70,92,51,10,33,42
