choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,72,56,0.5675518607022241,113,56,56,59,38,69,72,35,37,47
1,145,65,0.59751332399901,113,121,54,65,45,65,73,31,36,46
1,217,59,0.5295099164359272,113,180,50,59,37,62,72,38,39,37
2,293,39,0.6956727664219216,113,219,54,57,39,58,76,43,38,45
3,372,63,0.1351459639845416,113,282,62,59,39,63,79,47,46,38
3,457,69,0.26780473976396024,113,351,57,53,44,69,85,51,43,42
3,528,65,0.3146286467090249,113,416,66,62,36,65,71,49,53,50
3,603,58,0.2894495479995385,113,474,63,56,34,58,75,57,54,40
3,678,69,0.5430531225865707,113,543,73,53,29,69,75,57,50,36
4,755,77,0.35718733980320394,113,620,69,59,29,56,77,55,51,37
4,838,83,0.46227647468913347,113,703,53,54,37,62,83,54,47,40
4,925,87,0.30088126845657825,113,790,58,53,31,60,87,57,37,37
4,1012,87,1.6585460767382756,113,877,66,57,37,64,87,51,42,48
4,1098,86,0.9035296181682497,113,963,61,62,39,64,86,47,45,38
4,1180,82,1.223201764980331,113,1045,61,67,35,64,82,50,46,31
4,1266,86,0.3914344982476905,113,1131,53,60,46,70,86,50,52,33
4,1352,86,0.10438381286803633,113,1217,61,65,45,65,86,55,49,40
4,1440,88,0.552758660283871,113,1305,59,69,51,67,88,48,43,41
4,1523,83,0.42556260945275426,113,1388,65,63,57,66,83,53,45,34
4,1611,88,0.1486846897751093,113,1476,75,69,57,54,88,49,51,40
4,1693,82,0.1927218708442524,113,1558,75,66,70,61,82,53,50,30
4,1778,85,0.4016533463727683,113,1643,82,71,61,61,85,53,43,27
4,1859,81,0.3897211162839085,113,1724,79,65,61,55,81,53,39,15
4,1952,93,0.1464048739289865,113,1817,76,71,74,66,93,51,51,22
4,2039,87,0.1886326674139127,113,1904,81,66,65,62,87,48,48,26
4,2125,86,0.12062669976148754,113,1990,74,77,55,56,86,50,47,28
4,2201,76,0.4568329507019371,113,2066,72,64,54,59,76,51,47,20
4,2285,84,0.5541545832529664,113,2150,71,68,62,62,84,53,45,20
4,2371,86,0.2960624216357246,113,2236,72,59,61,68,86,54,51,27
4,2456,85,0.28936378296930343,113,2321,63,74,66,61,85,41,52,28
4,2537,81,0.2727867963258177,113,2402,73,64,76,61,81,47,49,37
4,2615,76,0.29314704809803516,113,2478,78,62,70,57,76,47,44,45
4,2698,83,0.2676978533854708,113,2561,66,67,60,60,83,42,50,37
4,2781,83,0.0196581301279366,113,2644,69,67,62,60,83,35,46,44
4,2863,82,1.233554381178692,113,2726,76,68,63,57,82,26,53,36
4,2943,80,0.39974539284594357,113,2806,69,65,64,59,80,47,47,36
4,3025,82,1.0206085867248476,113,2888,74,61,56,61,82,45,57,39
4,3112,87,0.38636411633342505,113,2975,71,65,58,68,87,45,58,33
4,3187,75,0.23550073709338903,113,3050,74,68,59,75,75,42,47,35
4,3269,82,0.15348305529914796,113,3132,79,60,72,71,82,47,57,43
4,3349,80,0.08595711621455848,113,3212,70,63,70,74,80,41,52,38
4,3427,72,1.1786173512227833,113,3284,74,59,78,74,72,48,51,40
4,3507,77,0.3710953675908968,113,3361,72,56,69,80,77,42,46,35
4,3581,71,0.0828362904721871,113,3432,67,57,64,74,71,45,49,40
4,3660,67,0.9074908138718456,113,3499,65,51,59,79,67,35,50,38
4,3742,69,0.44899248401634395,113,3568,76,49,61,82,69,37,59,35
4,3821,79,0.4476164021762088,113,3647,73,48,51,79,79,38,55,35
4,3897,64,0.18029489123728126,113,3711,70,58,58,76,64,41,55,34
4,3979,67,0.18257086665835232,113,3778,73,58,53,82,67,35,58,38
4,4063,61,0.2840117843588814,113,3839,74,69,62,84,61,40,58,36
5,4149,47,0.013163023395463824,113,3886,79,55,53,86,62,47,50,45
6,4233,48,0.27850425662472844,113,3934,72,63,46,84,64,45,48,30
4,4316,66,0.2803046837216243,113,4000,76,64,53,83,66,52,44,46
4,4392,61,0.4350870164344087,113,4061,75,58,47,76,61,51,43,43
7,4474,37,0.044859630055725574,113,4098,68,64,37,82,59,40,45,37
4,4565,59,0.24759489693678916,113,4157,79,62,46,91,59,38,44,40
4,4643,54,0.40087121981196105,113,4211,64,63,40,78,54,39,47,40
4,4724,67,0.4285349464043975,113,4278,69,62,45,81,67,34,43,43
0,4805,65,0.3452423088019714,113,4343,65,57,37,81,54,37,46,45
0,4880,75,0.29762219451367855,113,4418,75,59,28,74,55,43,33,46
0,4953,67,0.48151793994475156,113,4485,67,55,37,73,62,29,37,45
0,5029,67,0.39908423356246203,113,4552,67,59,30,76,50,32,37,49
0,5101,65,0.5131255812011659,113,4617,65,58,31,72,57,33,40,38
0,5171,70,0.4146826018113643,113,4687,70,49,29,67,53,44,47,46
0,5247,76,0.5028363288147375,113,4763,76,45,28,64,52,51,46,60
0,5321,74,0.3792187311919406,113,4837,74,45,27,64,56,52,46,47
0,5393,72,0.25568497844506055,113,4909,72,50,40,54,50,47,46,45
0,5463,70,0.38434223597869277,113,4979,70,59,36,57,53,51,42,43
0,5529,66,0.8815692710923031,113,5045,66,57,31,58,57,41,41,41
0,5601,70,1.2281607801560313,113,5115,70,51,40,72,61,48,46,47
0,5676,60,0.8277196658309549,113,5175,60,63,35,75,56,43,38,36
0,5750,62,0.741858555469662,113,5237,62,66,37,74,57,57,39,47
0,5819,62,0.5365893777925521,113,5299,62,58,40,69,51,45,39,52
0,5887,68,0.38227683305740356,113,5367,68,62,38,66,56,41,43,45
0,5951,59,0.6632785183610395,113,5426,59,64,38,60,52,41,34,49
0,6016,62,0.41176722839009017,113,5488,62,65,50,59,54,39,45,52
0,6087,68,0.3020826199790463,113,5556,68,60,32,71,59,32,43,52
0,6157,70,0.24117403465788811,113,5626,70,59,48,61,61,39,55,54
0,6225,62,0.0714013697579503,113,5688,62,53,27,68,60,37,52,56
0,6296,56,0.011998154106549919,113,5744,56,60,33,71,66,35,39,58
0,6363,64,0.5034462851472199,113,5808,64,50,36,67,60,44,49,57
0,6427,64,0.36096932482905686,113,5872,64,52,38,64,61,29,55,57
0,6495,68,0.2092540548183024,113,5940,68,47,30,68,65,40,53,65
0,6572,54,0.03649561223573983,113,5994,54,54,29,62,77,32,57,63
0,6644,56,0.07172586920205504,113,6050,56,47,34,72,68,40,44,53
0,6718,56,0.018511181813664734,113,6106,56,50,23,74,66,27,55,54
0,6788,55,0.4938540341099724,113,6161,55,50,24,67,70,27,56,70
0,6865,47,0.11245341319590807,113,6208,47,51,25,77,70,27,53,58
0,6936,55,0.8806360954185948,113,6263,55,52,20,71,63,25,47,65
