choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,69,39,1.5389948095662476,110,39,39,11,52,51,69,63,42,57
1,133,18,0.3878079219712163,110,57,51,18,55,62,64,58,43,61
2,201,55,0.14909023417749268,110,112,47,19,55,52,68,58,51,63
3,268,57,0.41118087155791727,110,169,44,14,54,57,60,67,41,56
4,333,63,0.14533469014168077,110,232,49,24,52,52,63,65,49,59
5,404,71,0.05153824984517996,110,303,51,21,63,54,67,71,41,67
6,473,46,0.29497276782512927,110,349,43,22,61,50,61,69,46,50
7,535,62,0.4839019769724473,110,411,53,19,59,51,59,60,46,62
5,599,64,0.19800574723649333,110,475,51,18,60,49,60,64,42,56
4,667,64,0.137097837426154,110,539,47,14,68,57,64,64,39,52
7,734,52,0.13342357391138648,110,591,41,11,65,52,62,67,37,52
5,805,71,0.054733790296268126,110,662,41,18,61,59,58,71,39,54
4,884,54,0.14809118778339325,110,716,40,14,71,60,54,79,36,54
5,962,78,0.24467356591048883,110,794,38,20,74,56,61,78,41,51
5,1037,75,0.10503107219847152,110,869,40,17,74,62,59,75,46,41
5,1112,75,0.44113114323954505,110,944,39,17,75,55,58,75,45,46
5,1193,72,0.1857323886879385,110,1016,35,7,81,56,51,72,50,59
5,1281,72,0.05171361096745386,110,1088,35,15,88,57,63,72,45,44
5,1364,71,0.058580854917636316,110,1159,39,23,83,57,64,71,49,42
5,1441,77,0.06625386402447475,110,1236,41,17,74,51,57,77,44,38
5,1523,82,0.22054733150253014,110,1318,43,21,73,52,58,82,45,41
5,1597,74,0.2025907365805324,110,1392,39,21,73,36,50,74,52,44
5,1673,76,0.0842264590501145,110,1468,43,16,66,41,54,76,55,43
5,1754,81,0.2806558761976703,110,1549,38,17,76,37,48,81,54,46
5,1829,75,0.15908709815721522,110,1624,44,15,70,45,51,75,64,43
5,1901,72,0.02262350479122688,110,1696,51,23,67,39,49,72,65,49
5,1969,67,0.08300405122645316,110,1763,39,16,68,48,40,67,62,39
4,2044,40,0.49929087546115625,110,1803,48,19,75,43,40,71,53,42
3,2118,44,0.04069338043791504,110,1847,50,23,74,44,40,62,55,41
2,2187,69,0.3149236155113613,110,1916,61,19,69,39,39,66,57,43
1,2264,14,0.07111597514267487,110,1930,49,14,77,50,44,66,62,34
0,2335,47,0.29135354466325225,110,1977,47,11,71,56,37,55,62,51
