choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
16,77,61,1.578067786518659,103,61,39,49,73,52,56,47,55,55,23,46,40,57,36,41,36,72,61,53,41,46,53,52,75,76,77,49
22,165,76,0.3653034904564265,103,137,39,45,70,41,53,43,55,51,25,50,40,48,39,44,33,81,67,49,34,48,52,40,76,72,88,52
4,247,44,0.49326391044451157,103,181,46,50,74,48,44,43,61,57,25,48,38,48,31,36,36,80,64,39,27,50,52,41,67,73,82,46
22,332,66,0.1571013917637174,103,247,58,66,73,53,45,38,59,53,21,58,48,45,48,37,34,79,71,48,27,45,56,43,66,78,85,44
17,412,40,0.525228093873011,103,287,42,63,80,50,55,43,65,61,26,49,39,46,47,42,34,67,63,40,27,45,50,41,65,74,64,44
22,493,72,0.3575628598264302,103,359,46,42,81,43,48,55,58,65,32,51,37,54,47,40,41,73,72,50,28,48,53,48,72,77,70,40
19,575,43,0.10311794956942322,103,402,42,48,82,48,42,48,70,68,22,52,37,54,45,46,31,67,75,36,30,43,49,38,72,81,76,44
22,660,66,0.38549031781440135,103,468,38,54,85,52,41,44,50,66,31,57,46,52,49,46,33,67,76,49,31,45,58,45,66,71,64,41
24,744,84,0.16283486035536043,103,552,45,53,76,39,43,40,55,64,29,50,38,48,38,52,42,68,69,35,29,52,49,48,73,82,84,37
24,833,89,0.45373958737036446,103,641,40,53,70,48,40,38,62,77,27,57,39,52,49,50,49,74,72,36,28,41,57,46,65,78,89,53
24,915,82,0.38202770728821633,103,723,50,45,79,45,46,37,63,80,19,56,43,56,56,53,43,75,65,35,26,48,56,42,69,73,82,47
24,993,73,0.12729541956650792,103,796,41,48,73,49,48,36,64,78,20,69,29,56,49,44,61,62,70,36,34,54,59,47,69,67,73,50
24,1073,74,0.24350792528275633,103,870,41,50,80,43,44,38,64,70,19,65,36,49,56,55,54,71,66,36,33,45,58,45,67,75,74,49
24,1150,69,0.16231258860352682,103,939,42,53,75,51,35,37,59,76,17,67,37,59,49,64,56,65,64,29,39,42,54,41,76,77,69,44
22,1227,77,0.7254021844491945,103,1016,45,47,75,50,34,43,61,72,20,65,40,49,39,56,44,66,60,35,34,46,51,48,77,77,66,47
