choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
9,80,47,0.6025964590007789,100,47,75,52,64,59,54,39,34,30,68,47,80,39,40,73,42,42,16,40,61,57,49,36,32,58,73,51
16,162,9,0.153655455000262,100,56,81,57,65,48,53,22,27,41,82,46,79,45,24,63,40,44,9,43,63,62,43,27,30,57,56,50
22,239,14,0.20705892800106085,100,70,76,53,62,36,53,30,22,40,67,45,77,37,33,72,46,38,15,36,69,50,42,32,14,55,59,55
4,325,55,0.028561450002598576,100,125,76,56,67,39,55,37,31,42,70,45,86,38,30,76,45,38,14,41,66,51,50,31,25,56,62,47
4,414,51,0.19780459600224276,100,176,75,59,70,46,51,42,32,40,70,37,89,33,39,80,43,38,5,40,63,60,51,24,18,50,64,51
17,502,41,0.3889597399975173,100,217,77,64,66,37,48,41,33,51,72,50,88,37,29,78,50,28,2,41,64,60,49,33,29,45,66,51
19,597,50,0.18730996299927938,100,267,77,65,65,40,38,30,26,47,69,46,95,41,35,71,49,41,4,37,68,50,42,29,20,51,61,51
24,679,68,0.7221346639998956,100,335,75,52,68,47,43,32,24,41,75,47,82,39,34,76,43,40,15,45,74,50,52,23,22,54,68,56
24,764,54,0.1315347469972039,100,389,75,51,70,39,48,34,26,44,74,51,85,43,23,80,48,39,14,43,71,52,60,28,20,50,54,63
24,845,63,0.07544173300266266,100,452,81,54,69,51,39,33,31,51,72,58,74,34,27,66,57,40,11,36,65,54,61,17,20,50,63,61
20,928,55,0.514740262999112,100,507,78,46,61,51,43,33,23,36,74,61,83,38,22,69,52,58,12,40,68,45,55,21,26,52,62,64
8,1009,75,0.37093868699957966,100,582,81,47,65,49,46,41,33,44,75,62,79,33,30,78,50,34,15,39,77,41,61,25,25,51,57,60
8,1088,66,0.2095158270021784,100,648,79,48,67,42,44,35,35,54,66,50,71,31,20,72,56,52,19,31,71,48,63,10,32,51,54,60
8,1172,66,0.4793937039976299,100,714,83,54,74,48,56,43,36,53,66,55,84,35,26,74,65,37,22,29,67,54,59,18,39,52,55,65
14,1260,63,0.1668465840011777,100,777,86,60,64,46,48,44,38,50,67,54,88,36,24,77,63,51,22,35,68,53,52,15,29,61,65,61
8,1345,58,0.17123304100095993,100,835,85,62,68,52,42,47,34,50,58,57,77,30,36,65,58,47,26,32,75,59,57,19,31,57,65,63
14,1433,62,0.142608828999073,100,897,82,69,49,37,38,42,33,46,65,56,88,34,35,66,62,52,25,36,74,53,50,16,32,52,62,57
15,1526,53,0.16261964599834755,100,950,93,64,68,47,42,41,29,50,57,53,81,34,36,67,67,53,27,32,57,65,59,13,28,51,62,59
14,1619,76,0.10218938799880561,100,1026,93,67,67,47,45,44,35,54,60,53,83,25,39,71,76,50,30,28,64,62,64,16,30,54,52,62
0,1704,80,0.1587166729987075,100,1106,80,63,53,39,48,47,30,41,58,58,85,28,43,82,73,52,33,32,69,64,52,11,37,55,49,67
0,1786,81,0.014474930001597386,100,1187,81,68,61,46,43,49,33,46,64,54,82,24,46,68,74,44,30,32,65,58,55,13,35,53,54,60
0,1871,79,0.10600518399951397,100,1266,79,58,51,41,42,50,29,43,60,57,85,25,47,67,78,47,39,27,69,57,50,17,39,54,55,57
14,1960,68,0.2101827160004177,100,1334,80,52,56,36,32,48,29,46,61,65,89,29,51,67,68,63,36,25,69,66,52,16,39,45,50,61
0,2048,77,0.16002253699844005,100,1411,77,60,68,43,45,40,31,57,62,70,88,20,38,74,59,56,40,25,61,58,51,27,28,47,57,56
0,2136,88,0.016802272002678365,100,1499,88,57,66,38,39,41,28,50,63,70,85,25,45,69,56,51,38,23,61,55,56,19,33,50,56,56
0,2226,80,0.38461594699765556,100,1579,80,62,65,39,41,45,21,56,66,66,90,30,40,67,59,50,37,35,71,69,55,33,28,54,51,59
0,2311,83,0.1740104970012908,100,1662,83,47,66,45,38,35,20,56,71,69,85,23,48,68,66,53,37,24,61,67,62,29,38,65,51,63
0,2397,75,0.060817347999545746,100,1737,75,49,67,43,38,44,25,61,59,68,86,24,48,65,61,44,40,30,65,59,68,33,29,65,54,58
0,2489,76,0.17115721099980874,100,1813,76,51,58,33,35,43,31,60,63,73,92,27,51,71,65,56,46,36,59,63,72,31,30,65,54,66
12,2578,45,0.1502508570010832,100,1858,72,49,64,35,34,37,23,60,56,70,89,37,45,69,69,54,47,30,61,65,68,30,38,61,59,61
0,2665,80,0.4905902909995348,100,1938,80,53,56,38,43,44,29,57,67,70,87,34,50,63,63,54,42,40,60,63,66,27,46,55,56,53
13,2757,61,0.1367578780009353,100,1999,81,48,64,40,38,46,34,62,67,61,92,27,48,61,70,57,55,34,60,55,69,21,49,65,49,59
0,2843,82,0.3786815659987042,100,2081,82,51,62,47,36,33,31,57,54,73,86,46,52,79,54,49,59,45,58,59,64,25,44,67,53,57
13,2918,73,1.061368788999971,100,2154,75,51,67,43,38,40,29,62,64,65,74,34,34,73,58,62,50,43,57,64,60,25,36,67,59,53
13,2994,72,0.40463988200281165,100,2226,75,58,63,46,39,40,22,61,65,74,76,39,38,72,60,53,55,44,53,61,63,24,50,63,57,63
0,3071,75,0.24202339600014966,100,2301,75,49,53,47,41,33,22,60,71,74,74,32,43,77,60,65,61,40,65,70,59,34,40,64,59,53
1,3156,54,0.17226766400199267,100,2355,79,54,48,46,40,39,25,59,75,74,85,32,39,75,57,62,58,33,62,62,68,28,55,67,58,63
0,3239,77,0.40790555800049333,100,2432,77,64,45,42,41,41,15,63,68,68,83,34,36,73,63,51,67,34,48,56,68,19,51,65,59,61
21,3330,23,0.17849462700178265,100,2455,79,52,58,36,41,32,20,63,69,74,91,38,42,71,55,48,61,44,49,64,71,23,54,65,49,62
0,3416,77,0.33742938000068534,100,2532,77,50,48,39,39,21,25,71,70,68,86,31,45,67,56,44,63,46,54,62,84,32,46,54,38,58
2,3506,50,0.2020538300021144,100,2582,81,57,50,33,48,27,19,79,71,74,90,49,47,66,49,51,59,41,67,71,60,16,43,60,42,65
0,3589,75,0.33744256399950245,100,2657,75,50,54,33,44,32,29,68,56,68,83,35,34,66,57,48,62,35,54,70,66,20,44,56,43,57
23,3678,61,0.1605151619987737,100,2718,78,57,49,36,50,29,23,64,65,70,89,46,48,59,42,60,63,35,53,72,68,25,45,61,41,60
0,3768,79,0.20309042100052466,100,2797,79,67,62,25,50,35,11,68,72,60,90,41,46,59,47,60,65,33,46,63,61,24,37,57,44,56
25,3863,62,0.05799291899893433,100,2859,80,64,56,27,58,40,23,55,75,57,95,43,47,58,45,63,64,38,47,66,63,22,42,57,43,62
0,3956,77,0.3775601050001569,100,2936,77,55,51,25,40,31,23,57,76,54,93,42,50,59,41,76,64,43,46,59,61,19,42,51,55,56
11,4043,41,0.1552743449974514,100,2977,77,62,54,29,56,41,17,64,73,64,87,41,55,51,45,65,58,34,42,65,56,13,39,63,38,56
0,4133,76,0.1898913260010886,100,3053,76,68,53,33,65,24,19,58,72,66,90,43,52,58,49,69,64,29,52,55,48,13,41,58,41,60
10,4223,90,0.691881636998005,100,3143,69,62,44,29,67,32,13,49,73,60,90,46,45,53,56,69,62,32,55,59,67,20,35,61,38,62
10,4321,98,0.47590129200034426,100,3241,73,73,51,23,75,23,19,58,80,59,98,37,46,59,59,71,59,22,50,63,64,11,36,61,40,48
10,4417,96,0.06632602600075188,100,3337,62,69,55,31,65,32,7,65,75,62,96,42,54,47,63,70,62,24,50,65,55,20,44,50,33,62
10,4512,95,0.0856504049988871,100,3432,61,71,48,22,70,33,17,64,73,58,95,44,51,57,59,71,64,26,44,62,63,23,48,62,33,66
10,4601,89,0.10906868800157099,100,3521,62,70,47,35,68,29,11,64,69,51,89,36,49,58,61,67,62,35,56,55,63,23,32,56,26,67
10,4688,87,0.04939377199843875,100,3608,67,72,48,29,73,32,13,63,76,61,87,50,53,67,57,71,61,27,57,52,60,19,40,48,33,62
10,4772,84,0.18430438799987314,100,3692,53,78,46,29,73,26,15,63,82,64,84,42,53,57,60,66,70,36,55,60,64,19,36,44,26,52
10,4852,80,0.1850509889991372,100,3772,50,77,55,25,71,25,16,70,73,66,80,52,54,61,53,78,64,34,59,59,59,14,31,52,24,63
10,4944,92,0.41210132100241026,100,3864,56,82,58,19,65,29,24,66,69,59,92,44,53,62,54,76,56,26,55,58,63,9,25,48,28,58
10,5026,82,0.3761032550028176,100,3946,60,70,56,23,76,28,25,67,81,55,82,40,51,70,63,74,55,35,68,69,50,4,24,43,30,58
10,5111,84,0.1063713440016727,100,4030,59,71,50,26,70,30,23,70,76,56,84,36,47,67,63,85,57,34,67,48,65,8,36,56,34,68
10,5198,87,0.27088032500250847,100,4117,65,80,49,14,71,29,28,64,75,60,87,36,50,67,67,79,60,32,60,55,62,3,32,39,38,70
10,5288,77,0.10227089600084582,100,4194,66,71,61,33,73,33,31,58,90,60,77,42,49,65,67,79,58,32,55,49,65,10,34,43,35,66
10,5369,80,1.206760007997218,100,4274,64,74,58,19,69,41,19,68,81,57,80,36,55,63,67,60,57,39,55,51,74,11,32,43,32,66
10,5455,83,0.1630109010002343,100,4357,66,67,52,19,61,38,33,62,86,57,83,35,57,58,65,58,54,42,56,45,65,18,30,52,35,59
10,5540,82,0.030796228002145654,100,4439,62,68,49,25,65,30,36,63,85,61,82,43,61,57,81,66,58,37,61,48,66,22,34,44,28,63
10,5624,77,0.0482056000000739,100,4516,68,59,52,28,64,32,32,60,84,66,77,38,63,55,73,71,66,38,59,41,66,15,35,47,27,62
10,5709,71,0.14697277899904293,100,4587,67,58,49,29,68,34,30,66,85,65,71,43,60,51,79,60,65,39,56,49,58,19,23,40,33,61
0,5791,72,0.006300804998318199,100,4659,72,67,57,28,69,42,33,64,82,62,69,40,50,45,74,64,60,42,58,52,66,20,42,39,22,64
0,5875,70,0.42265500700159464,100,4729,70,62,58,19,77,45,37,73,84,71,53,39,60,47,80,62,63,43,61,53,70,22,41,48,39,56
10,5959,64,0.1819740159990033,100,4793,68,69,59,9,79,40,26,69,84,67,64,44,54,49,76,58,65,42,65,49,61,15,35,33,42,55
0,6040,73,0.301722329997574,100,4866,73,72,67,16,77,42,25,66,77,58,61,37,47,49,81,60,60,37,64,60,59,18,47,44,33,63
0,6122,72,0.3627074399992125,100,4938,72,75,57,16,81,28,31,64,82,63,57,52,57,35,72,57,51,41,71,51,58,18,52,36,30,62
18,6212,74,0.078691948998312,100,5012,75,70,69,17,70,39,20,72,90,68,67,46,51,35,76,57,50,36,74,46,55,24,41,31,27,62
0,6300,65,0.1809117390002939,100,5077,65,73,55,18,61,42,33,61,88,62,58,46,46,42,74,67,57,47,71,57,61,13,45,36,24,59
18,6389,81,0.307167931998265,100,5158,71,64,59,12,64,37,22,59,89,56,58,44,53,39,76,55,52,44,81,60,51,16,54,35,18,71
10,6471,56,0.20063910499811755,100,5214,76,72,51,23,60,39,30,58,82,59,56,33,54,38,73,63,44,34,73,54,54,16,48,35,28,64
18,6557,86,0.294177973002661,100,5300,66,64,60,20,63,38,21,49,83,67,66,42,56,41,74,69,51,36,86,51,42,21,51,42,34,63
11,6641,37,0.26889073900019866,100,5337,68,79,54,18,64,35,25,49,84,66,71,37,59,44,69,67,51,30,84,52,50,21,57,39,33,66
18,6718,71,0.06890216399915516,100,5408,73,75,67,21,69,39,23,50,77,66,63,39,57,43,60,63,52,35,71,58,62,29,54,38,41,70
9,6797,73,0.04806427999938023,100,5481,73,74,64,19,76,30,30,49,79,73,65,40,62,44,73,59,45,40,68,50,62,28,55,39,28,60
18,6886,72,0.10020672300015576,100,5553,68,89,63,23,67,38,30,49,77,75,64,29,66,40,70,55,56,27,72,58,52,33,47,38,29,70
9,6967,65,0.018635004002135247,100,5618,67,70,62,12,74,39,31,52,69,65,65,29,60,45,70,57,51,16,81,58,55,24,58,40,28,69
18,7040,64,0.041385254997294396,100,5682,72,71,63,12,66,41,34,52,72,73,61,37,56,39,68,56,62,16,64,48,58,30,59,51,37,59
9,7121,74,0.1632697420027398,100,5756,65,73,69,17,69,33,37,58,73,74,67,35,68,52,72,57,54,26,81,40,61,26,51,49,44,72
18,7201,77,0.09503212500203517,100,5833,80,79,65,9,63,43,28,50,76,78,75,39,66,49,72,55,57,27,77,42,61,33,56,52,42,65
18,7281,78,0.023694534997048322,100,5911,79,73,80,18,65,45,23,58,71,79,77,44,61,64,70,67,65,25,78,50,65,32,63,48,42,76
18,7359,75,0.02002537999942433,100,5986,78,69,77,18,70,37,28,56,68,72,70,33,61,62,77,66,60,38,75,47,54,30,65,53,40,72
18,7446,74,0.18486756700076512,100,6060,84,58,83,11,72,46,31,50,74,68,58,39,69,62,87,64,69,34,74,45,51,28,67,50,43,71
7,7531,58,0.46741506599937566,100,6118,68,66,85,7,73,47,29,58,70,75,67,38,66,65,70,68,67,35,68,52,70,33,67,42,44,62
3,7612,13,0.027058040999691002,100,6131,79,70,81,13,74,45,31,60,79,72,67,31,66,66,74,64,68,39,72,57,53,29,62,43,41,75
5,7692,40,0.21696256599898334,100,6171,69,64,70,16,73,40,27,68,75,71,66,34,68,64,80,64,73,34,60,64,57,29,67,45,45,67
6,7776,46,0.06258953399810707,100,6217,80,73,72,10,67,40,46,58,84,73,66,42,66,63,74,60,64,31,63,57,42,35,59,39,40,73
18,7860,46,0.3164085700009309,100,6263,74,70,64,6,63,42,50,66,84,77,58,39,65,67,75,58,74,30,46,56,53,41,65,33,38,74
14,7938,71,0.30687194599886425,100,6334,74,60,67,1,69,38,49,60,78,72,64,29,56,74,71,51,63,29,53,57,53,32,63,39,42,70
14,8020,74,0.102296283999749,100,6408,80,81,73,1,81,40,54,62,82,68,59,24,57,70,74,58,69,37,58,52,40,41,73,35,47,80
8,8103,83,0.05175766700267559,100,6491,80,68,62,7,71,38,65,65,83,64,57,28,53,72,76,59,62,41,55,64,48,43,63,39,44,78
8,8187,84,0.019395367002289277,100,6575,76,71,64,1,80,40,66,68,84,65,61,38,56,70,73,57,75,32,50,57,47,41,65,36,44,84
20,8273,49,0.10610993099908228,100,6624,81,67,67,1,69,44,59,75,86,71,62,37,48,69,69,70,65,33,54,56,49,49,62,35,38,80
8,8360,87,0.5692421509993437,100,6711,73,65,67,1,68,31,67,53,87,70,64,32,51,68,61,57,61,36,44,64,49,37,62,31,39,72
24,8438,34,0.1535424809990218,100,6745,72,67,62,1,74,36,78,63,74,73,67,25,48,64,69,52,69,38,48,60,54,49,62,28,34,65
8,8523,85,0.1277271760009171,100,6830,72,72,64,5,70,37,67,69,85,71,65,23,49,67,73,58,72,37,50,55,48,48,58,25,35,80
19,8608,63,0.10747263099983684,100,6893,76,72,71,4,71,42,62,62,79,75,69,24,42,61,73,57,71,37,40,63,46,42,56,19,32,85
8,8698,73,0.46802896200097166,100,6966,67,75,66,1,76,33,65,61,73,72,75,22,55,62,75,62,62,38,50,60,54,42,62,16,26,90
17,8774,38,0.15649859699988156,100,7004,70,73,69,1,60,39,69,70,75,69,67,25,48,54,70,46,69,38,45,68,51,48,59,22,15,76
8,8858,68,0.03977367100014817,100,7072,70,70,72,1,61,29,74,75,68,71,72,32,50,58,84,53,74,40,35,57,48,38,58,25,32,81
4,8937,69,0.0415468380015227,100,7141,66,70,70,1,69,31,77,70,77,78,71,34,52,59,74,62,68,39,41,53,45,37,57,19,32,79
8,9018,72,0.04153154100276879,100,7213,68,64,68,1,71,30,67,60,72,68,67,27,64,53,74,65,74,42,35,61,57,43,50,23,33,81
22,9103,57,0.5666883170015353,100,7270,63,77,73,1,72,29,81,62,72,75,67,34,54,52,65,55,72,42,39,68,58,40,57,26,29,85
8,9183,69,0.10716263099675416,100,7339,67,68,77,4,69,28,67,59,69,80,74,27,50,58,66,53,68,42,39,54,57,35,50,29,29,75
16,9264,58,0.7299401559976104,100,7397,54,65,70,1,73,33,81,61,66,71,72,30,48,53,72,54,58,47,34,47,50,27,59,27,30,69
9,9346,72,0.840808109001955,100,7469,66,71,82,1,64,33,77,65,78,72,60,31,48,50,80,55,70,40,48,61,52,34,56,32,32,78
8,9426,69,0.10145204199943691,100,7538,66,68,76,1,70,37,72,61,69,75,69,28,54,52,80,59,65,43,34,51,52,31,50,24,31,78
9,9507,79,0.21783901199887623,100,7617,70,69,81,1,70,34,72,64,61,79,72,35,52,56,73,53,78,40,41,57,53,39,55,26,37,76
10,9583,60,0.08542341599968495,100,7677,65,71,76,1,58,37,74,61,74,75,60,33,54,55,69,64,63,43,35,58,52,36,56,27,31,75
9,9661,78,0.5595115659998555,100,7755,76,61,78,2,63,43,74,58,60,78,63,39,52,50,78,65,73,41,26,58,50,48,50,28,34,77
11,9738,33,0.5120543270022608,100,7788,73,62,70,6,70,41,72,59,56,68,74,33,52,60,69,56,77,41,25,60,57,50,50,22,31,72
9,9822,69,0.18727050199959194,100,7857,65,61,79,1,66,36,71,59,60,69,71,35,51,52,69,49,76,48,26,65,64,52,46,23,25,84
7,9903,60,0.15386351899724104,100,7917,75,65,74,1,73,38,75,60,62,73,63,40,40,39,74,48,81,48,26,66,42,48,40,26,36,78
7,9983,55,0.3284740349990898,100,7972,67,61,69,1,74,33,72,55,52,80,58,32,52,46,77,55,77,50,30,51,50,36,45,27,42,68
9,10061,66,0.3966125369988731,100,8038,72,54,70,5,56,27,68,55,62,66,59,25,55,47,78,58,68,47,30,51,49,46,42,24,41,67
6,10148,77,0.22859741700085578,100,8115,79,58,70,1,67,30,77,45,60,84,55,29,50,38,87,50,76,38,26,58,42,36,47,27,44,66
7,10231,54,0.2615623150013562,100,8169,67,62,72,8,65,27,68,54,57,80,53,21,43,45,79,57,83,44,32,59,36,37,44,27,39,65
5,10319,33,0.08085044200197444,100,8202,70,56,68,1,70,33,75,53,58,88,50,29,50,43,75,48,76,48,26,49,30,45,52,30,40,62
6,10407,75,0.08154927199939266,100,8277,75,49,73,16,61,30,75,45,60,88,56,31,42,46,76,46,83,39,26,54,44,45,54,50,44,62
3,10490,9,0.024526647001039237,100,8286,71,59,73,9,67,32,72,49,66,78,62,22,48,48,66,51,76,40,27,54,36,43,52,38,48,83
6,10571,73,0.14052904500204022,100,8359,76,50,68,16,73,26,73,50,71,81,61,38,47,46,68,54,76,32,29,47,40,45,55,40,41,78
18,10654,21,0.11325756299993373,100,8380,77,48,65,25,66,35,76,53,60,80,61,32,39,43,74,48,70,33,21,48,42,53,54,46,44,83
6,10735,74,0.3528712719999021,100,8454,76,49,64,12,62,29,74,55,56,81,62,30,40,49,73,57,74,34,24,56,43,50,52,31,57,81
0,10816,78,0.2180165659992781,100,8532,78,50,67,19,75,30,75,46,64,74,55,33,40,44,74,61,77,43,29,45,44,51,60,31,50,81
