choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
1,72,21,1.1943761400361836,117,21,46,21,51,36,30,72,63,46
2,141,38,0.0028596115080290474,117,59,46,29,38,46,35,69,60,42
3,215,39,0.06669205414618773,117,98,46,22,44,39,35,74,61,37
0,282,37,0.13820986271639413,117,135,37,29,51,38,34,67,61,48
4,341,19,0.14120451854432758,117,154,39,29,48,40,19,57,59,42
5,407,66,0.021873339946978376,117,220,41,33,47,46,20,66,64,42
6,474,67,0.011334762712067459,117,287,39,35,44,51,36,65,67,39
7,538,49,0.3944887836405542,117,336,46,32,47,53,20,63,64,49
6,597,56,0.13711542769488005,117,392,40,25,45,48,20,59,56,46
5,651,54,0.1139838074814179,117,446,46,33,49,44,36,54,54,41
5,708,57,0.566011712375257,117,503,47,26,49,47,37,57,52,42
1,771,25,0.02414733271325531,117,528,39,25,47,44,31,63,54,40
2,836,49,0.07642548561489093,117,577,43,32,49,39,38,65,63,36
6,900,56,0.12197126308092265,117,633,41,26,56,33,39,64,56,27
5,966,66,0.12704534545082424,117,699,38,35,53,41,36,66,55,32
6,1029,59,0.5771813498031406,117,758,51,39,49,39,39,63,59,42
5,1094,64,0.2328298505544808,117,822,50,41,49,43,37,64,65,35
6,1162,63,0.159445742263415,117,885,45,32,44,32,43,68,63,46
5,1223,52,0.30566738135530613,117,937,40,34,55,47,41,52,61,44
6,1283,56,0.1411533169066388,117,993,45,37,45,55,36,60,56,40
6,1354,62,0.02508432269678451,117,1055,39,43,44,39,37,71,62,37
6,1424,64,0.46761112355488876,117,1119,44,45,55,44,45,70,64,37
6,1497,59,0.03462190790196473,117,1178,38,41,49,42,54,73,59,34
6,1576,62,0.3226701654457429,117,1240,45,41,51,43,48,79,62,34
6,1656,52,0.23001632052182686,117,1292,42,38,50,45,57,80,52,32
6,1729,64,0.20470095043128822,117,1356,42,44,46,47,49,73,64,33
5,1800,71,0.005699382380043971,117,1427,43,35,51,45,49,71,61,24
6,1881,53,0.1621939902070153,117,1480,37,36,55,36,63,81,53,37
