choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
1,76,32,0.8072260393237229,106,32,43,32,70,34,23,58,76,72
0,157,43,0.29787859102361836,106,75,43,34,62,40,27,53,81,69
2,236,58,0.3634243361884728,106,133,36,36,58,51,23,59,72,79
3,315,49,1.1653623740421608,106,182,41,40,54,49,27,59,72,79
4,392,20,3.1549284596403595,106,202,38,36,57,53,20,55,77,75
5,474,53,0.37917185365222394,106,255,40,30,60,54,35,53,80,82
6,558,77,0.0758273302926682,106,332,37,41,57,57,34,62,77,84
6,648,80,0.3219530147325713,106,412,37,44,54,52,30,49,80,90
6,732,71,0.3571941973932553,106,483,33,29,69,56,22,52,71,84
6,818,83,0.31818062538513914,106,566,36,34,55,53,38,41,83,86
6,910,77,0.12967892448068596,106,643,46,31,58,58,34,37,77,92
6,998,80,0.32786441416828893,106,723,42,25,51,55,27,33,80,88
6,1080,79,1.0754138651536778,106,802,41,33,51,50,21,26,79,82
6,1166,75,0.4884770594071597,106,877,43,40,41,54,28,23,75,86
6,1259,79,0.13222563930321485,106,956,36,34,39,55,27,16,79,93
6,1345,76,0.3023262214555871,106,1032,43,37,53,41,25,29,76,86
6,1436,76,0.007956963789183646,106,1108,39,42,45,47,34,28,76,91
6,1523,73,0.04760737452306785,106,1181,40,31,46,43,41,26,73,87
6,1620,72,0.025361541978782043,106,1253,49,31,38,37,32,21,72,97
6,1714,80,0.05073140448075719,106,1333,47,38,35,36,45,32,80,94
6,1797,76,0.06255804351530969,106,1409,48,37,25,45,38,24,76,83
6,1886,74,0.015963210549671203,106,1483,46,34,42,41,44,20,74,89
6,1967,73,0.05390791760873981,106,1556,45,34,37,36,50,18,73,81
6,2061,83,0.16923716964083724,106,1639,46,42,33,37,46,27,83,94
6,2144,71,0.04681308622821234,106,1710,46,43,31,39,45,20,71,83
6,2232,73,0.2953049945353996,106,1783,47,31,42,36,41,20,73,88
6,2324,76,0.2890844563371502,106,1859,48,31,38,50,53,23,76,92
6,2417,71,0.33563000633148476,106,1930,49,35,29,49,41,28,71,93
6,2514,85,0.6007226039364468,106,2015,33,29,34,50,43,22,85,97
6,2604,84,0.033850378094939515,106,2099,30,33,16,40,52,48,84,90
6,2690,74,0.8560686889686622,106,2173,41,38,32,47,46,33,74,86
6,2781,75,0.7538186321617104,106,2248,35,43,28,45,43,32,75,91
6,2868,67,0.8884354569017887,106,2315,33,46,17,49,56,43,67,87
6,2958,67,0.40797808504430577,106,2382,40,43,25,44,53,31,67,90
6,3041,73,0.20774575095856562,106,2455,37,48,27,57,50,43,73,83
6,3133,68,0.06101746988133527,106,2523,29,41,34,51,45,40,68,92
6,3225,70,0.08875995661946945,106,2593,27,49,25,55,43,39,70,92
6,3317,60,0.7574514930602163,106,2653,30,40,25,53,35,34,60,92
6,3407,69,1.0404446990287397,106,2722,31,44,27,53,36,22,69,90
6,3497,63,1.7445355077506974,106,2785,23,40,30,59,46,28,63,90
6,3586,61,0.9908730450842995,106,2846,33,34,23,58,37,27,61,89
6,3683,61,0.936257884488441,106,2907,35,45,31,64,39,29,61,97
6,3779,62,1.561872881866293,106,2969,40,40,21,64,41,29,62,96
6,3872,51,0.1538531942642294,106,3020,36,49,28,58,48,24,51,93
6,3965,51,0.1281165894761216,106,3071,36,51,26,66,46,33,51,93
6,4057,46,0.13641405396629125,106,3117,27,46,23,64,45,39,46,92
6,4144,55,0.03240004993858747,106,3172,23,45,26,53,45,36,55,87
6,4235,58,0.1360473116801586,106,3230,27,38,29,51,47,37,58,91
6,4322,55,0.10896406500251032,106,3285,28,42,34,46,52,31,55,87
6,4410,50,0.08545415560365655,106,3335,28,42,42,48,44,35,50,88
6,4489,47,0.12297387680155225,106,3382,27,42,35,42,42,36,47,79
6,4565,55,0.04084984367364086,106,3437,31,45,38,52,44,32,55,76
6,4641,42,0.12010650246520527,106,3479,29,36,44,50,47,25,42,76
2,4711,44,0.7787564683821984,106,3523,30,34,44,42,43,40,51,70
3,4787,49,0.8180279761145357,106,3572,32,33,34,49,39,33,46,76
5,4858,44,0.26523788645863533,106,3616,25,26,35,33,44,44,50,71
7,4930,72,0.12826827869866975,106,3688,27,40,37,37,45,42,36,72
7,5001,71,0.23001782508799806,106,3759,29,41,34,37,56,34,45,71
7,5069,68,0.1485293505829759,106,3827,33,47,36,31,46,38,35,68
7,5139,70,0.1653700545139145,106,3897,21,40,34,38,57,38,32,70
7,5205,66,0.10312242986401543,106,3963,22,40,31,29,50,43,38,66
7,5274,69,0.2045167546311859,106,4032,25,48,37,46,56,40,36,69
7,5337,63,0.23279815414571203,106,4095,19,54,46,35,52,42,27,63
7,5399,62,0.05883941744104959,106,4157,21,43,39,36,52,41,40,62
7,5461,62,0.5535882181720808,106,4219,23,48,44,34,48,34,34,62
7,5517,54,0.3499559973424766,106,4273,27,56,53,37,48,44,40,54
7,5578,61,0.2978702705295291,106,4334,22,43,45,39,47,35,37,61
7,5642,64,0.21348369983024895,106,4398,24,46,45,36,49,34,43,64
7,5709,67,0.6317811323096976,106,4465,23,36,44,44,60,47,37,67
7,5775,66,0.938958848681068,106,4531,26,46,45,42,41,40,43,66
7,5841,66,0.308449473726796,106,4597,26,45,45,41,47,38,39,66
7,5908,67,0.18688624267815612,106,4664,26,49,51,39,44,36,41,67
7,5970,62,0.043023415841162205,106,4726,12,48,49,38,39,40,40,62
7,6036,66,0.33950352179817855,106,4792,18,47,51,31,35,40,32,66
7,6105,69,0.8255957962246612,106,4861,14,44,52,45,35,42,41,69
7,6163,58,0.2706218938110396,106,4919,9,43,55,43,34,47,45,58
7,6229,66,3.093654974218225,106,4985,7,35,55,34,33,38,41,66
7,6293,64,0.3472307116317097,106,5049,7,45,58,35,31,40,40,64
7,6360,67,0.21356882498366758,106,5116,13,49,63,35,33,44,45,67
7,6429,69,0.4958266262547113,106,5185,12,42,62,35,38,41,40,69
7,6503,63,0.08456002126331441,106,5248,10,46,74,41,40,38,48,63
7,6571,63,2.428129710286157,106,5311,9,57,68,35,35,38,50,63
7,6647,64,0.17828411966911517,106,5375,1,51,76,35,39,42,45,64
4,6719,27,0.12104223936330527,106,5402,3,59,72,48,27,46,52,63
6,6794,61,0.3333751492318697,106,5463,7,59,75,42,42,50,61,60
7,6870,65,0.16891394995036535,106,5528,8,55,76,44,44,47,47,65
7,6944,74,0.012633728125365451,106,5602,10,56,73,47,51,43,44,74
7,7019,68,0.24265411336091347,106,5670,9,57,75,49,46,39,58,68
7,7101,73,0.807487815269269,106,5743,11,56,82,51,43,41,59,73
7,7180,79,0.022378320602001622,106,5822,18,57,69,48,44,45,56,79
7,7262,75,1.1943548567942344,106,5897,17,63,82,55,49,33,51,75
7,7342,80,0.9116663093154784,106,5977,9,71,61,58,50,44,55,80
7,7428,86,0.36400165129452944,106,6063,13,72,65,63,42,38,53,86
7,7516,88,0.8275530352257192,106,6151,18,64,68,54,44,42,50,88
7,7592,76,0.6378979842120316,106,6227,8,73,66,52,42,44,55,76
7,7670,78,0.4322310796706006,106,6305,15,69,66,60,49,41,51,78
7,7742,72,1.379927739588311,106,6377,21,67,67,62,42,45,54,72
7,7833,91,2.6694576630252413,106,6468,21,68,69,58,50,58,57,91
7,7912,79,0.10448699281550944,106,6547,29,69,62,66,49,58,61,79
7,7996,84,0.27721365456818603,106,6631,20,71,70,68,58,66,67,84
7,8083,87,0.2195314275159035,106,6718,18,67,70,67,52,58,66,87
7,8167,84,0.13757828474626876,106,6802,31,76,67,63,42,62,60,84
7,8247,80,0.9815502382698469,106,6882,39,65,68,69,53,60,60,80
7,8322,75,0.7451256236527115,106,6957,38,62,65,72,42,61,60,75
7,8398,76,0.29474944074172527,106,7033,28,68,67,65,37,65,54,76
7,8473,75,1.7318659374432173,106,7108,31,64,72,62,47,61,63,75
7,8554,81,0.08306617042399012,106,7189,30,68,70,62,34,65,50,81
7,8627,73,0.24797091662185267,106,7262,33,66,70,70,39,63,57,73
7,8699,66,0.3005110710801091,106,7328,33,65,69,72,40,67,55,66
7,8773,66,0.9274522291088942,106,7394,40,55,74,65,42,67,61,66
7,8854,68,0.177806650637649,106,7462,36,60,81,64,26,70,56,68
7,8932,65,0.3743203586782329,106,7527,38,51,78,62,44,71,57,65
7,9007,68,0.09701645860332064,106,7595,41,51,75,68,48,68,62,68
