choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,73,55,1.3874661179434042,106,55,55,45,61,35,49,47,38,21,45,43,29,24,38,22,64,43,72,48,27,45,64,73,40,45,38,31
16,146,63,0.06959655147511512,106,118,59,59,70,33,38,45,39,21,36,34,40,12,39,25,64,31,63,36,34,41,60,73,44,44,46,38
22,218,56,0.30482109313015826,106,174,59,49,58,37,44,43,42,28,39,37,45,18,43,29,72,28,63,41,22,39,64,69,56,39,49,38
18,290,29,0.06488970530335791,106,203,63,55,58,32,38,51,44,21,43,44,43,20,46,21,70,35,65,46,29,44,72,64,43,46,52,38
25,364,36,0.03844201727770269,106,239,59,55,51,36,32,50,34,38,47,46,49,17,44,22,65,29,62,46,31,44,74,70,46,37,38,36
23,439,51,0.06784476494067349,106,290,59,47,52,29,33,50,34,43,52,40,50,16,32,27,64,27,59,37,31,43,75,63,63,51,45,37
16,506,65,0.2567221687058918,106,355,54,49,61,36,38,44,47,45,51,32,52,23,30,27,65,22,65,48,32,43,67,62,52,42,41,35
16,575,65,0.08390782159403898,106,420,59,59,58,43,45,46,43,35,57,31,50,19,36,26,61,24,65,38,42,47,69,56,47,36,32,34
16,644,55,0.009076391870621592,106,475,56,58,55,34,41,39,44,38,56,40,44,25,37,19,63,34,55,42,31,49,69,59,59,41,41,23
4,717,48,1.0234798275923822,106,523,60,55,57,36,48,52,40,26,63,41,37,23,31,21,60,27,53,47,39,50,73,54,56,46,41,29
3,789,38,0.03587354111368768,106,561,53,56,52,38,51,46,39,30,72,48,47,25,33,14,59,36,67,44,33,51,68,50,62,36,36,32
17,860,46,0.020179786952212453,106,607,43,47,49,36,52,42,37,35,65,41,43,28,29,15,56,30,59,46,41,45,71,55,53,52,32,27
5,931,45,0.028024103870848194,106,652,54,57,56,31,43,45,32,39,63,41,48,24,33,20,70,29,58,48,33,45,71,60,62,48,40,29
2,1005,59,1.0856647284235805,106,711,57,58,59,41,42,48,38,32,68,32,38,18,28,18,62,35,74,45,31,38,64,59,57,51,44,27
21,1079,59,0.025521551695419475,106,770,47,53,64,34,47,41,34,28,58,36,42,16,31,19,51,26,74,39,37,48,66,59,50,46,40,19
16,1160,62,0.08517381857382134,106,832,53,64,75,50,48,46,47,36,71,30,40,27,28,18,53,37,62,50,31,42,81,52,55,41,43,14
7,1239,31,0.5564216704515275,106,863,58,56,70,41,45,43,44,31,53,19,46,13,30,15,48,26,70,48,25,45,79,57,49,48,42,12
24,1317,46,0.026874593953834847,106,909,44,57,64,44,43,36,52,25,58,22,33,25,23,11,53,30,61,38,28,51,78,58,48,45,46,23
20,1396,79,0.11703111551469192,106,988,46,54,65,38,38,38,45,28,69,24,39,17,32,8,56,39,52,45,19,43,79,49,45,42,37,25
20,1478,82,0.0886351490044035,106,1070,43,47,69,39,40,36,46,36,58,28,53,20,25,14,54,39,53,43,23,45,82,43,39,47,32,20
20,1548,70,0.3471289454610087,106,1140,53,61,56,35,39,34,51,26,58,25,38,10,18,6,44,35,57,56,29,51,70,43,42,53,43,29
20,1619,71,0.18978177872486413,106,1211,51,53,67,44,34,28,42,28,59,26,50,20,16,8,42,47,57,42,18,44,71,43,36,52,29,30
20,1688,69,1.3135064211965073,106,1280,52,42,63,37,37,33,50,22,65,28,49,13,22,24,38,49,63,45,20,42,69,45,44,48,38,24
20,1760,72,0.18247189428075217,106,1352,39,53,66,36,52,40,48,30,47,28,43,18,27,22,51,44,65,46,17,43,72,43,40,49,27,34
9,1828,40,0.7982667746255174,106,1392,43,53,68,30,44,40,42,27,57,40,52,23,25,25,38,45,67,38,8,48,60,40,47,44,29,20
20,1905,77,0.2947884831519332,106,1469,37,52,60,19,37,26,55,28,66,38,44,15,30,23,45,47,71,47,13,40,77,42,59,48,48,29
20,1984,79,0.07663185920682736,106,1548,50,38,66,42,46,32,54,30,62,38,43,14,20,28,51,53,59,46,17,38,79,45,56,48,37,31
20,2061,77,0.040848563599865884,106,1625,43,43,60,36,41,28,44,30,66,37,47,17,36,27,51,61,68,45,16,36,77,37,58,65,45,36
20,2129,68,0.3198178449238185,106,1693,48,41,62,28,39,34,61,32,65,38,48,19,35,21,37,51,65,45,16,30,68,37,53,52,37,24
20,2205,76,0.07796250013052486,106,1769,43,40,66,34,48,34,57,26,59,38,59,18,26,29,43,56,57,51,21,36,76,41,61,54,35,33
20,2289,84,0.18103500694269314,106,1853,42,40,64,34,44,33,44,24,58,32,47,6,33,27,55,58,51,41,25,46,84,33,50,50,37,16
20,2360,71,0.9582393809687346,106,1924,48,50,62,33,45,40,53,30,49,36,47,23,32,30,49,62,51,51,23,47,71,43,54,52,40,29
20,2433,73,1.5616200664953794,106,1997,53,49,45,35,34,41,50,32,45,42,46,27,29,32,42,61,54,42,24,38,73,41,51,49,43,43
20,2501,68,0.10899606696330011,106,2065,48,46,66,39,40,39,53,24,47,47,59,21,40,37,50,47,46,48,15,34,68,47,51,49,46,27
20,2573,72,2.140817521722056,106,2137,44,47,55,43,39,41,56,29,47,37,60,25,34,30,44,59,52,59,23,33,72,43,54,51,43,40
20,2638,65,2.321125444432255,106,2202,48,44,63,37,45,53,47,28,55,32,60,21,38,27,40,60,64,50,21,30,65,49,59,51,48,41
20,2708,70,0.5367673554283101,106,2272,54,47,62,42,37,51,48,36,47,41,59,23,42,42,38,56,58,54,23,38,70,49,56,43,44,41
20,2776,62,0.2615339812473394,106,2334,40,41,56,38,40,58,42,46,56,39,49,16,35,32,41,56,49,45,20,33,62,60,68,56,43,36
20,2839,60,0.2267273850447964,106,2394,45,39,53,31,47,47,53,47,52,39,52,10,46,29,38,60,54,54,28,34,60,55,63,48,52,38
20,2905,66,0.15709563140990213,106,2460,49,44,52,42,38,65,43,37,48,51,52,16,41,29,37,50,53,52,23,40,66,49,64,41,57,42
20,2971,60,0.20554913737578318,106,2520,49,46,48,38,45,66,39,40,40,47,54,16,49,35,45,55,58,50,30,48,60,42,61,52,56,30
20,3040,62,0.08338939005625434,106,2582,51,50,50,44,50,64,42,38,47,46,64,22,38,32,34,55,48,54,21,43,62,47,69,49,53,38
20,3104,61,0.08548295736545697,106,2643,56,45,48,44,53,64,37,51,32,54,54,21,43,41,28,52,46,47,24,38,61,45,64,48,51,31
20,3169,60,0.06529612999293022,106,2703,51,44,40,36,47,65,40,43,49,53,53,25,33,31,33,56,64,39,22,37,60,40,61,53,56,39
20,3234,64,0.10285169340204448,106,2767,61,45,49,38,55,63,36,38,49,56,56,20,37,32,32,62,54,60,26,45,64,40,65,50,46,32
20,3299,58,0.060285265353741124,106,2825,54,50,45,48,51,62,38,47,48,60,50,19,33,45,38,60,48,41,34,30,58,38,65,50,45,34
15,3363,64,0.09744976492947899,106,2889,58,51,55,42,55,62,32,40,48,60,47,12,34,34,31,64,54,44,23,34,63,48,54,49,48,34
15,3432,69,0.19026180790388025,106,2958,52,52,48,37,56,66,41,29,45,60,46,10,35,33,32,69,50,56,28,40,57,40,60,46,57,34
