choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
2,61,61,0.5534454894950613,106,61,55,45,61,35,49,47,38,21
3,131,33,0.22733670205343515,106,94,59,59,70,33,38,45,39,21
0,190,59,0.14141275789006613,106,153,59,49,58,37,44,43,42,28
1,253,55,0.13185377669287845,106,208,63,55,58,32,38,51,44,21
4,312,32,0.06976104149362072,106,240,59,55,51,36,32,50,34,38
2,371,52,0.23230148394941352,106,292,59,47,52,29,33,50,34,43
5,432,44,0.10184043188928626,106,336,54,49,61,36,38,44,47,45
6,491,43,0.12577212695032358,106,379,59,59,58,43,45,46,43,35
7,549,38,0.3312310188484844,106,417,56,58,55,34,41,39,44,38
2,609,57,0.21104451149585657,106,474,60,55,57,36,48,52,40,26
3,665,38,0.13825736605213024,106,512,53,56,52,38,51,46,39,30
0,717,43,0.18245461321203038,106,555,43,47,49,36,52,42,37,35
1,774,57,0.061569823446916416,106,612,54,57,56,31,43,45,32,39
5,833,48,0.27409474496380426,106,660,57,58,59,41,42,48,38,32
4,897,47,0.20467292409739457,106,707,47,53,64,34,47,41,34,28
2,972,75,0.46244603671948425,106,782,53,64,75,50,48,46,47,36
2,1042,70,0.18417183763813227,106,852,58,56,70,41,45,43,44,31
2,1106,64,0.1023281415400561,106,916,44,57,64,44,43,36,52,25
2,1171,65,0.268454722041497,106,981,46,54,65,38,38,38,45,28
2,1240,69,0.21756650804309174,106,1050,43,47,69,39,40,36,46,36
2,1301,56,0.44357768952613696,106,1106,53,61,56,35,39,34,51,26
2,1368,67,0.09236593585228547,106,1173,51,53,67,44,34,28,42,28
2,1431,63,0.13772357359994203,106,1236,52,42,63,37,37,33,50,22
2,1497,66,0.09212016090168618,106,1302,39,53,66,36,52,40,48,30
2,1565,68,0.34171741642057896,106,1370,43,53,68,30,44,40,42,27
2,1625,60,0.28168560648919083,106,1430,37,52,60,19,37,26,55,28
2,1691,66,0.025333380268421024,106,1496,50,38,66,42,46,32,54,30
2,1751,60,0.21739561765571125,106,1556,43,43,60,36,41,28,44,30
2,1813,62,0.23362508439458907,106,1618,48,41,62,28,39,34,61,32
2,1879,66,0.07338750196504407,106,1684,43,40,66,34,48,34,57,26
2,1943,64,0.4208947103761602,106,1748,42,40,64,34,44,33,44,24
2,2005,62,0.11723080763476901,106,1810,48,50,62,33,45,40,53,30
2,2058,45,0.277634800208034,106,1855,53,49,45,35,34,41,50,32
2,2124,66,0.44937900223885663,106,1921,48,46,66,39,40,39,53,24
2,2180,55,0.18719922172022052,106,1976,44,47,55,43,39,41,56,29
2,2243,63,0.35255839556339197,106,2039,48,44,63,37,45,53,47,28
2,2305,62,0.3435268064204138,106,2101,54,47,62,42,37,51,48,36
2,2363,56,0.053018263512058184,106,2157,40,41,56,38,40,58,42,46
2,2416,53,0.5959075911669061,106,2210,45,39,53,31,47,47,53,47
2,2481,52,0.31380595942027867,106,2262,49,44,52,42,38,65,43,37
2,2547,48,0.011060512479161844,106,2310,49,46,48,38,45,66,39,40
2,2611,50,0.06345217788475566,106,2360,51,50,50,44,50,64,42,38
2,2675,48,0.41592928851605393,106,2408,56,45,48,44,53,64,37,51
3,2740,36,0.27689363513491116,106,2444,51,44,40,36,47,65,40,43
1,2803,45,0.09559429212822579,106,2489,61,45,49,38,55,63,36,38
0,2865,54,0.01849840470822528,106,2543,54,50,45,48,51,62,38,47
2,2927,55,0.24850726925069466,106,2598,58,51,55,42,55,62,32,40
4,2993,56,0.14243041977169923,106,2654,52,52,48,37,56,66,41,29
5,3061,68,0.18493732417118736,106,2722,64,45,40,39,49,68,41,29
5,3131,70,0.24449934557196684,106,2792,65,50,54,47,44,70,25,40
5,3196,64,0.11590720716048963,106,2856,65,49,52,46,44,64,27,37
5,3266,70,0.2798378141305875,106,2926,65,55,43,38,46,70,35,39
5,3334,68,0.5964330631541088,106,2994,53,52,41,30,47,68,24,42
5,3402,68,0.4314335911767557,106,3062,60,51,45,46,43,68,31,41
5,3460,58,0.27319613032159396,106,3120,56,45,35,39,49,58,30,37
5,3523,63,0.6321389140503015,106,3183,50,50,52,41,43,63,27,47
5,3578,55,0.2392811082827393,106,3238,51,42,54,42,45,55,36,48
5,3632,54,0.07782809194759466,106,3292,40,45,38,46,40,54,38,41
2,3693,44,0.405569618626032,106,3336,50,48,44,47,36,61,29,40
5,3753,60,0.2824171709653456,106,3396,50,49,42,53,49,60,38,47
5,3821,68,0.28962848940864205,106,3464,47,41,43,45,47,68,37,40
5,3881,60,0.16796797246206552,106,3524,55,43,40,52,40,60,33,52
5,3942,61,0.09357624943368137,106,3585,57,34,45,57,41,61,28,48
5,3998,56,0.30717387615004554,106,3641,52,43,46,46,41,56,42,51
5,4058,60,0.4204761249420699,106,3701,47,50,48,53,39,60,39,56
5,4114,56,0.30560194060672075,106,3757,47,46,39,50,39,56,41,51
5,4174,60,0.0030312243034131825,106,3817,48,55,41,48,40,60,46,49
5,4238,64,0.225238654500572,106,3881,49,44,45,39,44,64,47,48
5,4308,70,0.3152076446276624,106,3951,45,64,48,57,53,70,42,48
5,4374,66,0.20116935108671896,106,4017,53,55,40,49,45,66,52,48
5,4446,72,0.18620716137229465,106,4089,51,47,40,50,50,72,44,49
5,4512,66,0.01790316851111129,106,4155,59,49,45,43,46,66,51,52
5,4579,67,0.7759006147680338,106,4222,50,49,43,42,38,67,65,53
5,4642,63,1.4755130712001119,106,4285,60,38,50,43,44,63,50,57
5,4702,60,0.21277581676258706,106,4345,54,49,48,41,38,60,46,51
5,4757,55,0.10821201928774826,106,4400,43,53,44,42,40,55,55,52
5,4817,60,0.30705546896206215,106,4460,53,53,45,37,38,60,59,48
5,4879,62,0.02549403003649786,106,4522,57,46,42,39,40,62,49,52
5,4940,61,0.0652302059752401,106,4583,44,43,43,45,42,61,51,59
5,5000,57,0.33465842725127004,106,4640,50,52,41,53,43,57,57,60
5,5057,48,0.02288971169036813,106,4688,45,46,50,49,31,48,51,57
