choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
3,62,38,1.0520377239154186,106,38,56,62,50,38
3,120,37,0.5185953706095461,106,75,58,55,51,37
1,176,56,0.01010685449000448,106,131,54,56,51,33
2,235,50,0.047926113911671564,106,181,56,59,50,34
0,302,58,0.4361615586094558,106,239,58,67,57,40
0,365,59,0.22496663796482608,106,298,59,63,52,33
0,436,52,0.11409141676267609,106,350,52,71,58,26
0,502,51,0.012571644358104095,106,401,51,61,66,29
0,561,40,0.25975659317919053,106,441,40,53,59,18
1,623,62,0.15913415534305386,106,503,49,62,62,31
1,685,57,0.24470735821523704,106,560,44,57,62,22
1,747,62,0.3602407826401759,106,622,48,62,56,32
1,799,52,0.14258402909035794,106,674,48,52,49,40
1,850,51,0.03964401036500931,106,725,41,51,50,38
1,905,55,0.19411420213873498,106,780,48,55,47,34
1,960,54,0.19004227456753142,106,834,49,54,55,35
1,1020,60,0.26732505336985923,106,894,51,60,58,30
1,1079,56,0.19624937197659165,106,950,41,56,59,30
1,1143,57,0.25875493229250424,106,1007,47,57,64,29
1,1198,55,0.18103500694269314,106,1062,52,55,55,30
1,1262,53,0.5052319981041364,106,1115,57,53,64,32
1,1327,59,0.22649505091249011,106,1174,50,59,65,32
1,1388,55,0.3935503278335091,106,1229,53,55,61,31
1,1447,57,0.21141125378198922,106,1286,55,57,59,33
1,1512,49,0.15108438592869788,106,1335,51,49,65,37
0,1577,65,0.28620620133006014,106,1400,65,57,57,32
0,1642,65,0.011822798813227564,106,1465,65,58,58,36
0,1705,48,0.09142059838632122,106,1513,48,51,63,32
1,1770,52,0.11799693419015966,106,1565,52,52,65,30
0,1829,58,0.10433978386572562,106,1623,58,47,59,34
0,1883,47,0.08720658216043375,106,1670,47,45,54,35
1,1941,49,0.05513423218508251,106,1719,52,49,58,46
1,2001,55,0.4704561237304006,106,1774,39,55,60,31
1,2060,56,0.21394388779299334,106,1830,51,56,59,33
3,2122,33,0.25440586789045483,106,1863,48,54,62,33
1,2186,64,0.1565195964067243,106,1927,46,64,64,35
1,2245,59,0.31779916217783466,106,1986,43,59,56,32
1,2308,55,0.13915662071667612,106,2041,49,55,63,26
1,2374,45,0.10796048401971348,106,2086,46,45,66,26
1,2439,51,0.11836239643162116,106,2137,59,51,65,32
1,2509,66,0.5684384010673966,106,2203,54,66,70,32
1,2571,57,0.09444862246164121,106,2260,58,57,62,25
1,2648,43,0.326534413266927,106,2303,54,43,77,21
1,2721,52,0.054205535707296804,106,2355,47,52,73,32
1,2801,44,0.2516389796510339,106,2399,58,44,80,25
1,2873,58,0.14017172245075926,106,2457,55,58,72,25
1,2943,53,0.0636877122160513,106,2510,52,53,70,26
1,3024,45,5.117816443234915,106,2555,52,45,81,24
1,3094,44,1.1284922923368867,106,2599,58,44,70,16
1,3168,51,0.022927473997697234,106,2650,69,51,74,27
1,3241,52,0.019110921944957227,106,2702,51,52,73,34
1,3317,50,0.32338542182696983,106,2752,55,50,76,26
1,3378,47,2.5411305007291958,106,2799,56,47,61,25
1,3446,44,1.4632441652356647,106,2843,58,44,68,24
1,3512,44,1.4088638989196625,106,2887,66,44,60,25
1,3578,39,3.9706215737969615,106,2926,66,39,60,25
0,3649,63,1.434610744327074,106,2989,63,35,71,20
0,3714,65,5.246267133043148,106,3054,65,34,64,31
0,3789,75,0.39307861917768605,106,3129,75,28,66,26
0,3861,65,2.5707611022517085,106,3194,65,37,72,26
0,3934,72,0.262323149247095,106,3266,72,41,73,33
0,4013,65,0.4906224698352162,106,3331,65,36,79,38
0,4088,75,0.19715246686246246,106,3406,75,31,72,37
0,4168,69,0.1201506651705131,106,3475,69,24,80,33
0,4241,73,0.16861185160814784,106,3548,73,29,68,32
0,4313,72,0.2163011511147488,106,3620,72,30,72,30
0,4393,65,0.15232222119811922,106,3685,65,30,80,31
0,4472,72,0.23245957354083657,106,3757,72,40,79,42
0,4547,68,0.241320912289666,106,3825,68,30,75,26
0,4627,64,0.18118093578959815,106,3889,64,39,80,38
0,4699,60,0.18310681291040964,106,3949,60,40,72,38
0,4774,52,0.2170211948978249,106,4001,52,29,75,43
0,4844,57,0.16705847717821598,106,4058,57,43,70,39
0,4912,58,0.34356008845497854,106,4116,58,39,68,35
0,4987,70,0.049650378728983924,106,4186,70,44,75,32
0,5061,65,0.4521510107733775,106,4251,65,27,74,46
0,5128,62,0.5502939378493465,106,4313,62,35,67,50
0,5195,56,0.5634716991044115,106,4369,56,37,67,48
0,5269,56,0.2705303682596423,106,4425,56,45,74,52
0,5333,62,0.28111853200243786,106,4487,62,35,64,59
0,5397,59,0.10444795043440536,106,4546,59,31,64,58
0,5468,63,0.1576998281525448,106,4609,63,40,71,65
0,5533,56,0.11131876820581965,106,4665,56,38,65,64
0,5598,53,0.13119453663239256,106,4718,53,37,65,51
0,5666,44,0.04384906601626426,106,4762,44,49,68,57
1,5732,54,0.0573609275452327,106,4816,47,54,66,62
0,5792,60,0.23558040329953656,106,4876,60,47,60,59
2,5852,60,0.16246043759747408,106,4936,41,44,60,57
0,5915,46,0.3224631257762667,106,4982,46,42,63,58
2,5970,55,0.10419641513726674,106,5037,44,41,55,47
2,6030,60,0.06032046748441644,106,5097,54,42,60,41
2,6088,58,0.11173159326426685,106,5155,33,44,58,51
2,6143,55,0.4185080052993726,106,5210,36,41,55,43
2,6202,59,0.2144424780854024,106,5269,42,44,59,44
2,6265,63,0.15579059207811952,106,5332,37,49,63,44
2,6331,66,0.10225645717582665,106,5398,38,58,66,49
2,6397,66,0.06753498612670228,106,5464,39,55,66,44
2,6460,63,0.41465177084319293,106,5527,42,61,63,52
2,6519,59,0.15196443942841142,106,5586,44,51,59,46
2,6585,66,0.6468924510409124,106,5652,41,54,66,46
2,6660,75,0.3496135765162762,106,5727,53,60,75,47
2,6727,67,0.24700125766685233,106,5794,56,49,67,47
2,6798,71,0.14053526453790255,106,5865,55,54,71,47
2,6861,63,0.09956253340351395,106,5928,54,53,63,50
2,6923,62,0.04223552791518159,106,5990,47,54,62,42
2,6990,67,0.09989535363274626,106,6057,54,51,67,35
2,7048,57,0.10172202470130287,106,6114,58,50,57,42
1,7117,47,0.2555726588179823,106,6161,63,47,69,46
3,7187,35,0.19679660521796905,106,6196,70,54,69,35
2,7249,62,0.17614510960993357,106,6258,61,48,62,33
0,7316,53,0.15105430409312248,106,6311,53,55,67,39
2,7374,58,0.12561211720458232,106,6369,56,48,58,38
2,7428,54,0.17952963538118638,106,6423,51,45,54,32
2,7477,49,0.3687680211151019,106,6472,43,45,49,34
2,7538,61,0.15464108219021,106,6533,51,42,61,32
2,7604,66,0.16366563088377006,106,6599,55,57,66,33
2,7658,53,0.06623250694246963,106,6652,48,54,53,27
2,7721,63,0.10441786859882995,106,6715,54,46,63,26
2,7789,68,0.5113539703015704,106,6783,49,51,68,35
2,7852,63,0.12209702350082807,106,6846,59,38,63,35
2,7917,65,0.21436631347751245,106,6911,55,34,65,41
2,7978,61,1.0441537245351356,106,6972,54,37,61,44
2,8041,50,0.07144370378227904,106,7022,63,29,50,34
2,8101,60,0.0703620380081702,106,7082,53,41,60,32
2,8162,57,0.3378349403501488,106,7139,61,34,57,33
2,8223,61,0.07145202430547215,106,7200,58,31,61,39
2,8286,63,0.0639898105582688,106,7263,58,39,63,20
2,8346,60,0.12001049664104357,106,7323,50,30,60,28
2,8401,55,0.16967815640964545,106,7378,54,36,55,29
2,8470,69,0.7722498327784706,106,7447,47,33,69,26
2,8528,58,0.10401400405680761,106,7505,50,31,58,26
2,8590,62,0.6693034136551432,106,7567,48,33,62,28
2,8652,62,0.21738985730917193,106,7629,56,33,62,35
2,8716,64,0.25756958025158383,106,7693,55,34,64,39
2,8777,61,0.14165597269311547,106,7754,52,27,61,31
2,8840,63,0.14530739467591047,106,7817,44,23,63,25
2,8911,71,0.13109789075679146,106,7888,48,27,71,28
2,8977,66,0.06635795457987115,106,7954,42,28,66,34
2,9042,65,0.17542250570841134,106,8019,32,33,65,37
2,9115,73,0.1632828876026906,106,8092,36,23,73,33
2,9186,71,0.052096607483690605,106,8163,29,26,71,29
2,9261,75,0.22445140665513463,106,8238,30,29,75,38
2,9333,72,0.1556350626051426,106,8310,27,24,72,38
2,9405,72,0.16838527782238089,106,8382,20,23,72,39
2,9468,63,0.28923102526459843,106,8445,26,19,63,40
2,9545,77,0.30194219810073264,106,8522,30,23,77,42
2,9605,60,0.15626294078538194,106,8582,23,18,60,34
2,9671,66,0.19588262966135517,106,8648,24,23,66,24
2,9735,64,0.25746077360236086,106,8712,26,17,64,30
2,9809,74,0.10463932206039317,106,8786,22,17,74,30
2,9879,70,0.1820149064878933,106,8856,15,15,70,37
2,9958,79,0.15132376048131846,106,8935,18,24,79,27
2,10010,52,0.0571823566860985,106,8987,22,26,52,34
2,10067,57,0.15076180631876923,106,9044,31,15,57,25
2,10122,55,0.11054048087680712,106,9099,23,25,55,36
0,10190,26,0.5257919681607746,106,9125,26,22,68,36
2,10246,56,0.09348920415504836,106,9181,17,23,56,34
1,10297,24,0.3070074660354294,106,9205,24,24,51,24
2,10347,50,0.1661336209217552,106,9255,22,27,50,30
2,10409,62,0.05616981512866914,106,9317,16,26,62,24
2,10471,62,0.4282493975770194,106,9379,19,30,62,34
2,10533,62,0.10233774213702418,106,9441,29,32,62,35
2,10590,57,0.013621308171423152,106,9498,25,30,57,42
2,10647,57,0.06592464822460897,106,9555,23,36,57,51
2,10708,61,0.04047030059155077,106,9616,25,34,61,48
2,10764,56,0.33306025006459095,106,9672,35,35,56,36
2,10818,54,0.04379082249943167,106,9726,28,26,54,44
2,10874,56,0.2935813697404228,106,9782,30,43,56,41
2,10922,48,0.10969050918356515,106,9830,28,25,48,48
2,10968,46,0.09613896525115706,106,9876,31,28,46,42
2,11028,60,0.09035045330529101,106,9936,25,38,60,37
2,11080,52,0.15437610607477836,106,9988,27,38,52,41
2,11131,51,0.26548878170433454,106,10039,30,44,51,39
2,11180,49,0.07302331982646137,106,10088,25,36,49,40
3,11238,54,0.17419299093307927,106,10142,24,33,58,54
3,11293,37,0.13861898804316297,106,10179,33,31,55,37
2,11345,49,0.33007318843738176,106,10228,26,42,49,52
2,11404,59,0.21242187524330802,106,10287,32,37,59,37
2,11446,42,0.1900665960565675,106,10329,35,39,42,38
2,11500,54,0.22082750630215742,106,10383,42,35,54,44
2,11564,64,0.5934978446457535,106,10447,41,36,64,41
2,11615,51,0.6513669631094672,106,10498,41,29,51,43
2,11669,54,0.41885490639833733,106,10552,48,35,54,45
