choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
0,70,43,0.7284331163391471,116,43,43,32,70,34
1,132,34,0.06961310340557247,116,77,43,34,62,40
2,190,58,0.10192158643621951,116,135,36,36,58,51
3,244,49,0.07648327224887908,116,184,41,40,54,49
2,301,57,0.10229792876634747,116,241,38,36,57,53
2,361,60,0.09906765643972903,116,301,40,30,60,54
2,418,57,0.15024446253664792,116,358,37,41,57,57
2,472,54,0.12026251794304699,116,412,37,44,54,52
2,541,69,1.4987740069627762,116,481,33,29,69,56
2,596,55,1.7231707230675966,116,536,36,34,55,53
2,654,58,0.2743683304870501,116,594,46,31,58,58
2,709,51,0.21110952529124916,116,645,42,25,51,55
2,760,51,0.220857945503667,116,696,41,33,51,50
2,814,41,0.24883529066573828,116,737,43,40,41,54
2,869,39,0.23815881519112736,116,776,36,34,39,55
3,922,41,0.2461650517070666,116,817,43,37,53,41
1,969,42,0.138181664631702,116,859,39,42,45,47
0,1015,40,0.07699722284451127,116,899,40,31,46,43
2,1064,38,0.18090612755622715,116,937,49,31,38,37
1,1111,38,0.11333986592944711,116,975,47,38,35,36
0,1159,48,0.18145912047475576,116,1023,48,37,25,45
3,1205,41,0.4148426114115864,116,1064,46,34,42,41
0,1250,45,0.020581705030053854,116,1109,45,34,37,36
0,1296,46,0.14195980946533382,116,1155,46,42,33,37
0,1342,46,0.20894939673598856,116,1201,46,43,31,39
0,1389,47,0.1843732139095664,116,1248,47,31,42,36
0,1439,48,0.7571740270359442,116,1296,48,31,38,50
0,1488,49,0.7693027488421649,116,1345,49,35,29,49
0,1538,33,0.8807564226444811,116,1378,33,29,34,50
0,1578,30,1.0314994748914614,116,1408,30,33,16,40
1,1625,38,0.49450687307398766,116,1446,41,38,32,47
2,1670,28,0.2466406001476571,116,1474,35,43,28,45
3,1719,49,0.5074996463954449,116,1523,33,46,17,49
3,1763,44,0.27350939926691353,116,1567,40,43,25,44
3,1820,57,0.46600277652032673,116,1624,37,48,27,57
3,1871,51,0.05382464360445738,116,1675,29,41,34,51
3,1926,55,0.15224906185176224,116,1730,27,49,25,55
3,1979,53,0.35583877947647125,116,1783,30,40,25,53
3,2032,53,1.1360253762686625,116,1836,31,44,27,53
3,2091,59,0.6161269118310884,116,1895,23,40,30,59
3,2149,58,0.7070500835543498,116,1953,33,34,23,58
3,2213,64,0.7921706699999049,116,2017,35,45,31,64
3,2277,64,0.3527998785721138,116,2081,40,40,21,64
3,2335,58,0.690307327080518,116,2139,36,49,28,58
3,2401,66,0.8671242512064055,116,2205,36,51,26,66
3,2465,64,0.14642471517436206,116,2269,27,46,23,64
3,2518,53,0.42565349489450455,116,2322,23,45,26,53
3,2569,51,0.37333486089482903,116,2373,27,38,29,51
3,2615,46,1.0908534076297656,116,2419,28,42,34,46
2,2663,42,0.298129744711332,116,2461,28,42,42,48
1,2705,42,0.5695622203638777,116,2503,27,42,35,42
0,2757,31,0.44448213558644056,116,2534,31,45,38,52
3,2807,50,0.5052447922062129,116,2584,29,36,44,50
3,2851,42,0.42568165657576174,116,2626,30,34,44,42
2,2900,34,0.3147540941135958,116,2660,32,33,34,49
2,2935,35,0.5380051421234384,116,2695,25,26,35,33
1,2975,40,0.27584041794762015,116,2735,27,40,37,37
1,3016,41,0.3766400176100433,116,2776,29,41,34,37
