choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,68,63,1.6935113577637821,116,63,63,5,68,65,49,47,55,41
1,130,6,0.36878803034778684,116,69,48,6,62,61,55,48,56,35
2,197,61,0.23944657191168517,116,130,64,23,61,67,61,48,62,29
3,268,70,0.43821296247188,116,200,61,27,71,70,55,44,53,39
3,341,70,0.3720355835976079,116,270,59,19,71,70,73,46,59,32
3,414,69,0.46887270733714104,116,339,54,26,63,69,73,44,56,37
4,476,61,0.26419684500433505,116,400,59,32,62,56,61,48,62,29
5,551,50,0.22787724330555648,116,450,58,37,62,63,75,50,61,33
6,615,60,0.2532489934237674,116,510,62,27,61,61,64,39,60,35
7,688,28,0.29495195555500686,116,538,58,35,65,66,73,41,60,28
3,777,59,0.3452512692892924,116,597,54,42,59,59,89,43,61,26
3,852,59,0.4216385360341519,116,656,48,35,54,59,75,41,51,36
2,930,58,0.15211785398423672,116,714,51,36,58,66,78,35,53,24
1,1009,39,0.2040025421883911,116,753,50,39,58,57,79,37,59,33
0,1087,58,0.0310431276448071,116,811,58,28,50,73,78,40,61,34
3,1162,59,0.4668725882656872,116,870,51,41,59,59,75,31,69,31
3,1233,53,0.2521314868936315,116,923,53,33,65,53,71,40,62,30
3,1313,60,0.21125161368399858,116,983,42,37,62,60,80,40,55,36
3,1388,75,0.2553086359985173,116,1058,59,48,67,75,71,41,58,29
3,1468,60,0.2434890524018556,116,1118,48,50,59,60,80,55,52,37
3,1538,66,0.4084876732667908,116,1184,52,49,63,66,70,49,57,24
3,1612,74,0.37294827785808593,116,1258,55,45,53,74,68,39,55,35
3,1684,62,0.32509454956743866,116,1320,46,39,51,62,72,41,57,32
3,1759,70,0.45041848882101476,116,1390,53,51,48,70,75,39,60,24
3,1826,64,0.3566337068332359,116,1454,49,44,51,64,61,41,67,30
3,1898,72,0.39597044815309346,116,1526,49,49,50,72,67,39,63,33
3,1962,62,0.40544301201589406,116,1588,47,44,51,62,64,46,61,18
3,2028,58,0.624445486930199,116,1646,45,39,55,58,63,50,66,17
3,2092,63,0.49691789655480534,116,1709,47,47,47,63,63,40,64,13
3,2159,61,0.3844452822813764,116,1770,47,42,41,61,64,39,67,29
3,2229,56,0.4544571292353794,116,1826,40,43,47,56,66,49,70,19
3,2298,65,0.677163504762575,116,1891,34,43,46,65,64,45,69,23
3,2368,61,0.5783352224389091,116,1952,41,48,52,61,64,47,70,27
3,2439,50,0.7142485921503976,116,2002,41,57,46,50,71,56,70,26
3,2512,54,0.5905177076347172,116,2056,36,62,46,54,73,44,71,30
3,2591,53,0.3869599918834865,116,2109,51,55,50,53,79,48,69,30
3,2673,59,0.5137899408582598,116,2168,38,60,44,59,75,49,82,33
3,2753,48,0.5598214805359021,116,2216,41,59,46,48,80,49,79,36
0,2837,43,0.5003152188146487,116,2259,43,52,44,47,74,49,84,40
2,2909,39,0.3601692772936076,116,2298,41,66,39,46,71,49,72,44
3,2988,37,0.3007711819373071,116,2335,39,64,34,37,79,49,70,34
3,3059,49,0.4250595394987613,116,2384,42,67,42,49,69,43,71,35
4,3136,67,0.26146068214438856,116,2451,49,70,39,47,67,53,77,37
4,3212,64,0.3289783007930964,116,2515,50,70,41,47,64,54,76,34
4,3284,67,0.42652522679418325,116,2582,43,72,46,43,67,52,66,35
4,3362,67,0.36508860997855663,116,2649,46,70,31,62,67,49,78,44
4,3443,78,0.2905132913729176,116,2727,49,81,35,56,78,54,78,38
4,3525,78,0.3388035256648436,116,2805,50,64,33,47,78,53,82,43
4,3605,68,0.2770468898816034,116,2873,66,80,36,49,68,53,76,47
4,3684,72,0.1738989904988557,116,2945,57,79,35,52,72,59,76,44
4,3766,74,0.3917954796925187,116,3019,62,82,50,47,74,60,70,52
4,3843,72,0.6588372940896079,116,3091,62,77,37,50,72,57,67,51
4,3924,81,0.8588229571469128,116,3172,58,73,38,53,81,60,80,49
4,4001,76,0.6080137889366597,116,3248,67,77,39,44,76,62,65,45
4,4078,77,0.31580375658813864,116,3325,66,75,40,58,77,60,64,49
4,4152,69,1.0624446766451001,116,3394,65,74,42,61,69,61,68,43
4,4241,70,0.49852375220507383,116,3464,65,89,37,52,70,74,62,48
4,4321,75,0.6174959533382207,116,3539,66,80,33,62,75,62,59,46
4,4403,66,0.8232253183377907,116,3605,59,82,30,61,66,62,65,50
4,4489,57,0.5623413105495274,116,3662,66,86,34,64,57,66,56,50
4,4577,77,0.28660713881254196,116,3739,62,88,34,56,77,66,59,40
4,4660,61,0.30832427146378905,116,3800,70,83,34,57,61,64,60,54
4,4745,54,0.7055619950406253,116,3854,65,85,35,62,54,74,51,51
4,4823,55,0.7210406763479114,116,3909,71,78,30,51,55,72,68,58
5,4908,70,0.9013957310235128,116,3979,57,85,28,64,48,70,63,59
6,4996,62,0.23145697638392448,116,4041,66,88,23,62,49,71,62,50
7,5080,54,0.2152876938926056,116,4095,77,84,28,68,47,73,59,54
5,5161,68,0.288933037314564,116,4163,70,81,35,64,39,68,65,54
5,5241,67,0.5110524977790192,116,4230,72,80,34,72,40,67,60,54
5,5323,73,0.635235249181278,116,4303,79,82,33,66,45,73,64,43
5,5409,70,0.5377721681725234,116,4373,86,80,30,57,42,70,60,51
5,5493,76,0.6598811962176114,116,4449,76,84,28,58,38,76,56,40
5,5576,71,0.4501707941526547,116,4520,70,83,22,60,36,71,62,46
5,5662,82,0.7965421301778406,116,4602,76,86,28,58,37,82,64,50
5,5747,77,0.814155978616327,116,4679,66,85,31,63,34,77,63,47
5,5831,81,0.5337994516594335,116,4760,71,84,34,62,36,81,52,33
5,5911,77,0.693972185254097,116,4837,80,80,32,63,41,77,52,49
5,5991,80,0.6094577149488032,116,4917,74,79,33,54,33,80,62,43
5,6075,75,0.3014080198481679,116,4992,84,84,21,50,32,75,67,49
5,6158,79,2.6248205493902788,116,5071,83,79,25,47,35,79,54,51
5,6246,72,0.3272841200232506,116,5143,83,88,35,55,34,72,49,44
5,6331,68,0.17575638100970536,116,5211,85,81,30,41,24,68,61,40
5,6415,79,0.5189307268010452,116,5290,84,77,30,45,36,79,58,46
0,6495,78,0.4744730406673625,116,5368,78,78,30,44,29,80,58,50
5,6579,84,0.015454999869689345,116,5452,75,79,33,47,36,84,52,44
5,6668,89,0.19838620792143047,116,5541,73,65,32,46,42,89,54,48
5,6747,75,0.2920666637364775,116,5616,79,62,31,53,31,75,57,42
5,6833,77,0.22123300784733146,116,5693,86,64,31,48,33,77,51,35
5,6918,85,0.27086476190015674,116,5778,79,63,29,46,27,85,58,33
5,7003,82,0.18809503538068384,116,5860,85,70,33,40,28,82,56,45
5,7089,86,0.21192045358475298,116,5946,79,74,28,55,31,86,59,43
5,7186,97,0.24930635874625295,116,6043,80,69,32,50,38,97,64,53
5,7283,97,0.13534949603490531,116,6140,68,69,37,52,34,97,64,44
5,7362,79,0.03542930877301842,116,6219,74,67,36,46,33,79,53,37
5,7448,86,0.09931791143026203,116,6305,70,58,29,49,32,86,62,40
5,7525,77,0.18370885436888784,116,6382,69,63,43,44,33,77,55,43
5,7605,79,0.04332545876968652,116,6461,80,62,37,38,32,79,56,51
5,7681,76,0.07469308574218303,116,6537,75,65,39,35,34,76,48,44
6,7767,44,0.1555222166934982,116,6581,70,57,40,42,34,86,44,42
5,7838,67,0.06462976685725152,116,6648,71,56,39,36,41,67,52,42
7,7913,52,0.20634316152427346,116,6700,75,64,44,31,40,72,43,52
4,7992,43,0.06896090449299663,116,6743,79,66,47,40,43,76,50,48
5,8078,86,0.4693418552633375,116,6829,74,66,39,43,43,86,57,44
5,8163,85,0.24782787065487355,116,6914,74,71,32,39,48,85,54,45
5,8243,80,0.09716802334878594,116,6994,65,61,36,49,44,80,54,40
5,8323,80,0.13278742344118655,116,7074,69,66,33,40,47,80,62,39
5,8407,84,0.1061445577070117,116,7158,76,61,35,28,37,84,56,45
5,8497,90,0.3826122130267322,116,7248,64,59,49,31,38,90,60,47
5,8591,94,0.2209853130625561,116,7342,69,57,31,30,33,94,61,52
5,8681,90,0.021784976590424776,116,7432,75,58,35,34,27,90,54,55
5,8767,86,0.19138291117269546,116,7518,72,56,31,36,35,86,60,52
5,8853,86,0.12640688382089138,116,7604,72,57,33,35,34,86,58,50
5,8951,98,0.07698890240862966,116,7702,63,57,35,38,36,98,67,48
5,9045,94,0.45224579772911966,116,7796,69,57,48,30,41,94,62,56
5,9125,80,0.20762515778187662,116,7876,67,59,43,30,28,80,72,47
5,9207,82,0.04848224564921111,116,7958,64,53,44,27,35,82,64,54
5,9282,75,0.17169469932559878,116,8033,68,52,42,29,22,75,51,46
5,9357,75,0.4746458508307114,116,8108,73,44,39,18,20,75,64,55
5,9434,77,0.23298666742630303,116,8185,62,45,47,28,31,77,70,42
5,9506,72,0.10833668813575059,116,8257,71,58,41,23,34,72,66,45
5,9578,72,0.16827433567959815,116,8329,66,52,50,34,41,72,64,53
5,9658,80,0.06060072698164731,116,8409,73,48,46,38,37,80,65,54
5,9739,81,0.11233052588067949,116,8490,80,50,46,38,48,81,65,57
5,9821,82,0.04464329720940441,116,8572,80,47,44,33,52,82,64,62
4,9899,44,0.14861044532153755,116,8616,61,53,45,25,44,78,64,65
5,9972,70,0.16627933690324426,116,8686,71,56,51,23,44,70,73,66
5,10042,70,0.20072170696221292,116,8756,57,45,54,29,54,70,68,66
6,10110,63,0.49392699857708067,116,8819,68,41,55,39,50,65,63,47
7,10178,60,0.2085781745845452,116,8879,68,44,55,40,49,65,63,60
5,10246,61,0.368220956530422,116,8940,68,50,55,40,54,61,59,60
0,10313,67,0.20460545807145536,116,9007,67,54,57,40,47,65,58,58
1,10390,35,0.608402292127721,116,9042,64,35,58,50,56,77,49,50
2,10462,61,0.06788820074871182,116,9103,49,41,61,44,50,72,59,59
3,10534,51,0.17477968288585544,116,9154,54,47,52,51,47,72,52,57
0,10602,55,0.3831837670877576,116,9209,55,42,52,45,42,68,55,65
1,10673,53,0.10437677253503352,116,9262,58,53,54,46,55,71,50,67
2,10748,62,0.2784946559695527,116,9324,59,51,62,48,53,75,54,61
3,10816,48,0.10287588310893625,116,9372,51,50,65,48,45,68,57,60
2,10884,53,0.42298069573007524,116,9425,49,49,53,42,53,68,50,61
