choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,68,63,0.8085319638485089,114,63,63,5,68,65,49,47,55,41
1,130,6,0.12256281485315412,114,69,48,6,62,61,55,48,56,35
2,197,61,0.16016889328602701,114,130,64,23,61,67,61,48,62,29
3,268,70,0.09692224871832877,114,200,61,27,71,70,55,44,53,39
4,341,73,0.5414965498493984,114,273,59,19,71,70,73,46,59,32
5,414,44,0.3010796803282574,114,317,54,26,63,69,73,44,56,37
6,476,62,0.3256481825374067,114,379,59,32,62,56,61,48,62,29
7,551,33,0.15718247555196285,114,412,58,37,62,63,75,50,61,33
4,615,64,0.16108094749506563,114,476,62,27,61,61,64,39,60,35
3,688,66,0.3657126472098753,114,542,58,35,65,66,73,41,60,28
0,777,54,0.029892979306168854,114,596,54,42,59,59,89,43,61,26
4,852,75,0.1852430256549269,114,671,48,35,54,59,75,41,51,36
3,930,66,0.15732200385536999,114,737,51,36,58,66,78,35,53,24
4,1009,79,0.11352739715948701,114,816,50,39,58,57,79,37,59,33
4,1087,78,0.0828369305236265,114,894,58,28,50,73,78,40,61,34
4,1162,75,0.14642279502004385,114,969,51,41,59,59,75,31,69,31
4,1233,71,0.08483064919710159,114,1040,53,33,65,53,71,40,62,30
4,1313,80,0.06026662711519748,114,1120,42,37,62,60,80,40,55,36
4,1388,71,0.0057961849961429834,114,1191,59,48,67,75,71,41,58,29
4,1468,80,0.1583934276131913,114,1271,48,50,59,60,80,55,52,37
4,1538,70,0.0644966388354078,114,1341,52,49,63,66,70,49,57,24
4,1612,68,0.036191594204865396,114,1409,55,45,53,74,68,39,55,35
2,1684,51,0.2506536388536915,114,1460,46,39,51,62,72,41,57,32
3,1759,70,0.15016509778797626,114,1530,53,51,48,70,75,39,60,24
4,1826,61,0.07621253607794642,114,1591,49,44,51,64,61,41,67,30
0,1898,49,0.20103020523674786,114,1640,49,49,50,72,67,39,63,33
3,1962,62,0.018086196505464613,114,1702,47,44,51,62,64,46,61,18
4,2028,63,0.15923123736865819,114,1765,45,39,55,58,63,50,66,17
4,2092,63,0.09228453284595162,114,1828,47,47,47,63,63,40,64,13
3,2159,61,0.10121498431544751,114,1889,47,42,41,61,64,39,67,29
7,2229,19,0.48612877435516566,114,1908,40,43,47,56,66,49,70,19
6,2298,69,0.17851494520436972,114,1977,34,43,46,65,64,45,69,23
5,2368,47,0.15888433682266623,114,2024,41,48,52,61,64,47,70,27
4,2439,71,0.02513045573141426,114,2095,41,57,46,50,71,56,70,26
6,2512,71,0.10625464422628284,114,2166,36,62,46,54,73,44,71,30
4,2591,79,0.12687347154133022,114,2245,51,55,50,53,79,48,69,30
6,2673,82,0.08970453927759081,114,2327,38,60,44,59,75,49,82,33
6,2753,79,0.044614495476707816,114,2406,41,59,46,48,80,49,79,36
4,2837,74,0.17593879182823002,114,2480,43,52,44,47,74,49,84,40
4,2909,71,0.6193904661340639,114,2551,41,66,39,46,71,49,72,44
6,2988,70,0.08381170849315822,114,2621,39,64,34,37,79,49,70,34
6,3059,71,0.078254897845909,114,2692,42,67,42,49,69,43,71,35
4,3136,67,0.11417895590420812,114,2759,49,70,39,47,67,53,77,37
6,3212,76,0.1254199449904263,114,2835,50,70,41,47,64,54,76,34
6,3284,66,0.11480427312199026,114,2901,43,72,46,43,67,52,66,35
4,3362,67,0.13664237293414772,114,2968,46,70,31,62,67,49,78,44
4,3443,78,0.03912936896085739,114,3046,49,81,35,56,78,54,78,38
6,3525,82,0.10056918591726571,114,3128,50,64,33,47,78,53,82,43
6,3605,76,0.21814930415712297,114,3204,66,80,36,49,68,53,76,47
6,3684,76,0.1772796716541052,114,3280,57,79,35,52,72,59,76,44
6,3766,70,0.1293849810026586,114,3350,62,82,50,47,74,60,70,52
4,3843,72,0.15653987729456276,114,3422,62,77,37,50,72,57,67,51
7,3924,49,0.061114037525840104,114,3471,58,73,38,53,81,60,80,49
6,4001,65,0.046064181718975306,114,3536,67,77,39,44,76,62,65,45
4,4078,77,0.10629496676847339,114,3613,66,75,40,58,77,60,64,49
4,4152,69,0.02979825367219746,114,3682,65,74,42,61,69,61,68,43
4,4241,70,0.06183600053191185,114,3752,65,89,37,52,70,74,62,48
6,4321,59,0.042138188146054745,114,3811,66,80,33,62,75,62,59,46
4,4403,66,0.20326457836199552,114,3877,59,82,30,61,66,62,65,50
6,4489,56,0.09166177571751177,114,3933,66,86,34,64,57,66,56,50
4,4577,77,0.15200200723484159,114,4010,62,88,34,56,77,66,59,40
4,4660,61,0.1160696285078302,114,4071,70,83,34,57,61,64,60,54
