choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
0,54,53,0.8552771541289985,111,53,53,37,24,54
1,110,38,8.714605533517897,111,91,56,38,13,44
0,173,63,1.349079994019121,111,154,63,41,21,35
2,228,23,2.158037491608411,111,177,55,45,23,32
3,289,37,0.4435228384099901,111,214,61,39,27,37
0,351,62,0.7465487779118121,111,276,62,52,33,41
0,410,59,0.388684727717191,111,335,59,48,31,40
0,472,62,1.1594775007106364,111,397,62,49,26,38
0,538,66,0.8228859067894518,111,463,66,47,27,48
1,614,47,2.7747243186458945,111,510,76,47,25,51
0,695,81,0.5458703734911978,111,591,81,48,25,42
0,765,70,0.34141658525913954,111,661,70,54,33,45
1,826,53,3.0874405596405268,111,714,61,53,35,46
0,891,65,0.3426965931430459,111,779,65,55,30,48
0,955,64,1.380371714476496,111,843,64,49,31,63
0,1018,63,0.9772126539610326,111,906,63,60,34,53
0,1079,58,0.4023193749599159,111,964,58,61,31,56
0,1147,60,0.31902284175157547,111,1024,60,59,34,68
0,1216,69,0.46397288935258985,111,1093,69,56,32,57
0,1273,57,0.3729323064908385,111,1150,57,52,32,52
0,1336,63,0.2789163449779153,111,1213,63,60,44,57
0,1391,55,0.579644669778645,111,1268,55,54,41,53
3,1455,58,0.07405551383271813,111,1326,64,54,40,58
3,1537,65,0.38707895763218403,111,1391,56,82,32,65
3,1605,65,0.278117619920522,111,1456,64,68,37,65
3,1680,57,1.200546563602984,111,1513,66,75,35,57
2,1755,36,0.37342126993462443,111,1549,69,75,36,62
3,1828,59,0.7168557876721025,111,1608,71,73,37,59
1,1903,75,0.5242759953252971,111,1683,70,75,37,59
1,1987,78,0.3426050725392997,111,1761,84,78,39,52
