choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
0,62,38,2.489239359521889,112,38,38,45,45,62
0,126,47,1.7714923192252172,112,85,47,41,58,64
0,192,48,0.9351161381055135,112,133,48,49,57,66
0,260,51,0.12356255445047282,112,184,51,49,57,68
0,325,48,0.7244668002676917,112,232,48,33,42,65
1,401,41,0.3155394209024962,112,273,52,41,58,76
1,472,33,0.02104061233694665,112,306,50,33,63,71
1,545,43,0.443298705140478,112,349,49,43,62,73
1,614,45,0.1683530603768304,112,394,36,45,64,69
1,683,48,1.1583614256669534,112,442,36,48,68,69
1,754,50,0.10563508739869576,112,492,36,50,65,71
1,830,43,0.1393324530654354,112,535,47,43,76,70
2,902,68,0.17647386371390894,112,603,47,47,68,72
2,969,66,0.37967507826397195,112,669,52,36,66,67
2,1041,72,0.1548124144464964,112,741,53,40,72,68
2,1109,65,0.15492314103175886,112,806,62,48,65,68
2,1187,66,0.7865517755562905,112,872,47,51,66,78
2,1258,66,0.538104988008854,112,938,47,55,66,71
2,1332,60,0.29456473248137627,112,998,52,47,60,74
2,1404,66,0.41172050559544004,112,1064,40,56,66,72
2,1470,63,0.23489270081336144,112,1127,39,60,63,66
2,1530,59,0.2260960172279738,112,1186,44,49,59,60
3,1597,67,0.057676392898429185,112,1253,44,53,49,67
3,1657,60,0.08160101689281873,112,1313,41,55,59,60
3,1715,56,0.4575651542691048,112,1369,46,58,53,56
3,1771,56,0.3068131415202515,112,1425,42,46,55,56
3,1836,65,0.15694822155637667,112,1490,43,41,53,65
3,1898,62,1.0802518165874062,112,1552,42,48,51,62
3,1958,60,0.5025879940367304,112,1612,36,55,53,60
3,2019,56,2.076881375978701,112,1668,41,56,61,56
2,2082,57,0.5811776316986652,112,1725,47,63,57,54
2,2140,58,0.08357425434223842,112,1783,35,55,58,51
2,2204,64,0.08474936427955981,112,1847,52,64,64,60
2,2278,65,0.23618173753493465,112,1912,50,74,65,62
1,2348,66,0.6786650341382483,112,1978,51,66,70,55
1,2417,66,0.33896481519332156,112,2044,47,66,69,52
0,2486,58,0.436671750707319,112,2102,58,69,65,60
0,2558,43,0.1914443547721021,112,2145,43,69,72,54
3,2626,59,0.11634420479822438,112,2204,36,68,68,59
3,2692,55,0.26462887071829755,112,2259,47,64,66,55
2,2761,69,0.2708506810304243,112,2328,41,59,69,52
2,2838,77,0.48867036565206945,112,2405,43,59,77,52
2,2904,66,0.6073519895871868,112,2471,42,53,66,49
2,2977,73,0.28426843966008164,112,2544,51,46,73,56
1,3046,45,0.33694549498613924,112,2589,50,45,69,68
1,3115,52,0.19782873477379326,112,2641,44,52,69,55
2,3182,61,0.27890428037790116,112,2702,48,44,61,67
2,3248,66,0.05745429967646487,112,2768,40,56,66,59
2,3316,68,0.29361555600189604,112,2836,52,44,68,61
2,3378,62,1.0989601301116636,112,2898,42,45,62,55
3,3447,68,0.20595081818464678,112,2966,43,50,69,68
3,3524,66,0.36864018146297894,112,3032,51,44,77,66
0,3594,43,0.816617565084016,112,3075,43,46,70,68
3,3664,70,0.4227605227060849,112,3145,55,51,65,70
3,3733,69,0.21293235373741481,112,3214,53,47,67,69
3,3808,69,0.3831620058044791,112,3283,54,54,75,69
3,3872,64,0.6458637218020158,112,3347,52,43,64,64
2,3943,71,0.24585527330054902,112,3418,58,43,71,64
2,4010,67,0.5661693784059025,112,3485,60,37,67,59
1,4077,37,0.20233588303381111,112,3522,66,37,67,63
2,4150,73,0.17977838040678762,112,3595,64,32,73,65
2,4216,66,0.7364822354138596,112,3661,64,35,66,57
3,4285,69,1.0622929876844864,112,3730,58,42,66,69
3,4351,66,1.9305705875594867,112,3796,63,30,62,66
2,4422,71,0.5410792450275039,112,3867,66,31,71,62
2,4502,80,0.28581605177896563,112,3947,57,22,80,73
2,4574,69,1.8591756181413075,112,4016,72,24,69,71
3,4648,68,0.7237595581682399,112,4084,72,24,74,68
2,4725,77,0.40584495589428116,112,4161,63,16,77,73
2,4797,69,0.26081872392387595,112,4230,54,9,69,72
3,4868,71,0.32681369195051957,112,4301,63,14,64,71
2,4936,68,0.1248810329270782,112,4369,59,11,68,67
2,5010,74,0.04820382909383625,112,4443,60,18,74,72
2,5079,69,0.27619115890411194,112,4512,66,20,69,66
2,5158,77,0.4936236204812303,112,4589,79,17,77,67
3,5233,65,0.38710592055576853,112,4654,75,21,75,65
3,5309,52,0.0900245582597563,112,4706,76,12,71,52
3,5385,53,0.4901750952267321,112,4759,76,22,72,53
2,5456,70,0.25314082694239914,112,4829,71,17,70,59
2,5525,69,1.6597397477162303,112,4898,63,20,69,56
2,5587,61,0.1421697419427801,112,4959,62,21,61,52
0,5654,65,0.9297814205929171,112,5024,65,29,67,43
2,5727,73,0.14808753416582476,112,5097,61,19,73,48
2,5797,70,0.089173307584133,112,5167,67,13,70,41
2,5864,67,0.19939042771875393,112,5234,61,30,67,50
2,5949,85,0.49133804444863927,112,5319,66,21,85,48
2,6033,84,1.264722316278494,112,5403,65,24,84,53
2,6102,69,0.5972489882551599,112,5472,60,21,69,47
2,6174,72,0.28709676800644957,112,5544,67,22,72,39
2,6242,68,0.15801452501909807,112,5612,62,40,68,37
2,6314,72,0.12031692125310656,112,5684,60,35,72,42
3,6373,37,0.2637276970781386,112,5721,59,38,56,37
0,6433,60,0.08964437563554384,112,5781,60,47,58,45
2,6491,58,0.10424428462283686,112,5839,58,41,58,29
0,6564,65,0.8526753912301501,112,5904,65,38,73,46
2,6632,68,0.962839388201246,112,5972,66,39,68,36
2,6697,65,0.06355066254036501,112,6037,62,44,65,28
2,6767,70,0.24956749426200986,112,6107,56,42,70,34
3,6840,40,0.35313397852587514,112,6147,59,46,73,40
2,6902,62,0.1872149830305716,112,6209,56,52,62,45
2,6962,57,0.04961191289476119,112,6266,60,48,57,34
2,7024,62,0.03636248430120759,112,6328,52,48,62,38
0,7083,55,0.2897618866263656,112,6383,55,45,59,34
2,7141,58,0.09762693075754214,112,6441,50,47,58,24
2,7197,55,0.014606949407607317,112,6496,56,43,55,40
1,7251,47,0.28186893682868686,112,6543,54,47,52,46
2,7311,60,0.03564180139801465,112,6603,47,49,60,38
2,7370,49,0.7089573971315986,112,6652,45,59,49,44
2,7425,54,0.018690392462303862,112,6706,43,55,54,33
2,7485,59,0.5726312030164991,112,6765,38,60,59,38
2,7539,50,0.12318045170104597,112,6815,35,54,50,51
2,7594,53,0.013286550805787556,112,6868,46,54,53,55
2,7650,49,0.39824066328583285,112,6917,37,56,49,55
