choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,79,56,1.797332577232737,112,56,56,59,38,69,72,35,37,47,66,37,55,79,56,79,19,67,26,3,52,52,54,51,56,54,58,59
0,158,54,2.0183857343217824,112,110,54,65,45,65,73,31,36,46,63,35,65,79,55,76,20,73,33,21,47,53,45,49,66,58,70,54
16,250,27,0.9889241407654481,112,137,50,59,37,62,72,38,39,37,56,30,54,92,60,74,15,85,27,23,47,48,49,57,68,54,66,48
25,336,50,0.05699795251712203,112,187,54,57,39,58,76,43,38,45,61,33,57,86,55,71,10,80,33,12,54,62,52,66,57,59,79,50
18,421,53,0.13554918789304793,112,240,62,59,39,63,79,47,46,38,56,34,51,85,54,71,13,74,34,17,53,61,58,55,66,61,75,50
0,506,57,1.4652148895838764,112,297,57,53,44,69,85,51,43,42,48,26,51,76,51,82,13,80,35,18,49,60,47,52,60,60,67,56
22,591,52,0.16865259819314815,112,349,66,62,36,65,71,49,53,50,55,30,57,81,50,79,12,85,39,13,36,62,52,57,52,59,65,49
23,671,58,0.21106600265193265,112,407,63,56,34,58,75,57,54,40,54,34,48,74,43,80,13,75,43,10,40,56,46,56,57,58,65,56
23,749,68,0.13528933242196217,112,475,73,53,29,69,75,57,50,36,64,28,54,71,46,78,12,73,51,14,42,57,55,40,53,68,78,49
23,836,64,0.10475183483504225,112,539,69,59,29,56,77,55,51,37,69,22,52,79,46,87,19,74,45,16,49,58,42,42,60,64,65,50
23,919,63,0.915854191640392,112,602,53,54,37,62,83,54,47,40,72,27,67,75,52,76,23,76,46,19,36,48,42,48,59,63,67,47
23,1006,60,0.09995410926057957,112,662,58,53,31,60,87,57,37,37,68,23,59,71,53,81,25,77,55,17,43,45,47,46,61,60,61,56
23,1093,56,0.13678382137732115,112,718,66,57,37,64,87,51,42,48,76,22,60,63,49,82,18,78,50,23,42,51,48,44,61,56,65,52
23,1187,56,0.9548261112504406,112,774,61,62,39,64,86,47,45,38,68,21,59,71,54,94,14,70,41,29,38,51,60,52,64,56,59,48
2,1272,35,0.11928389978129417,112,809,61,67,35,64,82,50,46,31,66,26,59,60,48,85,16,61,47,26,35,52,51,52,65,63,65,46
3,1360,70,0.03645720993517898,112,879,53,60,46,70,86,50,52,33,73,29,61,58,43,88,14,77,44,32,41,58,58,39,69,57,68,50
3,1446,65,0.3907611781032756,112,944,61,65,45,65,86,55,49,40,78,27,57,60,43,86,6,61,47,30,40,58,52,49,68,57,59,54
3,1539,67,0.01557468700048048,112,1011,59,69,51,67,88,48,43,41,77,32,57,55,51,93,11,70,48,27,42,56,48,49,74,59,55,49
3,1633,66,0.07492541955434717,112,1077,65,63,57,66,83,53,45,34,80,33,51,45,53,94,11,72,46,26,42,48,49,43,75,67,48,58
3,1733,54,0.3388956910785055,112,1131,75,69,57,54,88,49,51,40,65,31,53,53,42,100,18,68,49,19,35,54,59,46,78,57,54,45
3,1831,61,0.6657420249684947,112,1192,75,66,70,61,82,53,50,30,74,26,55,57,53,98,17,62,53,24,40,51,60,56,72,50,61,53
